709382756_385627671486418944 x	@CourtCourtP1 <3's @RealCarrotFacts
709382756_395777012867944448 x	?@TheWeirdPics: I never gave..... http://t.co/KzUXHgC4iP? TOTALLY KNOW A GUY LIKE THIS.
709382756_395776347848466432 x	@colbymoores I'm scared to drive near the cities
709382756_395776247998869504 x	@colbymoores I has gas $$$ and I can beg somebody
709382756_395776122765320192 x	@colbymoores can I bum a ride to your Let//Go show? I'm actually able to make it, and I've really wanted to see you guys play...
709382756_395775493313536000 x	"If I Had" -Eminem #cantrelate#butiknow#np#songtweet#Eminem#best#throwback#idoling
709382756_395769409349746688 x	RT @TheHumorBook: makeup, bras and tampons should be free. I didnt choose the vag life. Or to be ugly. wtf
709382756_395764003965644801 x	Now that people want to hangout with me, and I'm actually able to, I don't think I want to hangout with them. #whatsmyproblem?
709382756_395728600239849473 x	RT @mindofaloner: one day i'm going to like someone and they're going to like me back and it's going to be really cool
709382756_395728231535357952 x	RT @girlposts: "You're too old to go trick or treating" http://t.co/Ug9YJRd0Hj
709382756_395652107434336257 x	Someone come watch Breaking Bad with me
709382756_395612362599710720 x	@anderson_rache whatchu doing tonight??
709382756_395642332558528512 x	@anderson_rache WHAT AAHHH TELL HER I SAY HAPPY BDAY
709382756_395609139574890497 x	I just saw that sexy guy...
709382756_395607144961032192 x	"@TheQuestionerr_: Mention someone sexy." That guy that I see in gorecki every once in a while.
709382756_395360926083194880 x	RT @LeoDiCaprio: Do you think it's time to protect the #AntarcticOcean? RT now & sign the petition: http://t.co/XTACy8wUYY http://t.co/MEOu?
709382756_395359070686687232 x	RT @tothekidswho: here's to the kids who are scared of being happy because every time they're happy, something bad happens.
709382756_395217600340168704 x	I need a guy who will let me just walk up to them and let me play with their hair. That'd be the best ever.
709382756_395187968136466432 x	WHYWHYWHYWHYWHYWHYWHYWHYWHYWHYWHYWHYWHYWHYWHYWHYWHYWHYWHYWHYWHYWHYWHYWHY
709382756_395187760782258177 x	RT @ComedyPosts: person: i like you me: why
709382756_395049146165383168 x	This guy wants me, but not ME.. #desperate#stupid#regrets#whydididothistomyself
709382756_395056503578578945 x	@anderson_rache did I tell you about Miami?
709382756_395058389929054208 x	@anderson_rache actually, I'll write you a letter.. Its hard to actually say out loud
709382756_395058234081308672 x	@anderson_rache next time we hang I will tell you.
709382756_395057173740269568 x	RT @LegoMyMego143: We can live like Jack and Sally if we want #blink
709382756_395039194730754048 x	RT @MaddieMack3: The best things in life are unseen, thats why we close our eyes when we kiss, laugh and dream. ?
709382756_395039093975166976 x	RT @FactsAboutBoys: #WelcomeToMySchoolWhere All the good-looking guys are either: 1) Gay. 2) Taken. 3) Complete assholes.
709382756_395034903009452032 x	RT @KateFischer11: http://t.co/DbUHKVYMYa #powerful #spokenword
709382756_395034523152711680 x	RT @mindofaloner: you know when you need a break from everyone & at the same time you wish you had someone to care about you & neither is r?
709382756_395032264817381376 x	J-"HAHAHAHAHAHHA!!!" @KateFischer11-"HAHAHAHAHASHUTUP!!!!"
709382756_395031894364258304 x	RT @KateFischer11: @Jaciee_Rose "it's like it's so late.... but it's not...."
709382756_395031063363219456 x	RT @KateFischer11: @Jaciee_Rose because we're excellent like that #roomielove
709382756_395031040147746817 x	RT @KateFischer11: @Jaciee_Rose and then we can tell when I tweet because the music suddenly gets quiet for a second....
709382756_395030025361039361 x	Sitting in the dorm not 5 feet from each other and tweeting at each other. #classy#roommates#iloveit#nobodycooler
709382756_395030978243985408 x	@KateFischer11 no words.. just laughs and tweets...
709382756_395029622301011968 x	RT @KateFischer11: "What?" "I'm talking out loud..." @Jaciee_Rose
709382756_395027378981728256 x	@KateFischer11 #BESTROOMMATEEVER #...?
709382756_395028064578449408 x	@KateFischer11 I appreciate it... #<3
709382756_395027889155874817 x	RT @KateFischer11: @Jaciee_Rose i'm the #bestroommateever because I know what makes you truly happy and draw pictures of it!!!!!
709382756_395017604835721217 x	@KateFischer11 "I want to draw something super ass creepy." J-"Wait, what?" R- "I wanted to include ass in there.."
709382756_394944813448978432 x	RT @mindofaloner: i think i was someone who was ok with verbal affection and i think i still am i just crave the physical part of it a lot ?
709382756_394944647820111872 x	RT @emilyasea: Things are finally starting to turn around.
709382756_394939268054802432 x	I have an entire night to do what I want... this is weird. I don't know what to do with myself.
709382756_394891925775724544 x	Seeing @emberly2s car everywhere and not her makes me a little sad.#tears#missher#memories#comehome http://t.co/bjP9UQONoo
709382756_394679981831237632 x	@anderson_rache Did you get buncha goodies from work?
709382756_394691465307107328 x	@anderson_rache share!?
709382756_394697143102865408 x	@JustBeingFranke @anderson_rache how about you get whatever fits into a fanny pack!!!!
709382756_394650574999674880 x	RT @mindofaloner: what's nice is when people break down most things they're thinking and doing because they want you to be on the same page?
709382756_394634491437654016 x	#vampires#wecute#glow#roommates#halloween#lame#iloveit @KateFischer11 http://t.co/ey59c7Qcyv
709382756_394615790978498560 x	Look at these beautiful haunted houses. http://t.co/YLiCH6QXoT
709382756_394398457999278080 x	All I ever do is retweet. I seriously have much more to say, guys. I just don't cause no
709382756_394398157469007872 x	RT @RoxxxxxySox: I just need a positive twist in my life for once.
709382756_394398099159793664 x	RT @BrettGerdes: Anyone who's still up, you guys fucking rock!
709382756_394395717617192960 x	Things are looking up. -from someone else's perspective.
709382756_394388697237303299 x	Friends are for grabbing the iPod you've dropped when they're 2 feet farther away from it than you..@anderson_rache
709382756_394382664964112384 x	RT @ianxmxbell: Is happiness really so much to ask for?
709382756_394107597080375296 x	ARE YOU FUCKING KIDDING ME RIGHT NOW
709382756_394105951566827521 x	@anderson_rache I need you right now!!
709382756_393985835772567552 x	@KristaAlvord whoa. That's the same as me, except at 4. That's weiiird. #Ifeelyapaintho #workgrind
709382756_393984715654299648 x	I want to go back to Wisconsin Dells and bring @anderson_rache cause #crazy#Wisconsin#memories#bffs#lol
709382756_393983477466406912 x	RT @anderson_rache: I wanna go back to Wisconsin Dells with @Jaciee_Rose #somuchfun
709382756_393829216023629825 x	RT @MostSecretFacts: Days tend to last longer for those suffering from depression. Depressed individuals perceive time as moving slower.
709382756_393609665117822976 x	RT @mindofaloner: i'm just hanging around waiting for someone to make a convincing argument for why being alone all the time isn't any good?
709382756_393593621762830336 x	RT @mindofaloner: we could kiss until we both forget why we're so sad
709382756_393496756589035520 x	RT @theIifediary: I like doing laundry, cleaning and cooking. You can wife me up anytime now.
709382756_393246700967428096 x	I talk to the nicest people. And they talk back. And it's too bad because they aren't the ones I want to be talking with.
709382756_393204476888088576 x	RT @FemalePains: let's order pizza and makeout and watch halloween movies
709382756_393175702180093952 x	RT @girlposts: i used to think i was unphotogenic then i found out i was just ugly
709382756_393169945514606592 x	RT @mindofaloner: just date me ok i'll just sit here quietly you won't even know i'm there
