861376110_399280043614302208 x	@BenFellerNY at least he's got that going for him...
861376110_330865297613541376 x	@PastorMark  praying for you Pastor Mark
861376110_329331723101933568 x	RT @PastorMark: ?Grace is the opposite of karma?: my interview with @JustinHolcomb http://t.co/mbyXVI3FZ3
861376110_328226914995171328 x	@MattBarkley Praying for you man! Go Eagles!
861376110_327606366799798272 x	RT @PastorMark: What does it mean for a husband to love and lead like Jesus? http://t.co/sRSDWtydgO
861376110_327954749414580224 x	Here's a great video by one of my favorite pastors: "What does it mean for a husband to love and lead like Jesus" http://t.co/bdVYEZ7Nm9 #fb
861376110_327948154177740801 x	RT @PastorMark: I cannot look at my wife and kids and say "I love you" &amp; then not give them my time, energy, income, life. #fb
861376110_327932680362655744 x	RT @PastorMark: I cannot look at my wife and kids and say "I love you" & then not give them my time, energy, income, life. Do you love ?
861376110_327755299144474624 x	RT @DailyKeller: "The essence of forgiveness is absorbing pain instead of giving it."
861376110_327502551387869184 x	RT @TruthForLife: "He is risen, and I am risen in Him; so why should I still cleave to the dust?" -Spurgeon http://t.co/WyakK6WEUK
861376110_327447696774402049 x	RT @TruthForLife: RT @rev_mann: You can't see a candle under a tin bucket.  ~Alistair Begg
861376110_327446809507143681 x	RT @DailyKeller: "Love is an action first and a feeling second. If you love people, eventually you'll come to like them."
861376110_327446734924029952 x	RT @TruthForLife: What the church needs most are people willing to become what they?re not in order to share what they have.  http://t.co/7?
861376110_327360831010512896 x	RT @JohnPiper: "May the Lord of peace himself give you peace at all times in every way." 2 Thessalonians 3:16 Think of it. Every way.
861376110_327186575488331777 x	RT @PastorMark: Routine = outward action without inward transformation.  Ritual = outward action with inward transformation.
861376110_326397895953752065 x	RT @MaxLucado: Want to enjoy God's generosity? Then let others enjoy yours. http://t.co/hQitgbGPtk
861376110_326397170263666689 x	RT @JohnPiper: Letter to a heartbroken mother who bore a lifeless son. http://t.co/wO1FDJFoAB
861376110_321818532776144897 x	RT @JohnPiper: Tope Koleoso with David Mathis on spiritual warfare. Thirteen minute video. http://t.co/OsWkRD77ew
861376110_317974224457322497 x	RT @PastorMark: When you and the Lord disagree, do you change your mind or do you walk away from Jesus?
861376110_317622706432512000 x	RT @truthforlife: There isn't a sentence in the NT that was written apart from the conviction that Jesus had conquered death... -Begg ht ...
861376110_317622167078588417 x	RT @JohnPiper: Jesus -- ?If God were your Father, you would love me." John 8:42
861376110_317341895661592576 x	RT @truthforlife: RT @abbyrstokes: None of us has any right to say 'Jesus is Lord' if we do not do what Jesus says. -Alistair Begg
861376110_317085328840220672 x	RT @truthforlife: RT @dee4lineo: You Cannot impress people with yourself and impress them with the Lord Jesus simultaneously. Alistair Begg
861376110_316214380461166592 x	RT @truthforlife: Every worship service should be a joyful celebration of the mighty acts of God through the Lord Jesus Christ. http://t ...
861376110_316214173983989760 x	RT @PastorMark: Behold my servant... my chosen, in whom my soul delights; I have put my Spirit upon him; he will bring forth justice to  ...
861376110_316213855208501248 x	RT @pastorjuan_com: Church sign ? http://t.co/KGYLAie6we
861376110_314367820253245440 x	RT @PastorMark: Of anything you could ever want, nothing could even remotely compare to God giving you himself. http://t.co/kaNpjPaI6U
