300436971_381124378760474624 x	I am praying for the day I find out I was adopted...
300436971_400010197642805249 x	RT @nprnews: Thanking Veterans And Remembering Their Sacrifices http://t.co/lmVqW8Tl0s
300436971_399710902393790464 x	RT @Poynter: How to fact-check health care law: http://t.co/pMDZek4BD1 @AngieHolan from @PolitiFact offers tips
300436971_398337373856989184 x	This is so...I don't even know what to say..just watch! What do you think? #healthnews @FocusFwdFilms (via @Upworthy) http://t.co/7QmGvC2xQU
300436971_398248798683951104 x	RT @NewsWorksWHYY: Menendez, Toomey propose measure to help launch small businesses http://t.co/knOR9uOrBX
300436971_397790287403429888 x	RT @TheTempleNews: A national program that enables education in prisons began at Temple. http://t.co/sglvUxWXES
300436971_397753911206883328 x	For information regarding the #elections TODAY: http://t.co/loHRh835Wi #CBS3 #CBSPhilly #localpolitics
300436971_397753395475673088 x	RT @TempleUpdate: State and Local elections are TODAY. For a complete list of offices and candidates in PA SEE: http://t.co/hr88Jo2vQb
300436971_389744971148185600 x	Well this day just hit me like a brick wall. Maybe it's all a dream.. #needtograduate
300436971_397735671235764225 x	LATEST from the #GSPshooting - Body of 20-year-old Richard Shoop found with apparent self-inflicted wounds / Mall remains closed today.
300436971_397582203988606976 x	#UPDATE: What we know #GSPshooting gunman not found at this moment one shell casing found no reported injuries people still inside #GSPmall
300436971_397574717525471232 x	RT @CBSEveningNews: Gunman on the loose at N.J. shopping mall. The mall is still on lockdown: http://t.co/GRFJ9c9Gxd
300436971_397574292646277120 x	#BREAKING: Unkown whereabouts of gunman from #GSPshooting. Stay with @CBSPhilly for updates... #Paramus #NJ
300436971_397566211623755776 x	RT @CBSPhilly: #BREAKING: RT @CBSNewYork  .@BreakingNews: People have been hit in Garden State Plaza mall shooting in Paramus, N.J., police?
300436971_397564790572195840 x	Flowers are more than just decorations! One @TempleUniv professor is using flower petals for something unique: http://t.co/dxg7SNwNwj #CBS3
300436971_397548247491022848 x	RT @CBSPhilly: Can you guess what they are? Top 3 Cheapest Places to buy Groceries. @jimdonovancbs3 has details tonight #CBS3 at 11 http://?
300436971_397391823062437888 x	Decent start to the week! #sausagewafflesandwich #goodgrade #picstitch http://t.co/Z5qPnHwTRy
300436971_397226171978371072 x	Just how many layers should you prep for in the morning? Watch @JustinDrabick on @CBSPhilly in 3 minutes to find out!
300436971_397121247794196480 x	RT @KYWNewsradio: Temple University Has New Plans For Its Library - http://t.co/OPIXZF3Wid @KimGlovas
300436971_396353223742988288 x	Happy November! #Graduation is that much closer! http://t.co/gu1gWpn7Q4
300436971_395647978985488384 x	RT @CleveBryan: Classmates using #1DForAlexa to get the band @onedirection to recognize the death of Vineland student Alexa Strittmatter
300436971_395423681129639936 x	Feeling excited to be alive #appreciateeverymoment #livenow #feelreal
300436971_395028815438553088 x	Finishing up at work, then home to do laundry, cook dinner for Wednesday night, and get ready for work at 8 a.m. #busyizzy #loveit #workhard
300436971_394552894793736192 x	Where's Wargo?! @TECHcenter @mattwargo http://t.co/4TAIC2ik1I
300436971_393784571420217344 x	Thursday's #UpdateNow crew were excited after a successful show! @templeupdate http://t.co/xXSKC7LCad
300436971_393563754345943041 x	? #health #education #career - my simplified focus
300436971_393256849060798464 x	READ THIS STORY: http://t.co/h1hvjG54Tr - amazing @erinJustineET
300436971_393137019909853184 x	RT @WSJ: "It's happening ? the biggest change to the Internet since its inception." New top level domains go live: http://t.co/URdC1uLR0f
300436971_393111983555624960 x	RT @State_SCA: The U.S. & #Pakistan signed an agreement today to extend our Science & Tech Cooperation Agreement for 5 more yrs http://t.co?
300436971_393111649604759552 x	Congratulations to @KYWNewsradio's @cherrigregg - PABJ Journalist of the Year! Well deserved!
300436971_392874333187481600 x	@NPR - how one town is doing its part to limit their #waterconsumption to preserve the #ogallalaaquifier http://t.co/FyPYCgTop1
300436971_392828632218877952 x	Need some #inspiration? Check out these amazing stories: http://t.co/kj77ZEitbs @weatherchannel #incredible #iamunstoppable
300436971_392782241845084160 x	...that moment when you look over your notes after the exam (because you just KNOW you got everything right)...and it's wrong....
300436971_392591148168257536 x	Good morning Philly! First time working the morning shift @CBSPhilly :) #4am #newsneverstops http://t.co/zVLxBPhl3e
300436971_392602520746745856 x	@SteveLindsayCBS @alcaples @CBSPhilly Thank you! Having fun and learning a ton!
300436971_392044141431242753 x	RT @BBCWorld: "Boko Haram" gunmen kill 19 people at checkpoints on a road in north-eastern Nigeria http://t.co/HW2Gk8oIqN
300436971_392041420103507968 x	INTL: 3 people killed, including a girl aged 8, at Coptic Christian wedding in Cairo http://t.co/v4SoftA6AP
300436971_392040016064839680 x	RT @thirdmetric: The best ways to balance a hectic life http://t.co/P9xixLKAmv
300436971_391287759237029888 x	Deadly suicide attack on Kabul foreign convoy http://t.co/1AENokK43e #Aljazeera
300436971_391227472853082112 x	RT @CBSPhilly: #BREAKING: Chopper 3 en-route to report of gas leak at Nether Providence Elementary School in Delaware Co. Stay tuned for mo?
300436971_391224077878587393 x	RT @BreakingNews: Germany temporarily closing embassy in Kabul due to fears of a possible attack - @AP
300436971_391223903248318465 x	@ThatsWhatSheSEB HAPPY BIRTHDAY!!! I miss you so much. Have a wonderful day and be safe! :D I love you.
300436971_390995769131798528 x	RT @nprnews: How We Got Here: A Shutdown Timeline http://t.co/g9kDrKJ8GC
300436971_390897399809736705 x	"Be here. Be present." @WhoopiGoldberg - #LKAM #individualstatus
300436971_390876866896470016 x	Honored and excited to be attending the #LKAM with @templetv!
300436971_390589355943010304 x	RT @washingtonpost: Here's the bill that might end the government shutdown. Read it. http://t.co/7nNJWPiMsW http://t.co/BSMgpfwByF
300436971_390506518879039489 x	Recap for what you need to know about today's #njsenate special election: http://t.co/EB4Vx7qXZ2
300436971_390505472387997696 x	RT @CBSPhilly: #BREAKING: @GovernorCorbett Releases Previously Withheld $45 Million For Philadelphia?Schools http://t.co/7HF9Hv1c45
300436971_390505170796568576 x	RT @nytimes: Breaking News: Senate Reaches Bipartisan Fiscal Deal http://t.co/eqDfdEsmLj
300436971_390195656922787840 x	RT @nytimes: The faces behind the statistics of breast cancer http://t.co/3C2a8NmzIf
300436971_390171821104177152 x	I am happy and quite proud to announce that I have accepted a position as a p/t News Production? http://t.co/YqGqnwJX9V
300436971_389817714065162240 x	Finished a paper and just ended an exam...also received exciting news earlier. So far, the day is turning around :) #busyizzy #isabelinc.
300436971_388178208728035328 x	Look what I got to bring home!! #fallfashion #boots #plaid #flannel #camo #lovecolors #soft #comfy? http://t.co/aeMYdq5zgA
300436971_387636934123601921 x	Lab from 2-4 then night class until 8. What's getting me through? I planned a #grilledchicken #caesarsalad for dinner! #foodmotivation #yum
300436971_385506452020158464 x	Top Iraq Kurdish party wins local legislature vote (from @AP) http://t.co/ENiMCJxAO8
300436971_385505869901090816 x	Rouhani: Iran to discuss nuke details, not rights -  @AP http://t.co/9SyXePGKHS
300436971_385133515320221696 x	@amandawhite93 OMG guess why I thought of you today! #ITSOCTOBER #missyou #meanit
300436971_385088996067381249 x	I love when people tell me that I look tired...and yet, it happens all the time. #doesntwakemeup
300436971_385088462648389633 x	RT @CBSNews: CBS News Special Report: President Obama delivers remarks from the Rose Garden amid government #shutdown; watch live http://t.?
300436971_384700394699386880 x	@ThatsWhatSheSEB I know this is ironic coming from me, but will you please text and let me know you got back to PSU okay?
300436971_384700730222718977 x	@ThatsWhatSheSEB aaaanddd my phone was on silent #izzymoment .... thanks for the text ;)
300436971_384700151597514752 x	Definitely the first Monday of the week...the rest of them will be just as busy! #workingnonstop #somuchtodo #letsgo #adapt #adjust #execute
300436971_384697955107614721 x	RT @AP: US stock market drops at open as federal government nears partial shutdown: http://t.co/WgcWF27T9K -RD
300436971_384062859678056448 x	Sebastian!!! :D @thatswhatsheseb http://t.co/B0XMcut3Tk
300436971_384061871567171585 x	Birthday brunch for my mom! Finally decided to eat #frenchtoast for the first time in 3 years :)? http://t.co/GECHMjPX3R
300436971_383624224151470080 x	Elated to see my favorite person @ThatsWhatSheSEB tonight after work! First time home since he moved to #PSU
300436971_383230810603913216 x	@TSlade22 is ready at the @tu_sportsdesk with your #templeathletic information! http://t.co/JHYwUQ9bkn
300436971_383228164488830976 x	Our main anchors are marking their scripts to get ready to record @templeupdate! Good luck! :) http://t.co/DvdX7bVonI
300436971_382637232701444096 x	Getting through my second Monday of the week (slowly but surely). #workthrough #mondayeveryday
300436971_381956913707384832 x	Congratulations to @Jeff_Daniels on his #emmyaward for The Newsroom!!
300436971_381628290345500672 x	Decided to try my second #pinterest creation! Baked eggs in avocado :) #saturdaybreakfast #yum #easymeal http://t.co/zJnBxkgsGf
300436971_381469607682260992 x	Finally had the chance to catch up with @ThatsWhatSheSEB today! #misshim #goodtalk
300436971_380511175689392128 x	RT @disneywords: Don?t take action without having a plan first. It doesn?t have to be a good plan, but some plan is better than no plan. ?P?
