596074570_377830769223548929 x	@The_Real_JSmit thanks man
596074570_395988673638174720 x	@TravisPoley @LotusTweets hopefully #spaghetti
596074570_395936478041497600 x	Pumped up for tonight @LotusTweets #LotusVibes
596074570_395237698421927937 x	It needs to be Thursday @LotusTweets
596074570_395234463841783808 x	Nothing like a beautiful fall day
596074570_395234190268309504 x	?Steep grade, sharp curves, a treacherous stretch of highway Put me in a tailspin that I just might never get out of" #YMSB
596074570_395034636629606400 x	@Zoe1o1Zoe @BIG_CHODE @B_Skean23 @FuckinPocketBoy @BR0C soft #psssh
596074570_395033833827225600 x	RT @Zoe1o1Zoe: @BIG_CHODE whenever one of u idiots tweet at me I legit sit here &wait for the rest of the herd to favorite eachothers tweet?
596074570_395030150796283904 x	@Zoe1o1Zoe I can't even believe you #Philly4Life
596074570_395030950759120897 x	@Zoe1o1Zoe naaaaaaa
596074570_394834543267827712 x	RT @MichaelOlson165: I can't wait till I'm really old and I can refer to kids as "little shits"
596074570_394830598822313984 x	@mattmajor10 we will be pumped up guys who enjoy #bitchin
596074570_394814892496011266 x	RT @espn: We live in a world where Transformers are allowed to play football. #Megatron
596074570_394554503082823680 x	RT @datnigga_lehman: But she never lost her head Even when she was giving head She says, "Hey babe Take a walk on the wild side"  RIP Lou R?
596074570_393779462187126784 x	RT @ShaneBlazier: Dropping out of school to pursue my day long dream of being a pop singer
596074570_393725094746284032 x	@datnigga_lehman @Slim8ty you won't #2cigzisbetterthan1
596074570_393723571396046848 x	RT @datnigga_lehman: @Pist2BePete i cant wait till you roll back to #PA so @Slim8ty can #antagonize a fight between us and i can #kickyoura?
596074570_393358254933159937 x	Got the jones for some Stones this morning
596074570_393118446269255682 x	I am pretty much #JohnGoodman
596074570_393116555166629888 x	?Move like a jellyfish  Rhythm is nothing  You go with the flow  You don't stop"
596074570_393046364160286720 x	@The_Real_JSmit all #grits suck
596074570_393051199772950528 x	@The_Real_JSmit naa dude
596074570_392768577717432320 x	RT @The_Real_JSmit: Dear diary, Today I got a lot of assignments that are pretty hard. Also, my favorite pair of shorts ripped so that was ?
596074570_392669464598429696 x	@dano_connell @mattmajor10 I'm bitching because I missed that show #Fuck
596074570_377878676479938560 x	@ericahannigan thanks sweetheart
596074570_392453980447858689 x	@Chris_Muller70 yea man we will have to chill thanksgiving or Christmas break
596074570_392362177849352192 x	RT @jeffersonwaful: PS scalped tickets don't count :) #umphreys
596074570_392334938949054464 x	Yo @damnReitTygotit happy birthday fag see you this weekend
596074570_391698989168726016 x	@mattmajor10 if you were a real man you'd be hitting up #ShadyMaple
596074570_391657533506854912 x	RT @ThaPepperMan: Any white chick that has a dixie flag tattoo, has fucked a black man at some point in her life.
596074570_391327808842366976 x	@JakeEvan39 haha it's very catchy
596074570_391279792667897857 x	?My love is bigger than a Cadillac I try to show you but you drive me back" #NotFadeAway #GD
596074570_391012713310482432 x	@Steeze_ON_deck @amberrrmccarthy you want both days joe
596074570_390530755828658176 x	RT @umphreysmcgee: TOUR STARTS TONIGHT! First stop, good old Burlington, Vermont....get in the van people.
596074570_390497336910446593 x	October 25th can't come soon enough @umphreysmcgee mm/
596074570_389618706621693952 x	@rhy_kriegs he fucking sucks
596074570_389619063905062912 x	@rhy_kriegs should have slept with him why you could
596074570_389595548413886464 x	RT @datnigga_lehman: #dr8ke must be the #realest dude ever. #youwouldwin #gargglemyballsforalittle
596074570_389588469343072257 x	RT @datnigga_lehman: @Kellilongg hahaha don't act famous. Your not #rhykriegz
596074570_389588450116395008 x	RT @Kellilongg: @datnigga_lehman ugh I so wish it was #mikestud that'd be the #coolest
596074570_389588419648958464 x	RT @OHerriBalls: @Kellilongg @Pist2BePete @datnigga_lehman he plays the skin flute of other men
596074570_389588396165062656 x	RT @datnigga_lehman: @Kellilongg @OHerriBalls @Pist2BePete he's got a #huge #career in the #GayPornIndustry #surprise of the #century  #Fuc?
596074570_389585671658409984 x	@datnigga_lehman @Kellilongg fuck #mikestud I would totally kick his ass
596074570_389586503720267776 x	@Kellilongg @OHerriBalls @datnigga_lehman #askkriegz
596074570_389479057886167040 x	@The_Real_JSmit quit being a softie
596074570_389432309385936896 x	?Peaches in the summertime Apples in the fall If I can't get the girl I love I don't want none at all"
596074570_389436516511920128 x	@dano_connell oh I'm definitely a playa
596074570_389441586771161089 x	@dano_connell yea Pete actually sucks haha
596074570_389431535067090945 x	Let's go #Birdgangg
596074570_389212893247725568 x	RT @ThaPepperMan: @lindsaylohan I blame all the drugs and alcohol for the shrinkage of your tits. Rehab them please.
596074570_389212488438648832 x	RT @ThaPepperMan: Is that Brittney Griner's voice on those monster truck commercials? #WNBA
596074570_389205923946057728 x	About to go watch #cabinet tear it up
596074570_387951927839195137 x	Good day to listen to some #Beatles
596074570_387933354655772672 x	?Tell you what I'll do, I'll watch out for you Youre my woman now, make yourself easy, make yourself easy Make yourself eeeeeeasy"
596074570_387712098530492417 x	@damnReitTygotit #quarterchub
596074570_387409469443145728 x	You were bitching real hard earlier @mattmajor10 #hewaspissed @dano_connell
596074570_386293292918652928 x	@Zoe1o1Zoe @Slim8ty wow I guess it really is true gingers have no souls
596074570_386271567887761408 x	@mattmajor10 good for everyone involved
596074570_386267280419868672 x	Free #umps broadcast on my phone #solid
596074570_386260929224384512 x	Looks like @umphreysmcgee is killing it tonight
596074570_386259721227104256 x	?Well, I woke up this morning, I got myself a beer  Well, I woke up this morning, and I got myself a beer"
596074570_386128578720440320 x	Yo happy birthday you big bitch @finsauce16
596074570_385793561473855488 x	@The_Real_JSmit you wish
596074570_385515633271914496 x	?Speechless again at a loss for words But they wouldnt be heard anyway, would they"
