811411056_395682470936727552 x	@ryanoginger @circasurvive no penguins....womp womp. Willie n Si gon be there tho!!
811411056_395675631326752768 x	@AReelRocknRolla @circasurvive so this is what all those yacht club cats feel like! #exclusive
811411056_395653865972170752 x	@circasurvive tomorrow in EBFNooooowhere! Can't fn wait. How limited is limited?! #hip #sexy #exclusive #circaweeners
811411056_394976383023480832 x	@circasurvive Uncle Si from duck dynasty. Huntin @ryanoginger n the penguins! But where the fuck are we going?!?
811411056_394936738919235585 x	@AnthonyGreen is it as hard keeping this from us as it is for us to wait?!
811411056_394562653575979008 x	RT @MysteryExec: Whatever you're thinking about doing... make sure it's the opposite of everything Chris Brown has ever done.
811411056_394562407231541248 x	@circasurvive the Eagles are making everyone miserable!! How bout something uplifting?? #circaween2013 #butwhere
811411056_394445394916413440 x	@j4r3df3ldm4n @circasurvive only you run out n twerk @AnthonyGreen #shitgetsweird #circaween2013
811411056_393869861556068352 x	@AnthonyGreen @circasurvive okkkkk! Y'all took my advice! Time and place do tell! #BestCoast #special #returnofPIZZAMAN!!
811411056_393538066943844352 x	@Deej_Jacavone this cat hurlin for the cards right now kindaaaaaa look like you wit a beard
811411056_391744841182617601 x	@BrianDawkins n they only had 10 cats on the field...smh
811411056_391744331201404929 x	@BrianDawkins a lil Joyner do the sameeee thing sir. Greene kinda fast too..
811411056_391325767596249088 x	@circasurvive seriously tho...can y'all come back home to the BestCoast n do a show like this? I'm thinkin UnionTransfer. Sounds good huh?
811411056_391324507912556544 x	I want to kill @AReelRocknRolla for even mentioning the @circasurvive show at #Shrine cuz I can't fucking go! #specialguests #reallyhateyou
811411056_388094465518612480 x	If ya ask me...HAY! Cheese got no business bein on a turkey sandwich!
811411056_388093859349417984 x	@Alkaline_Trio 2013 round 2 with @ChrisDran & @TimKeeney Philly 11/13! F'n play Mr. Chainsaw this time since y'all forgot me last time
811411056_385432195881795584 x	To make them drink...tell them that it's only water
811411056_384820055198158849 x	@CaseyboyWMMR tearing your plantars fascia trying to impress some kids by doing a front flip into a foam pit off a trampoline?
811411056_383248192323997696 x	RT @IJPDesign: RT and follow for your chance to win a 2013 IJP Design Saltire putter cover! Blade and mallet available #giveaway http://t.c?
811411056_383193216587419648 x	@PrestonSteve933 could see @prestonelliot sporting a YOLO SWAG tattoo
811411056_383028193017749504 x	@jasonmyrt cue "Martinez in trouble!"
811411056_382675444484829184 x	@JoeyBottless was it the FUCK YOU across the forehead or the Diet Creamsicle Shasta County Sheriffs office that made you geek? #Classicpic
811411056_381541148856418304 x	@Deej_Jacavone put me coach. I'm ready to play todayyyy
811411056_381450497699622912 x	?@Mountaineers22: Lee Corso picks #WVU and Herbie picks #Maryland. #ESPNGameday? shocker. Herbie a fuckin clown
811411056_379407018874118144 x	RT @JasonDufner: Come on Obama, just say I don't like this guy, he is a prick. He does evil stuff, and I am going to bury him.
811411056_379114724346327040 x	@Deej_Jacavone still a bitch
811411056_379070600633126912 x	Coronas for Canelo #TheOne http://t.co/w4io7uGWfi
811411056_379064853685866496 x	Jack Nicholson is a total fuckin grade! Chompin down on a Werthers original or some ish that whole interview #TheOne
811411056_379062229200801792 x	This cat lookin like @E_Wygant7 at the helm!! #7mode http://t.co/93UYmwgiJY
811411056_378886982304542720 x	@JoeyBottless watching dude do it. Neighbor got them cams
811411056_378875464586366976 x	@JoeyBottless nope...alphabet boys picked her up 530 this mornin smashed into a pole
811411056_378848680432128001 x	To the mother fucker who stole my car and crashed it into a pole n left it...FUCKKKKKKK YOUUUUUU
811411056_377476883728060416 x	RT @Joan_Rivers: Miley Cyrus defended her VMA performance by saying she made history. So did the Titanic, but only 2,000 men went down on h?
811411056_377215719806881792 x	In chip we fuckin trust!!!!! Lets get em!!!
811411056_377211289640378368 x	@espn too bad the @Redskins still don't know what hit them
811411056_377210221728628736 x	@975TheFanatic ain't even worried bout it! They still don't have a clue what just hit them.
811411056_377207761719005184 x	Geeeeeek that the first pass was to Riley Cooper! Chip know what he doin out here!!
811411056_377133463776018432 x	@GeoffRickly seriously nothin like "For the Workforce, Drowning" to get ya thru a Monday afternoon at work! #thanksgents #dontletmedrown
811411056_376816801658982400 x	RT @JayMcKee74: If I'm a rookie quarterback, starting my first NFL game across from Brady & I kept the game within 2 pts, I'd be pretty hap?
811411056_376816718129410049 x	Dude @ochocinco stay on his twitter game and I'm geekin to all of it #thisFNguy
811411056_376809984455364608 x	RT @Fredo_Provides: If I'm Geno I wouldn't listen to a damn thing Sanchez saying
811411056_376806581843021824 x	@JohnMeethLoaf singin a diff tune today kids! #geno #geekin
811411056_376808470613614592 x	@JohnMeethLoaf told ya guy! He a smart cat and can only get better! #leggo
811411056_376792561077452800 x	@AReelRocknRolla that's ok Patrick! No wins for them yins! #fuckem
811411056_376522925400412161 x	First time out defense is legit and our offense shits all over the bed!
811411056_376522687952457728 x	Absolutely FUCKKING shot ourselves in the foot!!!!!
811411056_376522548634468352 x	RT @Mountaineers22: WE. ARE. KILLING. OURSELVES. #WVU
811411056_376487009550090240 x	Okkkkkkk! Lets goooooooo mountaineers!!
811411056_376463053778616320 x	RT @ochocinco: Can't wait to watch my cuzz @IMcCartney5 tonight. Any Mountaineer fans following me?
811411056_376422549951098880 x	Driskell gettin mollywhopped out here today by this Canes D
811411056_376385301251633153 x	@Graeme_McDowell ya look pretty comfy back there guy! Not the usual G5 but hey, we'll take it! http://t.co/fONaO54wyH
811411056_376381980377874433 x	@theOOTer glad to see you n the old lady stayin in shape son. Arthur gon' need that sword back in the stone tho...
811411056_376001786924249088 x	@AnthonyGreen did you work for Paper Street Soap company and are you Tyler Durden?
811411056_375994173721415680 x	@lindseyvonn would mean the world to us!! @TigerWoods @Cheyenne_Woods http://t.co/FhsfhHy1xR
811411056_375994032100753408 x	@lindseyvonn for a great girl and amazing family! @TigerWoods http://t.co/j4aUAl8n3L
811411056_375994013205413888 x	@lindseyvonn please please please get tiger to call in today!!!!! http://t.co/Z3i1Aju7UT
811411056_375382999342120961 x	RT @E_Wygant7: ?@jm_durante: 3. @TigerWoods @E_Wygant7 http://t.co/YcnIMjatmC?please help @JordanSpieth @jacknicklaus
811411056_375382980061319168 x	RT @E_Wygant7: ?@jm_durante: 2. @TigerWoods @E_Wygant7 http://t.co/jbmZ6ktES9? please help @jacknicklaus @JordanSpieth
811411056_375382962759811072 x	RT @E_Wygant7: ?@jm_durante: 1. @TigerWoods @E_Wygant7 http://t.co/G1vHk1AhP3?please help @jacknicklaus @JordanSpieth
811411056_375382879737741312 x	RT @E_Wygant7: ?@jm_durante: 3. @TigerWoods @E_Wygant7 http://t.co/YcnIMjatmC?please help @HollySondersGC
811411056_375382846007181312 x	RT @E_Wygant7: ?@jm_durante: 2. @TigerWoods @E_Wygant7 http://t.co/jbmZ6ktES9?please help @HollySondersGC
811411056_375382813094449152 x	RT @E_Wygant7: ?@jm_durante: 1. @TigerWoods @E_Wygant7 http://t.co/G1vHk1AhP3? please help @HollySondersGC
811411056_375378504969621504 x	@Cheyenne_Woods would be super grateful!! Thanks for your time! http://t.co/HULFtX0Ei0
811411056_375378319174549505 x	@Cheyenne_Woods please and thanks!!!! http://t.co/kTmZipG5Ia
811411056_375378148801929216 x	@Cheyenne_Woods would be awesome if you could get your uncle @TigerWoods to spare 5 mins of his time to help us out! http://t.co/3W34Jg8o7w
811411056_375348949072498688 x	@bubbawatson @lindseyvonn @webbsimpson1 @nikegolf need you to convince @TigerWoods  to help me out for a great cause!! See previous tweets!
811411056_375232014871695360 x	@TigerWoods @lindseyvonn http://t.co/HF4AkxL9xn
811411056_375231944172109824 x	@TigerWoods @lindseyvonn http://t.co/NcnNxoAf9E
811411056_375231873116827648 x	@TigerWoods @lindseyvonn http://t.co/B59GiQX9Sk
811411056_375075406279614464 x	@TigerWoods @theOOTer that's what's goin on!! http://t.co/fjpxRaIGkK
811411056_375077703113646080 x	@theOOTer lmaoooo if you do I expect your best @kendricklamar impression #gobbleAdickUpTilYaHiccup
811411056_375074778459410432 x	@TigerWoods @theOOTer http://t.co/wgsWZ0xxtI
811411056_375074711111467008 x	@TigerWoods @theOOTer http://t.co/lH2Oy5cKte
811411056_375071408134828033 x	@theOOTer I know you're tryna get ppl to held me and @E_Wygant7 get @TigerWoods to call in for our girl @l_core2!! Show us how OOT you are!!
811411056_375060728069513217 x	@DJohnsonPGA @jonas_blixt @PGATOUR @NickFaldo006 you guys too! Lets get @TigerWoods to call in for my previous tweets!!! #StandUpToCancer
811411056_375055607856136192 x	KIDS!!...need as many RT as possible to my msgs 2 @TigerWoods as we can!!!! Lets get this for my girl @l_core2nn please!!! #StandUpToCancer
811411056_375053235079630848 x	@lindseyvonn @nikegolf @NotahBegay3 @webbsimpson1 think y'all can help get @TigerWoods to call in for my last tweets?! #StandUpToCancer
