27165199_371767335675109376 x	@shemarmoore What about this one??? :* http://t.co/y2CAYT1ShO
27165199_378314136125308928 x	@barbarachiles29 hey hey! Off in 30 I'll call ya
27165199_374588533979086848 x	@barbarachiles29 what up wit his hair? Tell Shawn I said Fuck dat! Do that baby's hair! He's too cute for that!
27165199_373965500591525888 x	@barbarachiles29 Great! You?
27165199_371812659642892288 x	@shemarmoore @barbarachiles29 I'm still waiting on a response from Bae.... Patiently waiting..... #ASALWAYS #HURRYUPANDWAIT #SHEMARMOORE
27165199_371466559878725632 x	My roommate is driving up a FUCKIN WALL!  CAN'T STAND PEOPLE WITH NO BRAIN... UGH!
27165199_371509395663777792 x	@barbarachiles29 that's easy for you to say you don't have to live with him
27165199_371018770635968512 x	@barbarachiles29 draaaaaaaaaaaaaaaaaaaaaag ....ugh
27165199_371087042387529729 x	@barbarachiles29 I did .. and they sent me back upstairs as of Monday! SO HAPPY!
27165199_370065932187488256 x	@barbarachiles29 TOO MUCH! LOL.
27165199_370066324765954048 x	@barbarachiles29 was this today? I saw you posted a pic like this on Friday I think... Yall are too cute
27165199_370018995212021760 x	@barbarachiles29 I PRAY that's all I need to do... :) Cause I want some MOORE @shemarmoore
27165199_370027261165965313 x	@barbarachiles29 you are such a bi..  LOL
27165199_369989875472154624 x	@barbarachiles29 wonderful as usual... And yours?
27165199_369102538370326528 x	@shemarmoore you're special! Ask @barbarachiles29 *my mom* I can massage and I don't come cheap! :) but for YOU? ... Anything. Within reason
27165199_368941010505572352 x	BtW MUCH BETTER PIC ON YOUR PROFILE :) YA LOOK CUTE! @barbarachiles29
27165199_367292126188408832 x	@barbarachiles29 Good Morning Mother.... Blowin me up again I see! How's the crew doing this morning? Tell everyone Hi & I love them too!
27165199_367293630903779328 x	@barbarachiles29 HE HE HE HE HELL! LOL  when are you ever going to get the timezone thing right woman!? 3 hours! I'm sleeping at 9 am EST.
27165199_367300197950308352 x	@barbarachiles29 This I know :) ok. Damn no love u? I see . You would have thrown yourself on the floor kicking & screamin if I did that! :/
27165199_367295509217546241 x	@barbarachiles29 CALL YOU AFTER I KNOW WHAT'S GOOD. PRAY FOR ME! LOVE YOU. HAVE A FUN DAY. :)
27165199_365544344784093186 x	@shemarmoore Taking a rest. It's a Nyquil day :( wishing I had you here to hold me until I feel asleep :( .... I feel awful
27165199_360770244484136961 x	@shemarmoore  Shamboogie It's my Birthday Bae! The big 37! I would love to see you :) in person. XOXO <3 have a great one! Party this wknd!
