38110431_394864480720809984 x	@jcapswgr @Bitterchick lolol
38110431_385918458430758912 x	The prep has started http://t.co/3canUfRsca
38110431_382241019649335296 x	Peter Rueger SteakHouse #KenyaMallStores
38110431_394865336501415936 x	RT @Bitterchick: @jcapswgr @ReelNJShoreCris Pics please!
38110431_396634940106100736 x	An early birthday present http://t.co/lLjD1ucsD0
38110431_396284352172392448 x	@VonDecarlo @derrickgott007 I think Von is a lil classier than to show her titties on twitter
38110431_396471242074898433 x	@derrickgott007 Wasn't blowing up anybody's spot... I was saying as a whole
38110431_396453676552048640 x	@OpieRadio Hey Ope my birthday is Sunday can I get a Sadoku?
38110431_396262935448006656 x	Happy Birthday to the best sports broadcaster in the galaxy @EastSideDave  We are November birthday buddays. Can I get a birthday RT
38110431_396100397733281792 x	A few too many!
38110431_395893740545781760 x	Good morning my sexy twitter friends
38110431_395890797490745345 x	@DuckDynastyAE @Espngreeny @MikeAndMike @williebosshog @espnmike Did you call it a death kazoo?  Hilarious
38110431_395687519666593792 x	@Rowie_Hoseman @LFFStadium gorgeous day Watchin great def. game for @Eagles  #BleedGreen #FlyEaglesFly #BleedGreen http://t.co/5xLtb7TALF
38110431_395676167933804544 x	Thank you @Eagles cheerleaders for the photo op!  Gorgeous #FlyEaglesFly #BleedGreen #BirdGang http://t.co/gA1gcBZYJU
38110431_395675766715072512 x	@Bitterchick I turned on NFL Radio
38110431_395659626173452288 x	@TheRevBobLevy hey boss the 5th is a Tuesday. Friday is the 1st and my bday is Sunday :)
38110431_395618117357166592 x	@iLikeGirlsDaily don't care!!
38110431_395551551496138752 x	@queenelisabeth @OpieRadio I can't stand him. Rather listen to Bobo
38110431_395518476355637248 x	Hey @OpieRadio huge fan of yours and my Birfday is Sunday. Can I get your Sodoku puzzle?
38110431_395371438628438018 x	See I have excuse to check em out http://t.co/Dp6InamChX
38110431_395185276534149120 x	@BrandonBoykin2 Good morning to my favorite Bird!
38110431_395155718363688960 x	Morning ladies and gentlemen. Have a great day!
38110431_395154289754402817 x	RT @iLikeGirlsDaily: Short girls >
