45070613_395331307062190080 x	Kreider!!!
45070613_348658701093199874 x	@JonPransky STOP TWEETING AT ME
45070613_367289143099154432 x	RT @NYRangers: Hey Kendrick Lamar...the #KingOfNY is @HLundqvist30. #NYR #NYRap
45070613_395410647737188352 x	RT @SportsCenter: The NBA, NFL, NHL and MLB are all in session at once.  LIFE. IS. GOOD.
45070613_374919448844832768 x	@chiller_whalee snag pics
45070613_395332734778114048 x	RT @TheBroadwayHat: Omg we have a lead.
45070613_395255963831529472 x	RT @RVacchianoNYDN: What would Coughlin say to people who think he's too old? "Come out here, get with me at 5 in the morning and see who w?
45070613_395250136856944640 x	?@BizzaroZaun: Mike Zaun 1862. Enjoy folks. https://t.co/x424JzQNAo? @B_RAN09 @The_Ev12 @donhalbertskid @NukeDukem24 @Matthew_Winter
45070613_395253553180069889 x	@NukeDukem24 @BizzaroZaun @B_RAN09 @The_Ev12 @donhalbertskid @Matthew_Winter AROD? Call back in 150 years
45070613_395019846536417280 x	@AGrossRecord he's being nice
45070613_395004483992051712 x	@ShooterMcGowan1 @slapsnicoletti Montreal refs in New York http://t.co/0cUaJSQnOe
45070613_394314031907217408 x	Red Sox third baseman tripped the runner......
45070613_394313607074566144 x	Holy controversy #WorldSeries
45070613_394313530310422528 x	RT @jasonWSJ: Well this will go down smoothly.
45070613_394277172812472320 x	Rangers!!!
45070613_393804835742822400 x	RT @MikeFrancesaNY: :gets cookie:
45070613_393489814005489664 x	@jiBROjr gonna be even better when #NYR win in Philly
45070613_393395860781793280 x	@abfish @NikkiFavs #t2mafia #2heinekinsbroski
45070613_393068356775206912 x	?@Deadspin: VIDEO: Dwyane Wade is very afraid of birds http://t.co/iEF6StvpTt?@Matt_Imbo @Matthew_Winter @chiller_whalee
45070613_393019640978624512 x	@B_RAN09 RT@MikeFrancesaNY: Dis is my team right here. http://t.co/QJZpVyw5vE No one freshah dan my clique! http://t.co/kaHn2AsZaz
45070613_392733960092266496 x	@B_RAN09 @NukeDukem24 @The_Ev12  RT?@Deadspin: Mike Francesa threatens @MikeFrancesaNY http://t.co/vUk8NurEbt?
45070613_392735681790758912 x	@The_Ev12 @B_RAN09 @NukeDukem24 Did youah listen to his intaview with Bobby Aw?
45070613_392488321232171008 x	Wow, the Vikings are bad.
45070613_346729368128729088 x	@thelizbowers glad to know i helped fund everything!
45070613_392453612150198272 x	Shush RT @ESPNNFL: Eli Manning coming into tonight's game is on pace to throw 40 interceptions this season.
45070613_392453496836198400 x	?@MikeFrancesaNY: Cawks looks good. Pawse.? @B_RAN09 @NukeDukem24
45070613_392106991696740352 x	@StuartScott totally worth it
45070613_392024928578723842 x	RT @MikeFrancesaNY: :grins: :adjusts mic: :guzzles DC: @NukeDukem24 @B_RAN09 @The_Ev12
45070613_392024699091566592 x	RT @jerrycferrara: Jets get some well timed penalties
45070613_391799728469733376 x	@Broseidon_24 one heart
45070613_391772069601759232 x	@jaygeemsg crappy result but always good hearing you do play by play
45070613_391768122577129472 x	It pains me to see the Red Sox do this
45070613_391721202513113091 x	@ShooterMcGowan1 @rangerfan35211 hopefully the beers
45070613_391207254688415745 x	@JonPransky oh lovely, thats 2 towns over.
45070613_390955857959481345 x	@Garts2point2 Powe coming up
45070613_390664233652060160 x	@TheNYRBlog I don't like Step back on the ice here. Brings back memories of Nash last year.
45070613_390660109208403968 x	Not one Ranger goes after Brouwer. Unreal.
45070613_390655971137437696 x	@TheNYRBlog how much is DZ sweating?
45070613_389536543947632640 x	RT @BuzzFeedSports: ROB RYAN DOT GAAAAAAAAAH DOT GIF http://t.co/tSvUeky8fX
45070613_389536245254483968 x	Awful coaching Saints
45070613_389535424550821888 x	How do the Saints lose that game?
45070613_389529572615913473 x	Drew Breeeees
45070613_388779178688266240 x	RT @AdamSchefter: Condolences to Adrian Peterson and his family on their tragic loss.
45070613_388307639458738177 x	@stefaniealva happy birthday and happy duck hunting!
45070613_387771177298432002 x	@ShooterMcGowan1 nothing is easy
45070613_387772240579686400 x	@ShooterMcGowan1 right, we don't need the zebras helping.
