926272208_392529229478641664 x	RT @SprtsHumor: SportsCenter with a "reach around" joke - stayin' classy!! http://t.co/g38oFB8RFE
926272208_392370598808408064 x	@Alex_Goyette @MeghanNoury8 @NHL @NHLfantasy @YahooFantasy still counts. #beatme #whatisfantasyhockey
926272208_391022012833214464 x	@witchming the mighty wings
926272208_390353917181042688 x	RT @MeghanNoury8: Class Schedule for Friday next semester: GROTTO100 1:00-4:00, DRPRK201 4:00-6:00, KLDRS354 6:00-8:00, & the 400 level:KAT?
926272208_388698026585632768 x	RT @briegerry: vote! #brieforqueen #UDHC happy friday & happy homecoming! https://t.co/WiwcLrJfcB
926272208_387969137890570240 x	RT @SportsCenter: ICYMI: @SanJoseSharks rookie Tomas Hertl scored his FOURTH goal of the night on this mind-bending #SCtop10 move ? http://?
926272208_387284623254126592 x	@Alex_Goyette ?@RockTheRed: Cool Wikipedia edit: cc @broadsthockey http://t.co/VJrXAa3uEC?
926272208_385085388333015040 x	Hey everyone #UDHC is only 11 days away so don't forget to vote for @briegerry #brieforhomecomingqueen
926272208_385088756984066048 x	@briegerry do I like brownies? Yes. Do I want brownies? No. Do I want you to win? Yes. #brieforhomecomingqueen
926272208_387119674951217152 x	@briegerry I'll accept any baked goods from the homecoming queen doesn't want #brieforhomecomingqueen
926272208_385806074932383744 x	@MeghanNoury8 @Alex_Goyette well clearly you should watch the caps, they have have a better chance of winning #washingtoncapitals
926272208_385807264868995073 x	@Alex_Goyette well if they're not...it makes the decision as to which to watch very easy #buffalobills
926272208_385808833224114176 x	@Alex_Goyette so why are you having a mental breakdown? Caps will win #rockthered and the bills lose #sorrynotsorry
926272208_385813103465992192 x	@Alex_Goyette and that's why you'll be devastated If you go in think in they'll lose, you can't be upset if they do but thrilled if they win
926272208_385809024463409152 x	RT @Alex_Goyette: Just found out that @lauraford10 plays trombone ???
926272208_385083593804234752 x	@kevwalshie Alcohol kills germs right. Germs cause colds. Drink alcohol get rid of cold. My logic is flawless
926272208_385082874753736704 x	@kevwalshie go to jefe. That makes everything better. Right? Definitely. #Jefe
926272208_382624705272115203 x	@briegerry so I think since @Alex_Goyette is going to vote for @cynthx3 I'm going to even it up and vote for you #brieforhomecomingqueen
926272208_378592735303073792 x	@Alex_Goyette I knew that was @MeghanNoury8 's doing. Can't trust a patriots fan to know how to spell. #GoBills #loljk #gopackers
926272208_377605001394536449 x	@ayevarviva USA USA USA USA USA!!! Eddie Johnson!!!#USAvMEX #USMNT
926272208_375762529508933632 x	@heyrosay what was it datemyschool? Cause I also got invited...#awkward
926272208_375066432964685824 x	@Alex_Goyette @MeghanNoury8 I agree that sounds gross
926272208_374888636317040640 x	RT @LUCKY__21: Going to the bar cuz your AC is broken #SoCollege
926272208_373468031269498880 x	@MeghanNoury8 wait were you all sweaty and gross from RUNNING cause then no one would want to sit next to you #sofreshman #rookiemistake
926272208_372177895252561920 x	RT @LUCKY__21: Some men just want to watch the world burn https://t.co/XS076tPV95
926272208_371494868063105025 x	@KayleeGroff @stephenbeutel @Alex_Goyette @lauraford10 @juelMann @the0rthface gee guys thanks for the invite #leftout
926272208_368784018512162816 x	Going hiking for the next week. If you need me, I'll be lost in the woods. Texting probably won't happen #AT #lostinthewoods
