116364879_399294440596320256 x	Obsessed with my new puppy!!! #Dakota #puppy #MiniGoldenDoodle ? http://t.co/xKdEAEkwIC
116364879_398528107528716288 x	"You would think that somehow adult teachers could help themselves" - Parent on alleged teacher/student relationship. http://t.co/msTtV57ZCn
116364879_398289220185255936 x	#Tulpehocken Teacher charged for having sexual relationship with student. Parents react tonight @10:30. WFMZ... http://t.co/0tEzZnlXtB
116364879_398285764548501504 x	#Tulpehocken Teacher charged for having sexual relationship with student. Parents React Tonight @69News 10:30pm. http://t.co/msTtV57ZCn
116364879_398185661318307840 x	Police say a #Tulpehocken HS teacher had sexual relationship with school senior. More @69News 5:30pm http://t.co/bFPv1gM3aq
116364879_397951928979972096 x	It's official #TheresaJohnson & #MadelynFudeman will join the bench for #BerksCounty judges in January @69News http://t.co/3qS1v9osuT
116364879_397884776985550848 x	Do you think the shooter was justified in killing two armed robbers? The #BerksCounty DA seems to think so.. @69News http://t.co/GIg1rngesB
116364879_397544590288244736 x	"Concerned citizen" SHOOTS & KILLS two armed robbers. Details @69News #Reading #BerksCounty #LiveTeamCoverage http://t.co/4xN1jiJw4i
116364879_397446730809368576 x	Shooting at Kutztown Road & Moss Street #Reading. 2 victims. More @69News #BerksCounty http://t.co/Z0V3syod35
116364879_396377806256365568 x	@JacielCordoba I got one too! It makes Mondays so much better! #DunkinDonuts
116364879_396377351870615552 x	Did you VOTE today? #BreastCancerAwareness #ReadingHospital #BerksCounty @69News http://t.co/BFXsh91LeM
116364879_396362936400494592 x	What a gorgeous day in #BerksCounty #Fall #November1st #Reading http://t.co/0ZipygKTHQ
116364879_396081715363336192 x	Help push #ReadingHospital into 1st place for its #BreastCancerAwareness video. #PinkGloveDance @69News #BerksCounty http://t.co/BFXsh91LeM
116364879_395980246194724865 x	Police say she was plotting a coverup while a 16-year old boy was lying in the street dying. Find out why... @69News http://t.co/gPHzuGhank
116364879_395616560624041984 x	Would you pay $7 or $8 for a gallon of milk? Find out why you may not have a choice... @69News #BerksCounty http://t.co/8GVQW0adpp
116364879_395394425901547520 x	So sad to see @linagaudenzi go home. She was one of my favorites from the beginning. #VoiceKnockouts @NBCTheVoice
116364879_395373629182984192 x	Would you pay $7 or $8 for a gallon of milk? Find out why you may soon have to @69News 10:30pm. #FarmBill #BerksCounty #Milk #PriceHike
116364879_395365522277421056 x	Phish fans takeover downtown #Reading leading to more police presence and additional parking fees. @69News... http://t.co/cset6niZu7
116364879_395340389030588417 x	Flat tire... Whomp whomp. Thank God I have a photographer that can change a flat in 10 mins. @photoguy603 http://t.co/Obi8yASW2k
116364879_395276641347194880 x	SHOTS ring out at a #READING PLAYGROUND for the SECOND TIME in LESS THAN A WEEK. #PlaygroundShooting #BerksCounty http://t.co/WbSsMUyjyE
116364879_395024534698741760 x	#Reading police just brought in alleged playground #shooter. Tune in @69News Sunrise for the latest. #BerksCounty http://t.co/3VrdrcXnKq
