217297990_395917176760451072 x	Wish we could make it... http://t.co/DSZ1OkZJYh
217297990_397383536132771840 x	Should this be a scouting trip? http://t.co/M7176ulGUY
217297990_395941489047789568 x	Standoff after a pursuit....LIVE...now http://t.co/MYpkmHTbzf
217297990_395972326409641984 x	Hmmmmm http://t.co/aneUibdNsJ
217297990_399938014656610304 x	I can't vouch for the accuracy of this. You don't get breaks too often as a Vet, so try and take advantage of... http://t.co/slc0MqhthC
217297990_399935078790606848 x	RT @OMGFactsSex: 15 Ways To Give Her A Lady Boner- -ad http://t.co/Mn42kv6Y1k
217297990_399934270288166912 x	RT @UberFacts: From the 1500's to 1800's, the word "occupy" was used to refer to sexual relations. (Ex: To occupy a woman)
217297990_399926447277891585 x	I would love to get here for Memorial Day or Veterans Day one year. A favorite spot to pay respects to our fallen... http://t.co/4FZVX33FuE
217297990_399926088455180288 x	RT @ArlingtonNatl: Waiting for the #VeteransDay wreath ceremony to begin @ArlingtonNatl! http://t.co/KNoNxO6e4r
217297990_399925941268254720 x	@MikeFOX29 Who would I need to reach out to to come in for a quick bit for the Brad Fox Toys for Tots Hockey Game. Doing others on the 18th
217297990_399914203097882624 x	http://t.co/zTHLLOpQWd
217297990_399903960607494144 x	Andrew Stiteler Brad Reinert Looks like a perfect opportunity. http://t.co/h9YFVvyrD1
217297990_399901543560118272 x	RT @TiltedKiltPub: Thank you to all of the Veterans who have proudly served our country.  We love you! xoxo #veteransday http://t.co/Ont42m?
217297990_399879681723600896 x	Looks like the Slugs and Philly PD will be doing a publicity run on November 18th for this event. Any of my other... http://t.co/4ptq1hNJIU
217297990_399875001815691264 x	Oh yeah! http://t.co/rqih4QNRRN
217297990_399854129595813888 x	Happy Veterans Day and thank you to all who have served. http://t.co/1O8GMXn2UG
217297990_399853370632339456 x	Looks like we miss out again.... http://t.co/Wvjk4XSOi7
217297990_399695833735909376 x	Volunteer fire departments face pinch under healthcare law http://t.co/n6mzXtC25T
217297990_399691505520361472 x	And to think it could be snowing in 36 hours. #christmas
217297990_399673765438963712 x	Another cool tribute video to the USMC. See a ton of female Marines in this one. Very cool. http://t.co/p9nFzJ6CB7
217297990_399656682093281280 x	This my friends is AWESOME! http://t.co/qQj3Uer66i
217297990_399647751626969088 x	http://t.co/4kmQOBbODs #hahaha #helper
217297990_399625688367767552 x	http://t.co/1v4jyzHi8s
217297990_399611532113620992 x	Goggles....a new one for the fetish crowd http://t.co/x66Oewo285
217297990_399583484651798528 x	http://t.co/Rd7xIT3ryN
217297990_399577994433687552 x	Tribute to my Marine friends and their awesome mascot the English Bulldog! http://t.co/2Vz1zpH17j
217297990_399543768187404288 x	Congrats to the kids in the Spring Ford Marching Band winning the Cavalcade of Bands in Hershey on Saturday night.... http://t.co/E65OnhlXuw
217297990_399542916718526465 x	Let the marathon fortnight begin!
217297990_399533034355314688 x	Story gave me a chuckle. http://t.co/etS3lppox5
217297990_399397505475289089 x	To my friends and family who have served in the United States Marine Corps, Happy Birthday!!!!...Enjoy your day... http://t.co/YZdGUvtnDS
217297990_399395414296002560 x	One Look At The United States-Canada Border Reveals Some Ridiculous Things http://t.co/62lNXYSqrx
217297990_399252331843563520 x	#slugshockey http://t.co/y0YJy8jr5g
217297990_399242051264720896 x	Blind squirrel finds a nut for the case of TastyKakes!!!! About time.
217297990_399241674284888064 x	PECO Power Play is powered by mice.
217297990_399237354218860544 x	NHL's worst defense against the Flyers....hmmm. Could we actually see some scoring today?
217297990_399228626945978368 x	http://t.co/9vjik7cPT3
217297990_399220841734737920 x	3 Easy Ways To Pay Off Your Mortgage Early http://t.co/Vt7Y61eiy9
217297990_399203743759355904 x	What more could go wrong? Trade my favorite guy on the team? Sure, why not. I really hope Ed Snider leaves soon.... http://t.co/kFfSKPaZZ8
217297990_399199465476984832 x	I guess its not hard to believe this. Any of my friends with ties to Kentucky, please share this and spread the... http://t.co/4oPSOUtq0i
217297990_399000696718376960 x	http://t.co/8PXHMDPBnn
217297990_398896569766137856 x	Sadly, the man is living in a 1974 world. Ummmm....that was 39 years ago. Time to wake up and smell the coffee.... http://t.co/loxtYQRj4f
217297990_398891439217590272 x	@sbaickerCSN  Its the curse of Jerry Wolman, Ed needs to sell and go to an old folks home and celebrate 1974 again. #time2moveon
217297990_398870677454741504 x	@sbaickerCSN Heck the team is barely a point per game this season. No one stands out as a leader on or off the ice. #sadtimes
217297990_398866065893392385 x	For those of you sick bastards who have 10 minutes to kill. You will cringe over and over. http://t.co/DMXQI1JGPb
217297990_398826514026090497 x	Damn it is getting closer. http://t.co/DYIK6rWWki
217297990_398822845096415232 x	http://t.co/mgZiknqwXn
217297990_398638446824398848 x	The Flyers continue to make NHL goalies look like Vezina Trophy candidates. #sad
217297990_398561884284411904 x	http://t.co/5VgIuing5K
217297990_398503948644253696 x	Traded in the middle of a pickup game...smh. Yes that is a Monsignor Bonner alumni jersey http://t.co/bajvEsK7hp
217297990_398497376048279552 x	Wax laces = slight improvement. I am going to get there. More practice. Great support from peeps. #goodtimes
217297990_398442144308154368 x	Morning therapy session...lol (@ Ice Line) http://t.co/Re9sclYat6
217297990_398326467635212288 x	While neither of my parents were cops, we had enough family and friends who were. Some of these were prevalent... http://t.co/h4ia794lrc
217297990_398141944796553216 x	Last time I checked it was a family restaurant.... #justsayin' http://t.co/Em3BECdVHH
217297990_398124888340590592 x	The followup to Tim's post. I only recognize one on our team as a regular. The guy who can't skate. http://t.co/JTSr3P8mga
217297990_398112368032776193 x	I posted a new photo to Facebook http://t.co/rU1jxYjjp2
217297990_398111042934681601 x	http://t.co/BoFzXJbTBG
217297990_398092532183470080 x	Serious message but funny as heck. Git r done! http://t.co/c5vIXKg5G4
217297990_398086900260798464 x	http://t.co/0Vm1eyRXH8
217297990_397901352191664128 x	I saw a handful of bogus crap penalties last night....this looks eerily similar. lol
217297990_397794073555505152 x	I usually don't get political but just want to remind my friends in Lower Pottsgrove to get out and vote for... http://t.co/Vjy0vTAwWf
217297990_397781953795354624 x	I'm at Lionville, PA (Exton, PA) http://t.co/EOL6S1CRb7
217297990_397779521958854656 x	Getting Emma her first stick (@ Total Hockey) http://t.co/1qYYoNLepu
217297990_397717203308802048 x	http://t.co/KZNWiG3TJl
217297990_397705659518812160 x	What will I do when my news source leaves my office for his new gig next week? You guys may miss out on... http://t.co/owdMV3sBd7
217297990_397581127613169664 x	Slugs win 6-3 in a penalty riddled family night game.
217297990_397519333238534144 x	Pre game coloring book time. Its a far cry from the usual pre game. Wait, then again maybe it isn't.
217297990_397482996384944128 x	Paula's Fan-tastic Giveaway! http://t.co/ynbtrKBtar
217297990_397474250078314496 x	There are a ton of jokes to be made about this one....feel free to chime in. http://t.co/xOndWMbRoJ
