142552713_396713133047545856 x	@NonStopHoops Very original statement there. You're boring try harder.
142552713_396144967951065088 x	Steph Curry causing Clippers fans to shake their heads in disbelief . #NBA #buckets  #stephcurry
142552713_395607616744730624 x	@hamiltonnolan What's your take on The Swaps Regulatory Imprvment Act? (h.r 992) I smell bullshit.
142552713_385900375695716352 x	RT @streicher187: Is Louie Gohmert really still speaking on CSPAN or are they airing a Saturday Night Live skit?
142552713_385898631683117056 x	@cspan I guess I'm not the only one falling asleep during @replouiegohmert 's speech. My god is he insufferable.
142552713_385892547471900672 x	@replouiegohmert You and your thug colleagues stripped away the public option from ACA. That was the "compromise" & "input."
142552713_385891119525285888 x	@replouiegohmert And I could cherry pick1000 emails detailing thehorrors of the insurance industry prior to ACA.
142552713_381932775773077504 x	RT @drewmagary: Tonight Walter White assumes a new identity, goes BACK to teaching chemistry, and leads a group of inner city youths to the?
142552713_380063774751080448 x	@lawlornfl @turkdaddydollar @RavensInsider Kerry Rhodes ?
142552713_358773848185274368 x	RT @SheilKapadia: Eagles Wake-Up Call: Training camp preview series continues with a look at McCoy, Brown and the RBs. http://t.co/VeLWULFO?
142552713_350397194911760385 x	RT @gonzoCSN: To get a taker for Evan Turner, the Sixers need to find the one or two GMs who are incapable of reading an advanced stat shee?
142552713_350393785311707136 x	RT @williamfleitch: Currently sitting three feet from @WojYahooNBA. Expected him to be whirling, levitating, engulfed in flames right now. ?
142552713_350393658756960256 x	@Dweebowitz @Liberty_Ballers I'd cry.
142552713_327584613478318081 x	@RealGlenMacnow Glen don't do this
142552713_298252518985715712 x	RT @yoopergirl74: @TheSBLights well played.
142552713_298251070348599297 x	RT @FakeWIPCaller: This is the biggest sustained failure in a Super Bowl since the Eagles' final drive in '05
142552713_298251013406740480 x	@cbssports No highlights during this hiatus ?? #Superbowlfail
142552713_294569786891960321 x	@SportsRadioWIP @RealGlenMacnow Franco Harris is delusional, like all the other Paterno apologists This is disgraceful. He's rambling.
142552713_294572295182249984 x	@RealGlenMacnow @SportsRadioWIP Well I commend your patience. You both took the classy route, I wouldn't have been able to do the same.
142552713_293930601780752384 x	@Andy_Staples When will the national media accept that Philadelphia is not the same blue collar town it was 35 years ago? Lazy #SI #Eagles
142552713_293930154034606081 x	@Andy_Staples "[ Philadelphians] consider Cheez Whiz the Lord's condiment." Shameful, cliched writing, Andy #SI #Eagles #ChipKelly
142552713_282520358836375552 x	RT @thekidet: I hate when people I know post relationship probs on social networks #idontwanttoreadthashit
142552713_281897706534891520 x	@FakeWIPCaller Caller on Afternoon Show:"The Phillies arent the Antichrist of Philly sports like the Eagles are."You can't make this shit up
142552713_281602896271929345 x	RT @FakeWIPCaller: If we're getting an Angels outfielder, why Vernon Wells? Rube should hold out for Trout.
