1083881696_389754370952531968 x	@NK975 All aboard the foles bandwagon #sevens>threes
1083881696_396279409243865089 x	RT @NBCNews: $300k Ferrari run over in NYC by delivery truck backing up http://t.co/MNha6qlJlv http://t.co/VOlLsL7EmO
1083881696_395919791065944064 x	@phillysport @robtornoe "I just wish Chip would do a better job."
1083881696_395917510169866241 x	@MCW1 as long as you play with the heart we all saw last night, Philly will love you forever. Just look at the love for AI. Great game bro
1083881696_395899991967150080 x	@WIPMorningShow If victorino winning bothers you, wait until the chiefs win a super bowl #twotothreeyears
1083881696_395727517090598912 x	@RealSkipBayless you really are the worst. The guy wins two consecutive championships and you shred him for a regular season loss.
1083881696_395703639731630080 x	@BobCooney76 not sure how that's funny
1083881696_395644975574052864 x	@TheRevBobLevy it ain't a big deal for boston anymore, they win a championship every year in a sport or two. cardinals fans are spoiled too
1083881696_395650728234319872 x	@TheRevBobLevy were you there old man? Just kidding, couldn't resist
1083881696_395656904367550464 x	@TheRevBobLevy One day I'll be saying to my grandkids "when I was your age, I could go to a World Series game for 700 bucks!"
1083881696_395632840429162496 x	@TheSportsHernia who avg.'s 30 a game, hall of famer, MVP, takes on the role of being a 6th man? Maybe jerry rice shouldve been a 2 receiver
1083881696_395637127309832192 x	@TheSportsHernia ha, thanks.
1083881696_395633643852267520 x	@bomani_jones jersey retirement will come when they try to get us to stop talking about #Tankadelphia again
1083881696_395631615205859328 x	@NoahCoslov @975TheFanatic my two favorite players growing up
1083881696_395631333268918272 x	@bustedcoverage you know youre not from NJ when you name your first child Camden. around here that's like naming your first son Detroit
1083881696_395629375304916992 x	@ReillyRick I can't believe I'm saying this, but that is a cool graph, Rick Reilly
1083881696_395614154155110400 x	@975TheFanatic do you think he cared about "announcing retirement" or did the sixers pay him to announce it so we'd pause on "rebuilding"?
1083881696_395550993943113729 x	@dbgamber @sguinan11 @gonzocsn yea but the sixers have the pelicans pick as well, and plenty of cap space. Also best draft class since '03
1083881696_395559018535456768 x	@dbgamber @sguinan11 @gonzoCSN LeBron Kobe KG T-Mac D-Howard Amare Monta Ellis Bynum Al Jefferson never played 1 college game, ever
1083881696_395613564121407488 x	@dbgamber @sguinan11 @gonzocsn I always tell people, the only thing worse than basketball hell is basketball purgatory
1083881696_395603040696152064 x	@dbgamber @sguinan11 @gonzoCSN the bulls got Noah 9th pick and Rose 1st overall the year after, a nice foreshadowing of Noel/this years pick
1083881696_395602418278223872 x	@dbgamber @sguinan11 @gonzoCSN the rockets bottomed out and got hakeem, sixers bottomed out and got iverson
1083881696_395599444625719296 x	@dbgamber @sguinan11 @gonzoCSN The Magic made a finals after tanking and getting howard, but like cleveland they couldn't surround him
1083881696_395595489909166080 x	@dbgamber @sguinan11 @gonzocsn lets see, the thunder, the clippers are good, cavalears made a final but couldn't capitalize helping lebron
1083881696_395599183165394944 x	@dbgamber @sguinan11 @gonzoCSN The Spurs got Duncan after a year in last place, perfect reloading as Robinson was on his way out
1083881696_395561309615292416 x	@dbgamber @sguinan11 @gonzoCSN Shabazz Muhammad gets 935,000 results on Google. Andrew Wiggins gets 38.9 million results
1083881696_395594914987528192 x	@dbgamber @sguinan11 @gonzocsn decent way to measure popularity, or who "the guy" is
1083881696_395403357227339776 x	@taoish @southern_philly @brandongowton @dklausner Riggin for Wiggins. The #sixers official slogan for the year is #TogetherWeBuild
1083881696_395378976094699520 x	@TheRevBobLevy sounds like a heat hater to me
1083881696_395333455137210368 x	@Deadspin but I don't wanna be a pirate!
1083881696_395298592787030016 x	@FakeWIPCaller nah, just the NFC east
1083881696_395290897946271744 x	RT @TheRevBobLevy: National Cat Day and national friend day wtf is this world coming to...how about national suck my cock day
1083881696_394983776197283840 x	@TalkinJuansense was a boss then, is a boss now #EightAndDonut #AndyLovesDonuts
1083881696_394983443513487360 x	@RoobCSN @bfeldman5141 is he the only defensive player worth keeping long term? I feel like Trent's going to explode the way they use him
1083881696_394946264590471168 x	@BlkSportsOnline @realmarkgunnels this matters very little
1083881696_394929718719307776 x	@1milli_for_me @RealGlenMacnow Ben is a 2x pro bowler 2x champion. 32 GMs in NFL would take russell and kap over vick.
1083881696_394556164224344064 x	@NK975 if this game lasts longer than four hours, well... You know what to do
1083881696_394533254952656897 x	RT @FakeSportsCentr: Matt Barkley remains the only person in the NFL who hasn't figured out Chip Kelly's offense
1083881696_394533126497894400 x	@TheRevBobLevy nailed it right on the head, boss
1083881696_394529202529390592 x	@marclamonthill we all agree on the former, no one is saying the latter. Everyone is saying the qb of future is not on this roster
1083881696_394527060754198528 x	@RoobCSN Chip for brains Kelly didn't think that's be innovative enough
1083881696_394525956607856640 x	Lou Reed died.
1083881696_394523636276944896 x	@gonzoCSN smoothies all around! #Innovation
1083881696_394522753413283840 x	twitter the only thing on earth that would pronounce Riley Cooper as similar to Marcus Vick #Eaglestalk http://t.co/BvznebL4IN
1083881696_394521488470315009 x	@NK975 a team is only as good as its players #Eagles
1083881696_394520525948854272 x	RT @gonzoCSN: Vick on the bike. Too bad it's stationary. Bet he'd like to ride it out of the stadium right now. #Eaglestalk
1083881696_394494402544304129 x	@PompeyOnSixers @nerlensnoel3 Bravo! Do it right, like the clippers with Blake griffin and the bulls with D Rose
1083881696_394492656556208128 x	@975TheFanatic Can't believe yous just mentioned Stacy Andrews. Was doing just fine having forgotten all about em
1083881696_394491884468699136 x	RT @carrotfact: Just always remember Sunday carrots are holy carrots
1083881696_394491690050129920 x	@TheRevBobLevy fly iggles fly. Gonna be ugly, haha
1083881696_394464980017635328 x	@darrenrovell teleportation for the team?
1083881696_394224752304615425 x	@BlkSportsOnline the titanic has hit the iceberg with its overpaid captain at the helm
1083881696_393913526521454592 x	RT @Fascinatingpics: They are real! http://t.co/662hGf6U7E
1083881696_393898705020915712 x	damn, definitely just ate way too much chinese food. sticking with the chinese to feel better with ginger tea
1083881696_393892758190321664 x	@talkinjuansense @beckster763 this isn't the amazing "fencewalk" but it's good, especially the 2nd song http://t.co/e9r1OOoQKR
1083881696_393886055432466433 x	@FakeWIPCaller that's a good way to overpay players past their prime #TeamPapelbon
1083881696_393885730441027584 x	@BlkSportsOnline does he know that in bowling you can't publicly blame anyone else for mishaps?
1083881696_393845551139418113 x	@CBSSports @dennisdoddcbs the perfect jinx to lead to a @cardinals loss #SoxIn6
1083881696_393805414346665984 x	@MikeMiss975 you could send me to a high school field hockey game before #BonJovi and #Journey. Forget jealousy, just horrible music
1083881696_393803727024304128 x	@WillBrinson That's like saying you're in better shape jumping off a building than jumping off an airplane.
1083881696_393795990916202496 x	@PompeyOnSixers cue up the band: Na Na Na Na, hey hey hey, good bye #Disappointing #Sixers #Bust
1083881696_393795403864621056 x	@thekidet: "I'm not a GM. ... I'm gonna get money regardless." get outta town you bust with a bad attitude #Disappointing
1083881696_393750240064733185 x	RT @JayBilas: Happy Birthday to Bob Knight, one of the best coaches, in any sport, in American history.
1083881696_393480925327425536 x	@BlkSportsOnline can you blame him?
1083881696_393453548312084480 x	@MikeMiss975 Springsteen shouldn't degrade himself playing with Pearl Jam. Did the right thing simply supporting a friend by being there
1083881696_393397847716286464 x	@TheRevBobLevy @johnclarknbc10 NUMBER FIVE WILL ALWAYS LOVE YOU #NeverForget #EspeciallyWhenYou'reDown
1083881696_393382237041098752 x	@RoobCSN I wouldn't put anything past Howie. Speaking of which, just realized our leaders go by Howie and Chip. Sigh.
1083881696_393149346944139264 x	Yo @TeamLou23 do you miss Philly at all cuz we miss you big time
1083881696_393148303594233856 x	@Nuzzaroo @sixers shoulda kept Lou will! Lovin that jersey
1083881696_393138409482768385 x	@BlkSportsOnline allegedly? Really? He doesn't seem like the type that'd skip practice unless he had to. #WeTalkinBoutPractice #NotTheGame
1083881696_393137832388493312 x	?@WOWFactsOfLife: Intelligent people have a harder time paying attention because they bore easily.? this is my excuse n I'm stickin to it!
1083881696_393135828970790912 x	@IJasonAlexander get your Pagliacci here #scalpem
1083881696_389754506189496320 x	@MtAiryPhil975 All aboard the foles bandwagon #sevens>threes
1083881696_393134734920138753 x	@BrianSeltzer do they not know the phrase #rigginforwiggins ?? Positive energy sounds like a challenge
1083881696_393130481057038336 x	@TalkinJuansense @sjprep you better hope your car insurance company doesn't see this
1083881696_393116480872513536 x	@MikeMiss975 Dont go 2 concerts and complain about what U didnt hear. You can check the band's recent setlists beforehand to see whats comin
1083881696_393119855030726656 x	@MikeMiss975 not at all, just a concert goer. Neil Young, Van Morrison and Bob Dylan aren't scared to play ZERO songs that you've ever heard
1083881696_393101059050442752 x	@BlkSportsOnline will belicheck be attending?
1083881696_392662393643597824 x	@LesBowen is anyone taking odds on if he can make it to the bye week?
1083881696_392635652480974848 x	@BrianPHickey cool it hater. Bulls gave Derrick Rose a full year to heal watch what he's gonna look like. Noel is Blake griffin 2.0
1083881696_392618709573197824 x	@socallmeKP mornin! Have a great day!
1083881696_392493163530952704 x	RT @ESPN_Numbers: Eli Manning has done it. He has completed 10 drives without throwing an interception. 1st time this season.
1083881696_392485788157743105 x	Never thought I'd say this... Attaway Giants! #Eaglestalk
1083881696_392385082822262784 x	@clintwilber @nytimes 1. The coffee was 180 degrees, way over limit 2. Look at the picture, she got scorched. 2 years treatment, lost 20 lbs
1083881696_392242321989062656 x	@TalkinJuansense man that was fun, even in the 6 AM hour
1083881696_392018380712341504 x	@NK975 two ugly picks, boss
1083881696_392017859960131584 x	#cowgirls have no discipline. Penalties everywhere. Beast of the Least but not by much #Eaglestalk
1083881696_392016429559853056 x	@bomani_jones @ashleyfoxespn no problem, we've been disappointed our whole lives
1083881696_392011472496500736 x	@MikeMiss975 if Vick starts next week, will he make it to the bye week?
1083881696_392008821390209024 x	@mikefreemanNFL Vick can't go a game without worrying about injuries and turnovers #unacceptable
1083881696_391999380028686336 x	@MtAiryPhil975 @mikevick can't go 8 games, never mind 16. And it's only halftime, plenty of football left #sevensoverthrees
1083881696_391991330664349696 x	Can the #Eagles overcome this 3 point deficit? #Eaglestalk
1083881696_391988363580149762 x	@NK975 great stuff
1083881696_391983642383495169 x	@pdomo let's go back to whats been working
1083881696_391977086149464064 x	Wish I had body armor to protect myself at this shootout #Eaglestalk
1083881696_391973852907327488 x	@NK975 must get running game going
1083881696_391236373614972928 x	RT @UltClassicRock: 25 years ago, a decent band - Dylan, Petty, Orbison, Harrison, Lynne - released their debut album: http://t.co/VrYXHI64?
1083881696_391234074083598336 x	RT @carrotfact: I got 99 problems but carrot aint one
1083881696_391018237384998912 x	RT @Fascinatingpics: If you have. http://t.co/o8Eu4CiZqK
1083881696_391007408287678464 x	@RealTylerTynes teams drafted almost everyone available before Tom Brady #199thPick
1083881696_390866881374334976 x	@JimIrsay I hope you're ready for the broncos to put "star wars" numbers up this Sunday
1083881696_390628995416739840 x	@NK975 @mikemiss975 the more the merrier for live broadcasts as there's nothing else on tv
1083881696_390628602024566785 x	@NK975 Key to this game is time of possession unless romo puts together 2 minute touchdowns all game. Scared of their offense against our D
1083881696_390626944758595584 x	@Jeff_McLane Westbrooks not the same guy in another system (pass heavy Reid and the way he uses RBs, #5, great oline) shadys great anywhere
1083881696_390612486262890497 x	@vsenick @nk975 dont 4get zero o-line and a team that already quit. Regardless, this is fole's first big game against a good team #GoBirds
1083881696_390584724642861056 x	@NK975 I'm convinced the phillies wouldn't have even made the playoffs in '08 without Lidge
1083881696_390557596475985920 x	@NK975 @tylersmith2497 great call with lebron, I was thinkingARCHIE Manning, Barkley w/sixers, randall, Carlton, Kevin Garnett and T-Mac
1083881696_390486034347466752 x	@RoobCSN that's a testament to just how good a quarterbacks coach Andy Reid was
