1491828902_382400531542851584 x	#sleepParalysis ... fml  ?
1491828902_382280575098552320 x	RT @EricBootie: @alisavisa http://t.co/J64IKj9zEP
1491828902_395271976433881088 x	happy #NationalCatDay y'all! I love my pussy !!!! ??????? http://t.co/GQFefsMhD0
1491828902_395211332255252480 x	RT @motives: Every day may not be good, but there's something good in every day.  ~Author Unknown
1491828902_395172888732770304 x	RT @Theorossi: One year ago today #Sandy hit my hometown. Coincidentally today I'll be pulling up from cross country trip to start a home. ?
1491828902_395172701377421312 x	RT @jerrycferrara: I am proud to announce the #Entourage movie is officially a GO! Have to thank @wbpictures  and @HBO for all the support ?
1491828902_395172410712162304 x	RT @wpm204: MAC Lipstick Dupes Using Motives Cosmetics, Part 2! via @lorenridinger http://t.co/FmV0ujfbhI http://t.co/uYH7Hgb8sY
1491828902_394997175090155521 x	what a life
1491828902_394979116006785024 x	RT @girlposts: the first five days after the weekend are always the hardest
1491828902_394978875274715136 x	RT @TheComedyHumor: I like Twitter more than Facebook because I can update my status every 5 minutes without people thinking I'm crazy.
1491828902_394978633863155712 x	RT @TheComedyHumor: Perks of dating me: I laugh at my own jokes so you don't need to.
1491828902_394970978792382464 x	RT @TotalLyrics: I think I'll miss you forever, like the stars miss the sun in the morning skies. - Lana Del Rey
1491828902_394943009512378368 x	RT @reIatabIe: me: i want to lose weight  me: i want skinny legs  me: i want a flat stomach  me: i want to be thin  me: *sees mcdonalds*  m?
1491828902_394606135288012800 x	you look like Babe Ruth's brother , Gabe Ruth #knockedUp never gets old
1491828902_393375977541480448 x	nothing worse than a fake Instagram model ... who's a dude ?
1491828902_393308053610586112 x	RT @girlposts: i have two moods:  sleep is for the weak sleeping for a week
1491828902_393179700442705920 x	RT @girlposts: i?ve been stressed out since like the third day of second grade
1491828902_393050236446605312 x	RT @theviewtv: The mega-talented @ZZWard performing "365 Days" now !
1491828902_392869643322658816 x	wtf is transvaginal mesh?!?!?
1491828902_392852832489340928 x	RT @SonsofAnarchy: "Guess I?m just a sucker for a pretty face." - Jax
1491828902_392840081800966144 x	RT @ECharlieHunnam: #SOAFX Right Now!
1491828902_392821060993044480 x	I wish I had a real job that required me to relocate .
1491828902_392822311025668096 x	@alisavisa awww I lovie! can't wait to visit and never come home . lol
1491828902_392821964097994752 x	@alisavisa where ???
1491828902_392821715946205184 x	@gina_marie28 ok I'm ready when you are ...
1491828902_391362460298788864 x	@gina_marie28 I don't even know what I did .. I'll txt u 2mro
1491828902_391359822115115008 x	@gina_marie28 I'm in ! let me get through these showers and weddings ... and my dislocated shoulder ?fml
1491828902_390825477965119489 x	#AmericanHorrorStory is the best show on tv, maybe of all time .
1491828902_390472386086440961 x	Come out 2Landmark in Glassboro 2day.Eat, have a drink or 10,see me 4coupon. 25% goes 2Dave's children's fund.
1491828902_390102296065216512 x	@Cguardiani #furby http://t.co/SAvN1xVMAN
1491828902_390100561011691520 x	Please come out 2Landmark in Glassboro 2mro.Eat, have a drink or 10,see me 4coupon.25% goes 2Dave's children's fund. http://t.co/zsTgYnAkq4
1491828902_389076228751507456 x	RT @AdrianPeterson: God Bless everyone and thank u so much.
1491828902_388719684180533248 x	@gina_marie28 YES !!! I just saw that on fb and was going to send it to you lmao ...
1491828902_388506235290787840 x	@gina_marie28 LOL Tone is so nuts !!!!!!!! ??
1491828902_388456802050138112 x	http://t.co/LMdZj3abkd Lit a special one just for *you* #missYou more than words can express.I will carry you with me, till I see you again.
1491828902_388455876568182784 x	#RememberingCory http://t.co/0MA2XFabHW I light a candle in memory of all of those who lost their battle w/drugs&those who r still battling
1491828902_388311716876279808 x	@Cguardiani @gina_marie28 @GiannaOrsimarsi @Slaydele haaa ok ????
1491828902_388295221538463744 x	@gina_marie28 @GiannaOrsimarsi @Cguardiani @Slaydele never mind then  lol .we'll fig it out I'm in another wedding in April too .
1491828902_388140028964405248 x	we should def do New Orleans this year .esp since #AHS takes place there this season @GiannaOrsimarsi @Cguardiani @gina_marie28 @Slaydele
1491828902_388288806098829312 x	@GiannaOrsimarsi @Cguardiani @gina_marie28 @Slaydele  would love to go 4 mardi gras
1491828902_388116938112917504 x	http://t.co/6MnVNHiSnW
1491828902_386310072143720448 x	@la_vita_dolce #fergaliscious
1491828902_385779781738196992 x	@JennyMcCarthy ...???? ... obsessed with every pair of glasses you wear on the show!!!! xoxo
1491828902_385778090645127168 x	@la_vita_dolce #nickCarter is on @WendyWilliams todayyyyyy lol
1491828902_385400869866725376 x	@ZZWard you were amazing last night !!!! so talented ... come back to Philly soon ??
1491828902_385034263193985024 x	looking forward to a night out with my sister @la_vita_dolce !! Going to see @ZZWard at the TLA ??????
1491828902_384700052641693696 x	@la_vita_dolce can NOT wait! ?
1491828902_384452504958021632 x	helping others was your talent , yet you couldn't help yourself. I love you and I am missing you tremendously today. ??D.E.M??
1491828902_383684076466892800 x	every vehicle that has an Obama Biden sticker .... I drive by and shake my head at them .
1491828902_383326084810694656 x	@EricBootie funny bc I always said my next car would be a jeep. I'm actually not a big pink person..., but I like my pink camo AR.
1491828902_383436175689916416 x	@EricBootie not enough !!!!!!!
1491828902_383325754282749952 x	RT @EricBootie: @alisavisa Get rid of that bug Alisa. I found your perfect match. LoL http://t.co/dcKh3Qh6wV
1491828902_382705841901940736 x	wish Jax would get at least 1 good looking girl at some point. Tara is pale ,Wendy is a junk box n the new chick is a buck tooth hooker #soa
1491828902_382700866115235840 x	so hype for #ahs #coven
1491828902_382260353528131584 x	@EricBootie not a big fan of revolvers.... I don't know why. I love my glock.
1491828902_382280552659025922 x	@EricBootie that's better !!!!! love it lol
1491828902_381941736102445056 x	watching @melissagorga singing or whatever you may want to call what ever it is she is doing , is painful ...and I'm embarrassed for her .
1491828902_381279764163887104 x	RT @ZodiacFacts: #Taurus are set in their ways. Getting into a fight with them is like getting into a fight with a brick wall.
1491828902_375414800807129089 x	My dream ?@ECharlieHunnam: http://t.co/dogwWMVw7a?
1491828902_380710542895509504 x	RT @KippirW: Obama's half brother Malik Obama is on Egypt's Terror Watch List as a Muslim Brotherhood member. http://t.co/BudsgpwNFu
1491828902_380710396057124864 x	RT @ZodiacFacts: As a #Taurus one thing you can't stand is when someone can't respect your boundaries.
1491828902_380710268478947328 x	RT @OhMrWonka: I think car horns should sound like gun shots....I bet you'll move then
1491828902_380710096978063361 x	@LukeBryanOnline on @theviewtv today!!!! Love him!!!!!!!!!!????
