1728909049_395387695720972288 x	Check out #Predella http://t.co/fallqvLv2Y
1728909049_399733692798472192 x	@ddkoban follow me! Miss u!!! ?
1728909049_399702533586681856 x	RT @UnrevealedFacts: As you breathe right now, another person takes his last. We suggest you to stop complaining, and learn to live your li?
1728909049_399609151409500160 x	Just made a healthy scramble- egg whites, roasted red peppers and low-fat swiss cheese. Yummie!!
1728909049_399589923059032064 x	Trying so hard to find my "inner-beast" to hit the gym!!! Just not feeling well! ?
1728909049_399030214661242880 x	I cant even comprehend how Im getting up at 5 am tomorrow, working out, pulling an 8hour day in OT then being ready by 7 for date nite????
1728909049_399028747040350208 x	RT @DamnSoTrue: People spend too much time looking for more, instead of appreciating what they already have.
1728909049_398814172735365121 x	Just witnessed a homeless lady getting beat up by a dunkin donuts employee for spitting on her! #HAPPYFRIDAY
1728909049_398807860312035328 x	How is it that I get up at 5am and still have to rush to be on time for work starting at 9???
1728909049_398423313619226624 x	RT @SoDamnTrue: me every morning http://t.co/QXmJaIW2TL
1728909049_398422651237982208 x	Woke up pretty much unable to move! Im so sore! ?
1728909049_398253294923304960 x	I just got my ass handed to me.Its been MONTHS since i've done kickboxing&Mr. Lawrence Whitaker just happens to teach the class! #mortified
1728909049_397945651943587840 x	It is BEYOND ME how people could take "selfies" of their ugly muggs real close and put all over social media for all the world to see! ?????
1728909049_397489926880919552 x	RT @phillyblogger1: "Never part without loving words to think of during your absence. It may be that you will not meet again in this life."?
1728909049_397332716472913920 x	Feeling energized!!! ??????
1728909049_397108775745634304 x	Weekend homework with my Claudia
1728909049_397084306125762560 x	Sunday brunch @Sabrina'sCafe ??
1728909049_396676271632961536 x	Weekly brunch at Black & Brew with my best friend after her class ?
1728909049_396646228810686465 x	At the gym while Claudia is at dance! Getting to have my cake and eat it too is a beautiful thing!
1728909049_396435813258379264 x	Already ready to call it a night. Dance/gymnastics for Claudia in the a.m. & hitting the gym for mommy...???
1728909049_396232205166317568 x	... And now we officially move into HOLIDAY MODE!
1728909049_396048357635813376 x	http://t.co/GtycLC52EB
1728909049_395871349559660544 x	???HAPPY HALLOWEEN???
1728909049_395385907693764608 x	Can't wait to get our tix to see KOL in February! 40 is already looking great for me!
1728909049_395018742171963392 x	RT @CommonWhiteGal: I wish I could afford the fashion taste I have.
1728909049_394807861559435264 x	WHITE TRASH r people who let my kid sleep in puke b/cause they were 2 fucked up to hear her calling for help! Not me u whore! Fuckin inbred
1728909049_394636200960872448 x	RT @neimanmarcus: Click! We'll donate $1 to arts education for everyone who retweets this, up to $10K. Arts education is the #HeartofNM
1728909049_394489992908918784 x	Just sweated out 5 miles of anger ??
1728909049_394349319819890688 x	I just witnessed the true meaning of total garbage. Can't say I'm surprised. ??
1728909049_394287867507515392 x	Bucks County is definitely the land of the ugly!
1728909049_393898389660000256 x	Watching "Death Becomes Her" with a grilled chicken ceasears w a bottle of Merlot. This movie still cracks me up- M.Streep & Goldie Hawn!
1728909049_393782648810012672 x	My nerves today! ????
1728909049_392994549876150272 x	Already in a lazy mood. Going to the gym this afternoon will be a true challenge. I hope my body thanks me for it later
1728909049_392789789159993344 x	People that look like a year round Halloween Prop w/ a face so ugly it can stop a clock from ticking have no business name-calling onTwitter
1728909049_392788769742811136 x	RT @OfficiaIWitch: If you don?t like me it?s only because I intimidate you. Or you?re just jealous.
1728909049_392465170322456576 x	RT @babydom1214: I can't stand people
1728909049_392464158089691136 x	Urban Dictionary: beat time http://t.co/Z1mhlVSFlu
1728909049_392441137639989248 x	Started back strong at the gym. Balsamic chicken and corn for dinner followed by a full 8 hours of rest
1728909049_392272501348130816 x	The educated differ from the uneducated as much as the living from the dead. Aristotle
1728909049_392246740503777281 x	I hate waking up and its pitch black outside!!!
1728909049_392146563075960832 x	Tomorrow starts severe working out& back to healthy eating. I cant sleep because I'm in carbohydrate toxic shock!!! Gotta focus&take control
1728909049_391988618778378240 x	??St. Monica Fall Festival ??
