Topic Number,Probability,Level,Topic Words,,,,,,,,,,,,,
0,0,0, game tonight watch night url wait watching i'm good great season excited job can't it's friday time fun person sports tomorrow ,,,,,,,,,,,,"0,","0,"
1,0.010750535,3, url gold volisa black beautiful gorgeous white ring engagement love modern gift luxurious yellow greek bridal classic fashion color women wedding ,,,,,,,,,,,,"3,","3,"
2,1.17E-05,0, url dame notre win follow michigan mitch game great psu enter people read college campus irish nov instructions sweepstakes wolverines nail ,,,,,,,,,,,,"0,","0,"
3,1.25E-05,2, url ray i'm north lewis stars remember cover book guy green design people fiction conway trust love carolina beast dancing ups ,,,,,,,,,,,,"2,","2,"
4,1.17E-05,2, url making i'm friends style rewards mind mpoints search weightloss quotes word fat learned weightwatchers playing amp weight rory girls flight ,,,,,,,,,,,,"2,","2,"
5,5.69E-05,1, url order year sports number game player nba calls iverson allen design conference top rank games press team job congrats history ,,,,,,,,,,,,"1,","1,"
6,0.014856018,2, fuck bad fucking female person i'm people inappropriate shit ass laugh appeal funny man holy fun family real hell hate talking ,,,,,,,,,,,,"2,","2,"
7,1.76E-05,1, url dead dark knight walking zombie nowplaying thewalkingdead love video rises movie changed call glow show running omg called apocalypse batman ,,,,,,,,,,,,"1,","1,"
8,1.10E-05,1, url nike pace math move unit check nikeplus crushed gps pizza sabretache ran noble ruffin awkward productions bishop arch ipod literacy ,,,,,,,,,,,,"1,","1,"
9,2.83E-05,0, flyers goal game order url jirgas nhl claude design calls score crosby fight penguins job line tonight road songs bruins read ,,,,,,,,,,,,"0,","0,"
10,3.64E-05,1, url change africa climate service food news storm year jobs geez location weather job adaptation direction duce shows calls japan tornado ,,,,,,,,,,,,"1,","1,"
11,2.28E-05,2, url location amount home job lot design radio price john prices gas screwed philly inappropriate strange unit parking today car calls ,,,,,,,,,,,,"2,","2,"
12,1.62E-05,0, url michael jackson hugh awards mike douglas calls chris boy called movie king tyson holland person happybirthdaylouisfromportugal watching earned carey trap ,,,,,,,,,,,,"0,","0,"
13,1.24E-05,0, letters por para como application dos let's company technology mias direction ser nos kiss quando city pel sin nada sempre ele ,,,,,,,,,,,,"0,","0,"
14,2.28E-05,2, url home activity location color energy food sea good king summer drink time save bright kids place fiction side windows found ,,,,,,,,,,,,"2,","2,"
15,1.85E-05,1, url pass big watching stow i'm bang theory jimmy today mine bryan checked-in store american enjoy friday show year luke paula ,,,,,,,,,,,,"1,","1,"
16,3.16E-05,2, family order url fiction happy fan big favorite color birthday tweet today sports time great back surprise person taylor rank love ,,,,,,,,,,,,"2,","2,"
17,1.63E-05,1, johnny url game manzil win calls football sec design texas trimet philly time a&m order alabama delhs auburn drink country line ,,,,,,,,,,,,"1,","1,"
18,1.18E-05,0, url hashtag motleycrue tour photo cos year great nikkisixx james check day taco bell state giveaways week classic manzanares bay detroit ,,,,,,,,,,,,"0,","0,"
19,2.60E-05,2, url moment today unit location family awkward flavor shoppe fiction wall manti art love person vitamin te'o surprised time white vinyl ,,,,,,,,,,,,"2,","2,"
20,5.39E-05,0, eagles game url win flyeaglesfly home time giants lets let's birds birdgang bleedgreen cowboys day sunday back today dallas philly people ,,,,,,,,,,,,"0,","0,"
21,2.11E-05,1, url rain letters unit snow weather high minutes running walked morning storm clean wind forecast clouds today winds light location tonight ,,,,,,,,,,,,"1,","1,"
22,9.49E-06,1, url vegas show report barry frustration washington vote family hearts cba las full ready rays bringbackmynhl firebettmanansfehr hadenough broken speak clear ,,,,,,,,,,,,"1,","1,"
23,6.94E-05,2, i'm person text people family bad laugh phone appeal female back kiss ass angry call man sign damn talk i'll giving ,,,,,,,,,,,,"2,","2,"
24,8.34E-05,1, wait season url time design tonight days can't ready order i'm excited tomorrow great start happy day starts back episode summer ,,,,,,,,,,,,"1,","1,"
25,2.88E-05,0, url nfl football nfl_australia week sports fantasy tom brandon hashtag giants play patriots night ravens wilson team sunday tnf there's johnson ,,,,,,,,,,,,"0,","0,"
26,8.29E-05,2, body part url back kiss pass ass cut changed put giving person clothes time staying girl sign inappropriate rank location laugh ,,,,,,,,,,,,"2,","2,"
27,3.04E-05,3, url home beverage day eat eating loss i'm activity workout time drink location good food gym post weight work back meal ,,,,,,,,,,,,"3,","3,"
28,5.76E-05,3, body part bad feel person pain inappropriate pass heart man smile face hurts fucking makes appeal family people admit rank i'm ,,,,,,,,,,,,"3,","3,"
29,0.021560802,1, url abama government people country president vote house shutdown project job calls support sex share syria hashtag gop americans obama congress ,,,,,,,,,,,,"1,","1,"
30,2.29E-05,2, url body part makes clothes make sense number sound kiss pass easy made style full working description free put color it's ,,,,,,,,,,,,"2,","2,"
31,4.60E-05,2, location road back time url sports tomorrow wait tonight play room songs party playing weekend city trip night big people fly ,,,,,,,,,,,,"2,","2,"
32,0.014797114,0, order calls pass yard temple fight left game units design owls minutes touchdown road goal end quarter number ball play football ,,,,,,,,,,,,"0,","0,"
33,4.36E-05,0, eagles game order url chip nfl play people kelly time year design defence points calls marita games aaron zone fan draft ,,,,,,,,,,,,"0,","0,"
34,6.79E-05,3, god love url jesus life bless lord give respect man world good heart christ people day job family sex hope peace ,,,,,,,,,,,,"3,","3,"
35,8.24E-05,2, url clothes halloween color taking classify songs earned time food today family costume person photos happy inappropriate appeal sign awesome age ,,,,,,,,,,,,"2,","2,"
36,1.30E-05,1, url shaveballsfirst hooliganbros what's pointbreak i'm brah supposed app free mind pic man martinitime blown whatsthepic hey you're fool whoop jesus ,,,,,,,,,,,,"1,","1,"
37,3.82E-05,1, url song awesome lou great love voice rip album reed music hear young cool sad person dance lady man genre makes ,,,,,,,,,,,,"1,","1,"
38,6.14E-05,1, url great job watch show coast work read direction love episode cast informative time watching fly make making people project share ,,,,,,,,,,,,"1,","1,"
39,1.47E-05,1, url school high mark mascot neshaminy board redskin sanchez debate editors vote middle randy tonight meeting torn nativeamericans project living del ,,,,,,,,,,,,"1,","1,"
40,1.38E-05,1, url check free moved summer level music patrick csrracing iphone genre chung today philly rise july grind number years love eating ,,,,,,,,,,,,"1,","1,"
41,0.017455935,3, url marijuana reveals legal medical law philly sam protest call pot country american story smoke white prohibition hunkie smoking horror qld ,,,,,,,,,,,,"3,","3,"
42,0.043010708,0, phillies order game url charlie calls young lee season utley year philis design hit howard job living giving manager cliff manuel ,,,,,,,,,,,,"0,","0,"
43,2.28E-05,0, url red sox game series world david shane worldseries boston victoriano john cardinals ortiz nationality calls sports hit win big redsox ,,,,,,,,,,,,"0,","0,"
