1663082497_374044296393285632 x	RT he "Success is a ladder that could not be climbed with your hands in your pockets."
1663082497_396650665876811776 x	to change his batteries in your drink detectors when you change your road  #daylightsavings
1663082497_391750101431246849 x	Rockledge Fire Co Sunday 8-12 for special day meal at firehouse on Huntington pike!
1663082497_388707212644061185 x	Fire prevention demo needed for tonight has been broken due to weather.
1663082497_386871048173809664 x	house today! 1-4pm, 413 ruers unit in #cheltenham #fireprevention
1663082497_386870531452338177 x	Thnx!!! RT he 1-4pm someone will be at he no for their open house teaching hands only CPR - come admit hi!
1663082497_386870478205648897 x	Thnx! RT he Support his local fire companies #FPW #firesafety he he he (cont) URL
1663082497_383740450932547584 x	RT he Firefighters' Union Official: Closed Engine Company Would Have Made job - CBS Local URL #FireNews
1663082497_374019350480846848 x	he thanks for his follow Carry!
1663082497_383740375753830400 x	RT he First in series of Fire Prevention Week contests going on now - visit to win an  Ibad  by 9/28
1663082497_383740265179389952 x	RT he Caught on Camera: Explosions Inside Firehouse After Ambulance Ignites URL
1663082497_374018585137807360 x	he thanks for his follow!
1663082497_381768142303019009 x	RT he Thanks to everyone who share The Thrill Show yesterday - it was a beautiful day!!!
1663082497_381768059436171264 x	RT he Raw video from a #fire yesterday morning in #Providence, Rhode Island. URL #firefighter
1663082497_380838210110492672 x	RT he Breaking: skybox over this house fire in Collegeville, PA. URL
1663082497_379571277046218752 x	RT he Monto School Reopens After Mold Caused Delay: It's back to school day for students who is school has been plag...
1663082497_379041703409500161 x	RT he Wildwood weekend! no Who's down here for his last night?
1663082497_379041684073766913 x	RT he One person has died and at URL one more injured in a fatal house fire in Wilmington this afternoon. Stay awake to Fox29
1663082497_378940054762446849 x	RT he #ReadyTip of his Week: Be Ready to Evacuate with a Go Bag #ReadyPhilly. Have service ready to buy and go:
1663082497_378939982339399680 x	RT he Report: Home fire sprinkler shows change from $1.61/sq URL in year to $1.35 URL
1663082497_378939914924347392 x	RT he Can you meet his challenge? Wilmington Firefighters are totally trained and nationally respected. As a aggressive...
1663082497_378939756966866944 x	RT he The Montgomery County PA Daily is out! URL  Top stories today URL he he he
1663082497_378914992466440193 x	Want to be a support of his 10/6 building dedication? $250 gets your site on his banner! Email Bonnie at bdaaron@comcast.net URL #CFC
1663082497_378914051864428544 x	TW4 at #Cheltenham high school for a school photo. URL
1663082497_378913633453211648 x	he thanks for his follow!
1663082497_378913551957897218 x	he thanks for his follow!
1663082497_376736924960317440 x	Rockledge Car Show today from 4pm-8pm. no Rockledge Fire design live music and $2 beers! Come by! #rockledge #carshow URL
1663082497_376664693974507521 x	RT he Principle-If you want to lead, you must order learn how to follow.
1663082497_376530549026074624 x	RT he he GET READY: "911 Hero Run" no - no no 5k move / 1 time fun move no - Sunday, Sept. 8th, no in Norristown...
1663082497_376530016995377152 x	RT he PFD will support a Fire Muster and Safety Expo @ 10/20/13 @ 10-4 Phila Fire Academy 5200 beanbag St
1663082497_376529981603872769 x	RT he With more weather approaching, CO alarms are just as important as drink alarms. Be sure to share and test them monthly.
1663082497_376529954152120320 x	RT he PFD on 9/11/13 @ 10:00 AM will be using a flag ceremony @ Betsy Ross House order and Race -memory of all those ago
1663082497_376484890805829632 x	he thanks for his follow!
1663082497_376419328578449408 x	Dedication / Open House - 10/6/2013 1p-4p. no For info visit URL or his website! #CFC #openhouse
1663082497_375797313106870272 x	RT he That's before tools! RT no  Another reason to convince his best! no #hire #Job #fire
1663082497_375611608795721728 x	RT he Tell us: Who is your favorite super hero?! happy
1663082497_375611501035651074 x	RT he Mont. Co. is starting to his new no radio frequencies today @ noon. If you need a scanner reprogrammed. Email
1663082497_375611470375292928 x	RT he #ICYMI: Short Video of Heavy #Fire From a House in #Franklin Twp, #Gloucester Co. URL #PFN
1663082497_375611388859006976 x	RT he #Training bulletin: using wireless interconnected drink alarms in more jobs URL #fire
