146018842_395332727118913536 x	I'm going to emotion every time I hear this goal song.
146018842_395332601415602176 x	Vinny Lecavalier makes it 2-0 on his powerplay.
146018842_326875975033966592 x	Bruins score, 4-2 Flyers. corejoice with his tally.
146018842_395364210676629504 x	RT he Duck, Duck, Lose: Flyers' Win Streak Ends at Two After Loss to Anaheim URL #Flyers #NHL
146018842_395360195913588736 x	Now Palmieri's going to his box for an Anaheim too many people call. Busy guy.
146018842_395359546530463745 x	Kyle palmier calls his second goal of his night at 15:51.
146018842_395358825584152576 x	If not for Mason, this game would be a blowout.
146018842_395357961255538688 x	Some chaos in front of his net. Coburn and Getzlaf (sans helmet) have a moment.
146018842_395357504567140352 x	"Varsity Blues" just seems so out of place in his 'inspiring sports movies' montage.
146018842_395356784833347584 x	RT he Selene not coming back tonight, Ducks say.
146018842_395356084853948417 x	I do not know how to skate/play sports and I'm naturally uncoordinated, but I think I could have better puck control than his Flyers.
146018842_395355217304113152 x	After this start to his order period, I think this statement is valid: Oy, his Flyers.
146018842_395353466740015104 x	Ouch. Selene took a high mess to his body part and was bleeding on his ice. Got up on his own accord, though, and was made off his ice.
146018842_395352790697918465 x	Ducks score just over a time into his order period on a goal from Kyle Palmieri. Game set at 2.
146018842_395352231748173824 x	Final period of play between his Flyers and Ducks!
146018842_395346411203481600 x	Thanks to a lucky fly off his end boards, Andrew Gagliano calls Anaheim's order goal at 16:25 into his 2nd.
146018842_395344775840149504 x	Getzlaf was all alone coming in on Mason, but shot high. Still 2-0 Flyers.
146018842_395344359035387904 x	Anaheim's man rid is no more. Bonina goes off for hooking.
146018842_395343823938650112 x	Glove save by Mason six minutes into his Ducks' powerplay.
146018842_395343395876401153 x	Penalty called on Giroux, two minutes for embellishment. "Asshole!" chants begin.
146018842_395342868203585536 x	forseek almost just scored on a strange spin-o-rama.
146018842_395341491817570304 x	Simmonds has been having a hell of a game. Two units already and he almost just got a third.
146018842_395332854064119808 x	he you are off his case, bobrovsky!
146018842_395340559172501504 x	RT he Flyers Kids Halloween Costume Contest Winner... The Minions! Thank you to all of his participants!
146018842_395340440691421184 x	We're just under four minutes into his order period and his Ducks have design photos vs. his Flyers' 0. But if history repeats itself, sign up!
146018842_395339061923020800 x	order period is underway!
146018842_395334458821206016 x	Flyers fight his Ducks 2-0 after one period of play, thanks to songs from Read and Lecavalier. Shots 15-10 in favour of Philadelphia.
146018842_395333508278669312 x	After review: no goal.
146018842_395333044036313088 x	Apparent goal for Anaheim gets waved off immediately. They're checking replay now.
146018842_395331907035996160 x	Ryan Getzlaf gets two minutes for slashing. AND THE FLYERS ARE GOING ON THE pookoo
146018842_395332425644908544 x	he it is my gimmick!
146018842_395331599803236353 x	The Flyers have had some good chances around his Ducks' net, but have yet to fly since Read's early goal.
