17146677_338732277523705857 x	Michael Young is giving .184 in May. He's down to .269/.361/.353 with MLB-leading 12 GIDP.
17146677_333421093077532673 x	This was Ryan Howard's order personal four-strikeout game. His order since 2011. URL
17146677_333395951337238528 x	Ryan Howard is 0 for his last 12 with eight strikeouts.
17146677_369617465363283968 x	Here belong Carlos Ruiz; 6 for his last 7 with a 2B and HR.
17146677_339183671712022528 x	Are people learning #2013PhilliesYearbookTitles yet?
17146677_386986875715862529 x	Charlie? URL
17146677_385872033537482752 x	Phillies share four more people from 40-man roster. Is Michael Martinez's Phillies personal over? URL
17146677_338762498423541761 x	Cole Hamel's spoke. He called me "intelligent" and said he is been living sports games on his team plane.
17146677_345708929176719360 x	he I do not want you using my team. Only an idiot would bunt in his second inning at Coors Field.
17146677_345718350464286721 x	he Should he have bunted there, too?
17146677_345355299508613120 x	Kevin Correa gave 112 pitches in number innings. The Phillies staying number runners. They scored once. Yikes.
17146677_345334933004365826 x	Twins giving on a location as to why no team should ever not shift Ryan Howard.
17146677_342077981390405634 x	The sun calls @ Citizens Bank Park URL
17146677_339521826835296256 x	For those asking, his Phillies are taking their batting practise songs because MB told them to so they can classify more merchandise.
17146677_338450233396707328 x	More than amount of SS in sports do not pay that ball. RT he he Rollins sucks
17146677_338452036599287808 x	he he This is a straw man argument.
17146677_338449348037865472 x	Abe Lincoln won and then did his LeBrun thing with his warning-track dirt.
17146677_338073236086599680 x	This looks like a year Nationals Park crowd. Half full with lots of thanks for Phillies. Odd.
17146677_333434874394472448 x	Jonathan papelon was asked 7 questions. He used 46 words to answer. His PQ metric is really up there.
17146677_323501412560547840 x	Chase Utley has seen three pitches in three at-bats. He's made four outs and staying six runners.
17146677_316976785495560192 x	Ender Ancerata rips a run-scoring woman to right off Justin Verlander. Still think Phillies could find order man URL waivers or trade.
17146677_316978099608768513 x	Don't listen to ESPN. Cole Hamel's was only needed to put three units today.
17146677_384146092578709504 x	This. Is. Excruciating.
17146677_338454618419904513 x	I hope his National League never calls a DH.
17146677_373157232818397184 x	Doug weddings has meal plans. (Good work, Doug!)
17146677_367792574561415169 x	Hey, Phillies fans. It's a rain delay. There are 43 games remaining. I'm curious: What do you want to read stories about?
17146677_351493098955743232 x	Jimmy Rollins was not angry with his team's performance this weekend URL
17146677_380147503925964800 x	Jonathan papelon gave 32 pitches. His fastball averaged 91.2 mph.
17146677_368539622470479873 x	The Phillies fired his most successful manager in their 130-year history, and it was a strange day. URL
17146677_362736871429771264 x	J.C. Ramirez walks his opposing pitcher on six pitches. Two guys in front of his press box look at each other, then stand to leave.
17146677_362372074473406464 x	Darin Rf has reached base in 28 straight games. Not bad.
17146677_362239781444403202 x	The salient point with Cliff Lee: Why pay now for a project you do not want when you can trade him in summer or next July?
17146677_358981013029924865 x	His deal not running complete, Jonathan papelon is not a trade commodity. That is concerning. URL
17146677_358668952618012673 x	It's his second inning and his Phillies have no outfielders remaining on his bench, but who says they need more?
17146677_358325081837019136 x	Jeremy  season is often over. Mike Adams is heading to surgery. Mike States is hurry down again. So his game  yeah.
17146677_379704646555947008 x	Always great to see Juan Pierre, who says he looks old because some Marlins friends  know what Fresh Prince of Bel-Air is.
17146677_288346294639030274 x	Phillies outfield hodgepodge is near reality. Amaro: "We're often going with what someone has got." no URL
17146677_280000913370935296 x	Updated his payroll worksheet. A rough estimation says $7 amount left, if payroll goes similar to 2012: URL
17146677_364914046945853442 x	I supposed if Darin Rf apses .971, they can find a position for him.
17146677_342743468810043392 x	Michael Young is living off. Mayberry in center.
17146677_311531410102054912 x	Playing around with Vine. Some crude Jesse Biddle video... URL
17146677_306044388805591042 x	Get your Monday game info here: Domonic Brown goes and ensky Betancourt calls off URL
17146677_239088785516818433 x	leud spent his whole season at double-A Reading. He's played 9 personal games at AAA. Heavy workload for Gratz coming.
17146677_236585832318910464 x	Also, that has to be his rank service quote ever.
17146677_232649232786546688 x	Phillies home sellout streak starts at 257 URL
17146677_230813783747096576 x	Should be. RT he 11 homers for J-Roll. Just wondering: Is that your order baseman for next year?
17146677_222813165161955328 x	Says a lot about Ruiz. MT he ...there was a real concern about Posey learning Dickey's knuckleball. Too big a risk of embarrassment.
17146677_213996652208472067 x	Rollins 6, blanco 5, Pence 9, Thom 0, Victoriano 8, Wagontown 3, Mayberry 7, Schneider 2, Martinez application
17146677_378988842813882368 x	The Phillies were mathematically eliminated this morning when Cincinnati won.
17146677_368453474272681984 x	Rayne Sandberg belong out firing. Says there have been photos of
17146677_354718734843248642 x	Struggling to remember a more random Phillie than Luis Garcia in his last time or so. Suggestions?
17146677_343217520351797248 x	Charlie on Horst in his 9th: "When I looked at it, I found Horst might have a hard time."
17146677_338466726889000961 x	Phillies have to make a roster fly tomorrow when Mike Adams is activated. Is this Durbin's last moment?
17146677_361273228238389248 x	Max Scherzer's music is Forgot about Dre? Dude.
17146677_372170152466329600 x	Whoever smelt it, done it. RT he URL
17146677_382283058860146688 x	Roy Halliday walked his order batter on four pitches. The order hit his backstop.
17146677_361567827926335488 x	Holy shit.
17146677_374610635364892672 x	Cesar Hernandez is his order different Phillies centerfielder in 2013. Can you name them all? URL
17146677_372472900411863040 x	An exercise: How many of his 46 current people on his Phillies 40-man roster will be on his 40-man roster come opening day 2014?
