709382756_385627671486418944 x	he <3's he
709382756_395777012867944448 x	I never gave.....  TOTALLY KNOW A GUY LIKE THIS.
709382756_395776347848466432 x	he I'm aware to drive near his people
709382756_395776247998869504 x	he I has gas money and I can respect someone
709382756_395776122765320192 x	he can I inappropriate a drive to your Let//Go show? I'm usually able to make it, and I've really wanted to see you guys play...
709382756_395775493313536000 x	"If I Had" -Eminem #cantrelate#butiknow#np#songtweet#Eminem#best#throwback#idoling
709382756_395769409349746688 x	RT he makeup, bras and tampons should be free. I did not speak his body part life. Or to be ugly. why
709382756_395764003965644801 x	Now that people want to relax with me, and I'm usually able to, I do not think I want to relax with them. #whatsmyproblem?
709382756_395728600239849473 x	RT he one day i'm going to like someone and we are going to like me back and it is going to be really cool
709382756_395728231535357952 x	RT he "You're too old to go clothes or treating" URL
709382756_395652107434336257 x	Someone come watch Breaking Bad with me
709382756_395612362599710720 x	he who is doing tonight??
709382756_395642332558528512 x	he WHAT reaction TELL HER I SAY HAPPY BDA
709382756_395609139574890497 x	I just saw that appeal guy...
709382756_395607144961032192 x	"@TheQuestionerr_: Mention someone sexy." That person that I see in gorki every once in a while.
709382756_395360926083194880 x	RT he Do you think it is time to protect his #AntarcticOcean? RT now and sign his petition: URL
709382756_395359070686687232 x	RT he here is to his kids who are aware of being happy because every time we are happy, something bad happens.
709382756_395217600340168704 x	I need a person who will let me just move up to them and let me play with their hair. That'd be his rank ever.
709382756_395187968136466432 x	YHWH
709382756_395187760782258177 x	RT he person: when like you me: why
709382756_395049146165383168 x	This person needs me, but not ME.. #desperate#stupid#regrets#whydididothistomyself
709382756_395056503578578945 x	he did I annoy you about Miami?
709382756_395058389929054208 x	he actually, I'll write you a letter.. Its hard to usually admit out speed
709382756_395058234081308672 x	he next time we relax I will annoy you.
709382756_395057173740269568 x	RT he We can live like Jack and Sally if we want #blink
709382756_395039194730754048 x	RT he The rank things in life are unseen, that is why we close his body when we kiss, emotion and dream.
709382756_395039093975166976 x	RT he #WelcomeToMySchoolWhere All his good-looking guys are either: 1) Gay. 2) Taken. 3) Complete assholes.
709382756_395034903009452032 x	RT he URL #powerful #spokenword
709382756_395034523152711680 x	RT he you know when you need a break from everyone and at his best time you wish you had someone to care about you and neither is
709382756_395032264817381376 x	J-"HAHAHAHAHAHHA!!!" @KateFischer11-"HAHAHAHAHASHUTUP!!!!"
709382756_395031894364258304 x	RT he he "it's like it is so late.... but it is not...."
709382756_395031063363219456 x	RT he he because we are informative like that #roomielove
709382756_395031040147746817 x	RT he he and then we can annoy when I tweet because his music also gets quiet for a second....
709382756_395030025361039361 x	Sitting in his house not number body from each other and tweeting at each other. #classy#roommates#iloveit#nobodycooler
709382756_395030978243985408 x	he no words.. just sigh and tweets...
709382756_395029622301011968 x	RT he "What?" "I'm talking out loud..." he
709382756_395027378981728256 x	he #BESTROOMMATEEVER #...?
709382756_395028064578449408 x	he I enjoy it... #<3
709382756_395027889155874817 x	RT he he i'm his #bestroommateever because I know what makes you absolutely happy and fight photos of it!!!!!
709382756_395017604835721217 x	he "I want to fight something super ass creepy." J-"Wait, what?" R- "I wanted to become ass in there.."
709382756_394944813448978432 x	RT he when think when was someone who was ok with verbal affection and when think when still am when just classify his physical part of it a lot
709382756_394944647820111872 x	RT he Things are finally starting to turn around.
709382756_394939268054802432 x	I have an whole night to do what I want... this is weird. I do not know what to do with myself.
709382756_394891925775724544 x	Seeing he item everywhere and not her makes me a age sad.#tears#missher#memories#comehome URL
709382756_394679981831237632 x	he Did you get lot goodies from work?
709382756_394691465307107328 x	he share!?
709382756_394697143102865408 x	he he how about you get whatever works into a fanny pack!!!!
709382756_394650574999674880 x	RT he what is nice is when people break down most things we are thinking and doing because they want you to be on his best
709382756_394634491437654016 x	#vampires#wecute#glow#roommates#halloween#lame#iloveit he URL
709382756_394615790978498560 x	Look at these beautiful haunted houses. URL
709382756_394398457999278080 x	All I ever do is retweet. I seriously have much more to say, guys. I just do not cause no
709382756_394398157469007872 x	RT he I just need a positive twist in my life for once.
709382756_394398099159793664 x	RT he Anyone who is still up, you guys fucking rock!
709382756_394395717617192960 x	Things are looking up. -from someone else perspective.
709382756_394388697237303299 x	Friends are for eating his apod someone has dropped when we are design body more away from it than you..@anderson_rache
709382756_394382664964112384 x	RT he Is happiness really so much to ask for?
709382756_394107597080375296 x	ARE YOU FUCKING KIDDING ME RIGHT NOW
709382756_394105951566827521 x	he I need you right now!!
709382756_393985835772567552 x	he whoa. That's his best as me, especially at 4. That's weiiird. #Ifeelyapaintho #workgrind
709382756_393984715654299648 x	I want to go back to Wisconsin Dells and bring he cause #crazy#Wisconsin#memories#bffs#lol
709382756_393983477466406912 x	RT he I want to go back to Wisconsin Dells with he #somuchfun
709382756_393829216023629825 x	RT he Days seem to last longer for those suffering from depression. Depressed people classify time as running slower.
709382756_393609665117822976 x	RT he i'm just hanging around waiting for someone to make a convincing argument for why being alone all his time is not any
709382756_393593621762830336 x	RT he we could kiss until we both forget why we are so sad
709382756_393496756589035520 x	RT he I like doing laundry, cleaning and cooking. You can family me up anytime now.
709382756_393246700967428096 x	I talk to his best people. And they talk back. And it is too bad because they are not his ones I want to be talking with.
709382756_393204476888088576 x	RT he let me order food and takeout and watch special day movies
