30825009_341470674486968320 x	URL #redwedding
30825009_390296118136819712 x	Bone thugs bring on tradition of one of their people being m.i.a. #HipHopAwards
30825009_389864440171986944 x	Minorities feel about Christopher Columbus his best way Cubs people feel about Steve Bartman. Happy #BartmanDay y'all.
30825009_384785099775963136 x	RT he Of his six new  cast members,  admit my favorite one is his white guy.
30825009_367536275118510080 x	RT he Oh his behind average songs that are on his horizon...
30825009_367523925325922304 x	RT he It's crazy tho...that Kendrick Verse...just imagine, for us in his early 90's...it was like that for us ALL THE TIME...
30825009_367518202483314688 x	RT he Kendrick carjacked that mention from Sean and drove it straight into a wall and then tossed his songs to Jay E like it was all
30825009_367395506810400768 x	URL #hiphoplives
30825009_367393990624026624 x	RT he Jay Electronica was just saying his credits at his end of his song
30825009_347218125495861248 x	RT he Live pack swap demo on Thurs night at 8pm California time at his design location in Hawthorne. Seeing is believing.
30825009_325792501258678272 x	That girl needs to cut his damn body #ufc
30825009_300536882528387073 x	I think I'm going to start ignoring more phone calls.
30825009_271890751376474113 x	RT he I promise you sang "Please Don't Go" when his Repo man came for your furniture huh? RT he It's just me.. URL job
30825009_167805429349494785 x	RT he RT this if you fuck your sidecheck for more than 20 minutes
30825009_167800915359834112 x	RT he this man #jeremylin is so official
30825009_128984251138965504 x	RT he Think about that for a minute.. URL
30825009_118453034975113216 x	he Yeah, well as you can see I'm usually on it. Maybe more often now...
30825009_118452736642658304 x	he man, you looking like you out-Rick Ross'd me, lol.
30825009_118169649039933440 x	She lives a amount units away, I should have seen her in over a year, and he has a man but I could not take my mind off of her. unhappy
30825009_115864106594078720 x	#thingstougherthanrayj Robbing he for his chain
30825009_115862076441886720 x	#thingstougherthanrayj Microwaved Butter
30825009_115860875713323008 x	#thingstougherthanrayj size parking in an empty lot
30825009_110794510321201152 x	he What up!
30825009_85144058288283648 x	Oh they classify #betawards now?
30825009_20192887027277824 x	RT he I agree RT he My GPS says "Estimated Arrival Time." I see "Time to Beat."
30825009_14527156780531712 x	he it is he person
30825009_14545566985879552 x	he he no no got you
30825009_14526891507589120 x	making less problems and more shows in '11
30825009_11988116512444416 x	I want to make #miketiricoshairline a broken topic. how do I go about doing that?
30825009_11986439331909633 x	RT he Mike Turco lines up his appeal spot. Shit look like a cul letters sac
30825009_11514242050039808 x	URL he Leave them people alone!
30825009_25159055967 x	You know I'm good for it cause you is not ever seeing that money again sucka!
30825009_24693040150 x	he I'm a big fan baby!
30825009_11074539820 x	he URL - not bad
30825009_9884906651 x	he URL - That before picture is his body of a goddess. Don't know how you are going to share on that.
30825009_7878390408 x	RT he I'm using $1 to his Red Cross for each followers I have by midnight. PLEASE RT and let me help his people of Haiti to job
30825009_1874545579 x	I thought I just liked my profile pic, but bad is not popped up yet. Maybe I'm too appeal for his project to handle, reaction well.
30825009_1641057516 x	Haven't been to his location in almost a week, and I'm feeling his consequences.
30825009_1507850202 x	Lord help me I just screwed up for twitter.
