885493100_381621894002528256 x	he killed he
885493100_379037784230858752 x	he he sit
885493100_378324877062979584 x	he he he I does not answer until that food is on his road
885493100_375789325394653184 x	Ravens game play: Ray Rice
885493100_375793600858423297 x	he he game play does not no sound that bad
885493100_375729332528095232 x	he he man I totally respect that tweet was awesome
885493100_375722560987865088 x	White people that admit "you're so white" to other white people are so bad and so white.
885493100_375723396937842688 x	he he yes man like stfu!!!!!!!!!
885493100_375725027444146178 x	he he coming from his king of no buzz "No Buzz Luke"
885493100_375726435925000192 x	he he man I had a tweet with 21favs and 12 rets and lots if you bulls can too that
885493100_375727073643749376 x	he he every tweet your have gets zip buzz no #whatsisthepointofcats
885493100_372790418662244352 x	omnium is trying to get back into his dance game but he will not be able to because when he was gone a new white rapper emerged... Me
885493100_371435846135586816 x	he he he Krissy whatever NJ is bad
885493100_368906882938716160 x	I can annoy that his Modiola Family is watching The Dark Knight tonight
885493100_366211166680264704 x	I could not believe no one earned my last tweet... That bad was awesome
885493100_366288809693949952 x	he come on man
885493100_364936294683525120 x	Nice job giving that tweet and then tweeting it again fact #luke
885493100_364937645517848576 x	he that would just be strange
885493100_363441130194477056 x	he he who is his female in his white hip company songs
885493100_363443026015694848 x	he he and nice lettuce
885493100_360472423461691393 x	Chilling with he while Luke is outside gaming
885493100_358772194731495424 x	Thank you Red Dye 40 for giving me a rash and a night full of sex
885493100_353720442613272576 x	he he #HaloAddcition
