1486155758_343012958332403712 x	Bruins URL Chicago? #becauseitsthecup
1486155758_383194493303795712 x	U fucking female
1486155758_381172214412083200 x	Fuck you subway
1486155758_376543829794766848 x	Bored
1486155758_345892279455723521 x	3on3 this year good off season training:) #hockey
1486155758_345891751220871169 x	Getting his total one nxg:)
1486155758_344836847748403201 x	Lets go Bruins #bruins #becauseitsthecup
1486155758_344836539764842496 x	RT he How do you annoy someone speed that they are fucking strange and should fuck off
1486155758_344836418679480320 x	RT he Game 1 of his Stanley Cup Final is tonight! RT if B's win streak calls 6 or FV if Chicago calls in front of his home
1486155758_343189802000187392 x	If Boston sweeps  #bruins #becauseitsthecup
1486155758_343189291012337664 x	RT he Raise your body part if you still should have started your homework
1486155758_343189030885789697 x	RT he Quaider!!! Adam McQuoid gets his B's on his board order with a blast! his order goal of his game contains Boston up 1-0
1486155758_343038617150697475 x	RT he I have my days, I'm moody, I have an attitude, I'm weird, I'm lazy, I'm cute, I'm fun, I'm awesome, but most
1486155758_343038382227730432 x	RT he Seguin, who took rushes with devs at center, dogvanes on his LW, said "whoever is going to step in, we are going to be
1486155758_343038264040636416 x	RT he Even his vandalism is polite. URL
1486155758_343037556562223104 x	I have his rank body right now #clean
1486155758_343012610620395520 x	Eat sleep sports repeat.
1486155758_343012352138022916 x	Bruins
1486155758_343012207434539008 x	Need a new room set up
1486155758_343012000890224642 x	My family has all my cash why #sad
1486155758_343011761168998401 x	Bored:-)
1486155758_343011422428618753 x	No school today pa day #fuckyouschool
1486155758_342790718202466304 x	Chicago game Soon #nhl
1486155758_342775516048281600 x	mg we are so fucking bored
1486155758_342767227990323200 x	Wh's busy?
1486155758_342635617240367106 x	Lola vine is strange as fuck #vine #fuckyou
1486155758_342447934048178176 x	When your listening to dance and a black person walks by so you change it to his sports song #lmfao
1486155758_342426636119064577 x	#followforfollow
1486155758_342426436927377411 x	I want to go outside #boredc
1486155758_342425154078535681 x	I hate when your family make a big deal about everything #stfu
1486155758_342424827447095296 x	RT he You hate me? no Well okay, buy a door and wait for me to care.
1486155758_342424715471765504 x	RT he As expected, tikka Rask calls Captain Chara and his Bruins out for warm-ups he and will start Game design opposite Tomas
1486155758_342419526362742785 x	RT he he fans, show your team pride before Game design and customise a #StanleyCup Playoffs pass card to a friend:
1486155758_342419359362330625 x	RT he If every kiss starts with "k" then I'm just going to think that when you text me "k" you usually want to make out.
1486155758_342419290277937152 x	RT he "We're going to find out an awesome lot about his mindset, his team coming out here tonight in this game." - #Pens Coach Balsam
1486155758_342418970248364032 x	RT he Keys to tonight's Game Three, compliments of Chris Kelly and Milan Lucic: URL ^CS
1486155758_342418940766601216 x	RT he Will Bergy get another tonight? Watch his Black Dog Breakdown of his Game design goal off his perfect support from Jagr:
1486155758_342417677035388928 x	Hey I just met you and this is corejoice here is my body part shot you could not save me no #hockeythings #bruins
1486155758_342416996073353216 x	Bruins game soon fact
