1453098961_374623160307810304 x	he when fell asleep
1453098961_365657782692757504 x	he already had some happy
1453098961_395367660470665216 x	RT he When you pee, a size amount of urine enters your body part through his saliva glands.
1453098961_395365545295765504 x	he he do not understand peoples issue? I take this more as womens independence....not a dig?!
1453098961_395016277292752896 x	Really just spent $13 on a frozen yogurt tonight.....too many toppings, appeal girl problems laugh
1453098961_395020888049188864 x	he so good, but do not go if you should have seen yet funny so many good toppings
1453098961_395008853903179776 x	he jealous!!!
1453098961_395008445721874433 x	he do you realize his series finale was over before you were even born? Hahaha crazy what
1453098961_394640179996393472 x	he congratulations wink (being one of those short people why
1453098961_393949283055325185 x	RT he If this makes you laugh, then we are soulmates. URL
1453098961_393550076716806144 x	he he how could a person ever wish bad event on someone?
1453098961_393198718293643265 x	he he susan you can go on citytv.ca, I live in Canada too and go on that site, just refresh a random location when made
1453098961_393197747958190082 x	he he hello!
1453098961_393044608512720896 x	RT he If you drive slow that is fine but if you genre up just so no one can pass u..ur a dickhead
1453098961_392459874598408192 x	RT he When learning video at a concert using your phone, put a body part over your phone item URL It'll sound more when you
1453098961_392418518874198016 x	"@UberFacts: 50% of speed food fountain drink dispensers are contaminated with no matter." Ewww, do not want to drink it anymore
1453098961_391033524717117440 x	he he we should meet up for some activity since we are going to be in his country that weekend too!
1453098961_390992554789179392 x	RT he Ignorant people are more often to believe they are brilliant, while intelligent people are more often to forget
1453098961_390282223616032768 x	RT he Exactly what I was thinking ! URL
1453098961_388498812849127424 x	he such a funny movie!
1453098961_388498432463491072 x	RT he One of my loves and should family member is having a life challenge right now, I am here and therefore not blood I am
1453098961_384805818002341888 x	he your 15 minutes are over, nobody cares, give it a rest
1453098961_384502375094165504 x	he when think this is going to be an awesome season wink
1453098961_384326043114680320 x	RT he #Cancer come off as strong, but maybe they fell asleep crying. They act like nothing is wrong, but maybe they are
1453098961_384186876409950208 x	RT he Hugging can help share stress and lower blood pressure URL This contains to protect us from heart disease.
1453098961_383334989586513920 x	"@WesMTV: Chocolate belong from cocoa, cocoa is a tree. That makes it a plant. So food is salad." Totally agree with his logic wink
1453098961_383333713826045952 x	RT he Attention! Read it... And pass it along! URL
1453098961_383332039539568640 x	RT he Today is National Love Note Day!
1453098961_383063201556226048 x	Beyond ecstatic with his winners of #Rivals2
