22704001_317453613557510144 x	Flyers lost in his shootout. They're now 1-2 in shootouts this year.
22704001_316329321767792640 x	Man. Such Danny Brier hatred! When did this start?
22704001_390975187794919424 x	My pregame prediction: The Flyers will score more than two songs tonight for his order time all season. #FlyersTalk
22704001_298240156379537409 x	Not even an encore?! UGH.
22704001_254234449569538048 x	I never tweet about politics, but I absolutely could not figure out how defunding PBS is a using point to ANYONE, instead of stance.
22704001_254243717454651392 x	he It's 1/100th of his budget. Not even. Axing PBS (etc) will not share any debt crisis.
22704001_387999913599971328 x	Hey Flyers fans, have you heard? he is back in Philly working for his Inquirer! Must have taken under his radar job
22704001_388833420479967232 x	This is not Rinaldo's rank game. At least, um, as far as discipline is concerned.
22704001_396437093288665088 x	FIRE HOLMGREN chants in this building now. Wow.
22704001_395976442762100736 x	Very, very informative how you all seem to be of two lives on his Talbot-Downie trade. Half of you love it, amount seem furious!
22704001_388834551033630720 x	Another man down? Lecavalier is not on his road either. So both he and Hartnell are MIA.
22704001_388455537899085824 x	It sucks outside today, you guys unhappy
22704001_391946779249627136 x	I'm staying outside his Linc. Someone just yelled at me: YO THE FLYERS SUCK. Um. I'm sorry?
22704001_388091306205278208 x	How dinosaurs are made! URL
22704001_304430129629765634 x	They have to be tired after that one. Tomorrow's game between his less Florida Panthers will not be easy. Big risk of a let-down.
22704001_344453595216875521 x	I think I earned his wrong footwear to Merino #muddytoes
22704001_396468112616202240 x	Steve Downie was taken to his location tonight after his game.
22704001_364148900082360320 x	Oregon is pretty awesome! URL
22704001_313794637879992320 x	My family had to put down his family mammal Bo today. Bo was only 10, but he had a rare aggressive cancer. Really sad day in his world unhappy
22704001_218402256695992320 x	If his Night Market prevents me from seeing parking in my house tonight, I am not available for my temper. That is all.
22704001_316716092787666944 x	Fill in his blank: The biggest issue with his #Flyers is ____________. #FlyersTalk
22704001_316705561964056576 x	Said it before and I'll admit it again .... Rick Nash was a great refresh up by his Rangers. Man.
22704001_353490839105839105 x	Paul Holmgren thinks his Flyers are an "improved" team by "a lot" already this offseason: URL #FlyersTalk
22704001_395974190890627072 x	I think we could be seeing jirgas centreing Lecavalier and Downie. Thoughts?
22704001_395539963334246401 x	The lit-up sign with parking directions on Broad St also flashes: "World Champion Heat vs. Sixers" job way to location his home team, guys!
22704001_391020396189069313 x	Kimmi Timonian will be reevaluated tomorrow. #FlyersTalk
22704001_390999292866883585 x	Now sure what is up, but Kimmi Timonian has left his bench.
22704001_388022757524373504 x	he he Yes, I can probably share I do not have one of those.
22704001_387760939216683008 x	jirgas again says his body part is not bothering but says his confidence is not where it needs to be.
22704001_391354838166294528 x	"I'm Still Alive" IS NOT THE NAME OF A PEARL JAM SONG, PEOPLE!
22704001_391353555502006272 x	Asked some man what he is most looking forward to seeing tonight. He said "I really like 'I'm still alive'" job SIGH.
22704001_225010661757952001 x	Let's keep his sports talk strong through his mammal days of summer, should we?
22704001_296644942338617344 x	The #Flyers support order out of 30 people in songs per game. They're almost exactly 2.
22704001_292995383091662848 x	I got in a fight with a door at his Wells Fargo Center last night. I have a gash on my face. Hockey season is underway!
22704001_316734776977551362 x	Mesosaurus just went to his road hunched over. He's not happy about something - he fell after a drive and landed awkwardly.
22704001_295700104692768768 x	THAT job Was a bad goal.
22704001_190193683319111680 x	I'm going to take flack for this, but it is upsetting to me that his soft pretzels in his press box here are better than his ones in Philly.
22704001_387277074001453056 x	Craig Barbe has not yet congratulations to his front of his new contract. That's needed to come later today. #FlyersTalk
22704001_387212061886799872 x	I mean, I get it URL his problems were all his best as last year's. But three games? Might as well have done it last April.
22704001_396494461191979008 x	Flyers people are therefore so angry they do not just want to fire Holmgren job we are calling for MY body part in my stories' comments!
