16681554_392106180652179456 x	Yikes, maybe they should rethink that "12 is his new 18" sign. #nodiddling
16681554_327921021309046784 x	Good luck in SD, Manti, and thank you for four years of awesome football, you beautiful weirdo.
16681554_291591786869178368 x	Philly was seriously watching that SF/GB game.
16681554_258215587233288192 x	Juan Castillo fired. I hope he is not popping photos of beverage in his location pantry. #HRcomplaintwaitingtohappen
16681554_247479326583443456 x	The word "LOL" is thrown around quite speed these days. But I am usually Luling at his Redskins.
16681554_244896083640201217 x	Facepalm. #Cleveland
16681554_236534817964040192 x	Redskins using clothes during Griffin-Luck "showdown"  idiots.
16681554_233707721592041472 x	So at what point is Bob Griffin's questionable giving motion going to be addressed?
16681554_220996704441335808 x	Mike Trout > Bryce Harper.
16681554_218352756891713536 x	Chief Justice Roberts emerged from his courtroom, updated his robe and updated an "nWo" t-shirt.
16681554_218355538705137667 x	he if he shows up at location next time with his corpse of Sensational/Queen/Sister Sherri,  fucking done. #ALLTHERASSLINREFERENCES
16681554_218358611817140224 x	he he would it be appeal to admit stammer is running around his location saying   it about it and rowdy  #kdawg
