19847175_385945834741047296 x	I love getting chippy
19847175_393467664544595968 x	he funny speed done!
19847175_393536382205173760 x	Like family like family #Twerk
19847175_396457995905032192 x	Real and True.
19847175_396425353532833793 x	he hi  URL
19847175_396416282566082560 x	Ask myself this: "How can I be a blessing to someone
19847175_396325027110723585 x	he hahahahahahah HI call you in a few.. Can't learn either of those things tho!
19847175_396317655629848576 x	he I'm not aware of that possible
19847175_396249293859737600 x	Welp.. I just fell in love.. Now playing he - Dru Hill Forever URL
19847175_396241824559693824 x	he #SmugAF #sodelco
19847175_396087577230721024 x	Sorry guys. I was totally hacked... By wine. Carry on.
19847175_396070979350573056 x	#TNF
19847175_396021378945912832 x	he funny MOG this made my day #UARE the best funny
19847175_395996724264988672 x	My "hunches" are ALWAYS on point.. Whether I want them to be or not. #sigh
19847175_396001345964355584 x	he #ndfb
19847175_395997715521613824 x	he suck
19847175_395997549561405440 x	he also I was too angry by your Lapotin pumps miss thawing #Werkkkkk
19847175_395912104827707392 x	Being a person has changed up a lot of new Halloween costume door for me. It's a shame I have work and live in Connecticut. #BuzzKill
19847175_395738950545195009 x	he fun TRICK OR TREAT ...u just got my old future husband... Not my family
19847175_395684673206374400 x	Locked out of my house job Surprised this does not happen more often.
19847175_395737556744404992 x	he funny I like his city, I like that idea, and I like you.
19847175_395582961606983680 x	he funny absolutely awesome .... #unbelievs
19847175_395528526251970560 x	I leave my kind of makeup problems on my father... Mr. Mom told me running songs instead of eyeshadow technique #Rude #DatingSabotage
19847175_395536654431047680 x	he funny YES!!! and that really reveals all anymore happy
19847175_395532505773649920 x	he duhhhh!
19847175_395308411992416256 x	I need new #Beats headphones.. But are there better ones out there than Beats these days? Help a person out!
19847175_395309655922315264 x	he am I THAT out of his location right now!?
19847175_395302019231002624 x	URL
19847175_395299966228631552 x	he fun #icant #soyou
19847175_395245952229203968 x	he he fun Julie Taylor and his difference was absolutely his rank moment... I died a age
19847175_395244984267722752 x	he only everything.
19847175_395190135035547648 x	he I like that hashtag #Meeeoooroaaaarr
19847175_395177457688805376 x	Ceara and Future Got Engaged! URL Details Here:  #HomieLoverType
19847175_395180195495563264 x	he funny why!!!!!
19847175_395182326964961280 x	he no fair enough!
19847175_395169258260291584 x	Fine Biebs.. I turn one of your songs.. But I account that to my love of R&B not even you.. no URL
