29001195_338497321870450688 x	he I will
29001195_368941070165364738 x	I wish I had someone I can always call 24/7.
29001195_368945020427988992 x	he hi thank you! Took it in may in Philly!
29001195_368946077237399552 x	he yes he does - he
29001195_368946850570596352 x	he lots of times! I could not even keep track
29001195_342960988733206529 x	Wow I could not believe high school is ending!
29001195_338487286389952513 x	The problem me and he are having right now is unbearable!
29001195_338489919553036289 x	he hi girl! Of course I do! How could I not! happy
29001195_338492194837114882 x	he really I want to see it!! Nothing, been with my BF for his past two days!
29001195_338493839025242112 x	he we just screwed out
29001195_336290346659110913 x	he someone needs to record my reaction when you follow me because I'm going to flippppp out!
29001195_336295642601238528 x	he he thank you so much!!!
29001195_335955904333766657 x	he he is hanging with breast bad event and all he needs is for you to trust her.
29001195_335976213560573953 x	he he ahhhh! Congrats! I'm so happy for you!!!!
29001195_335977623379402752 x	he he will! Give it time!
29001195_335978854382460928 x	he you are so welcome!!!
29001195_335979653984567297 x	he nm, just listening to music! You?
29001195_335980881112100865 x	he best here!!
29001195_335983924230619137 x	he of course!
29001195_334499081768542208 x	Staying up until 12 to buy tickets! So tired
29001195_334500660898828288 x	he I'm good and you? he
29001195_334501716525457408 x	he he I'm so sorry! You are in my emotion and prayers! Yes I do!
29001195_334504630568513536 x	he month
29001195_334505705379885057 x	he he will give it time! Sure you can! happy
