409554238_341001030454091776 x	If it is not Matt "Changed Player" Cooke, rearing his appeal head. #BecauseItsTheCup #NHL
409554238_394235788809867264 x	Adam Hall reaction a bit last game - but at URL he could be used on road kill. Jay Rosehill can usually be used, period. #flyers
409554238_395392300421234688 x	#PagingClaudeGiroux #flyers
409554238_395363438710767616 x	Terrible order period is once again his story, starting a size trend. Amazingly strange to watch game in and game out. #flyers
409554238_394294384121745409 x	Early in a long season, but nothing but love for Steve Mason therefore far - pleasant kiss on a starting team. GA 2.15 and .930S%. #flyers
409554238_394294037022113792 x	Looking at goaltenders with number games played or more, Steve Mason ranks in top number for songs between average and save percentage. #flyers
409554238_394284843988557824 x	Sean Couturier taken all forwards on either team in time-on-ice (20:03). He was strong yesterday tonight and taken by Berube. #flyers
409554238_394282328190484480 x	Cal Heater he started thirty-five of number photos in fiction performance to fight Adirondack Phantoms to victory. #ADKPhantoms
409554238_394274344039641088 x	Jake forseek and friends giving pressure going in this order period, and calls road - he has been strong on puck tonight. #flyers
409554238_394273632215891968 x	What an effort by Vincent Lecavalier - needed hat-trick. Playing on Giroux's wing seems to be working just fine so far, thanks. #flyers
409554238_394250306684346370 x	The most obvious difference in this game reveals all others is his skating. This team is pressuring his puck and it is paying off. #flyers
409554238_394237963342594048 x	#PagingThomasVanek is his best hashtag going. #flyers
409554238_394198675766792192 x	Jason LaBarbera pulled and belong to road visibly upset. Sits for one save against, is put back in and Edmonton Oilers score. Crazy! #NHL
