17289127_63666245987336192 x	Hope to be back online tonight, so watch this space, as "the worldwide transformation" calls along!
17289127_61879401138225152 x	Rocklin after Iron Pigs sports on Paz until 7pm East!
17289127_38789384752988160 x	Til Midnight... it is his very own Rocklin Rob Live !
17289127_383219954331680768 x	he Had his bad event talk with wifey. I always get angry and emotion .Couldn't remember life without her! #oneinamillionwife #truelove
17289127_383214015977373696 x	he he WOW! Words suck me...
17289127_322297959725268992 x	Oh look, a tweet from moi! Time I gave his suck off this sucka! #lazyradiotype #hylitradio
17289127_322296794044301312 x	he AMEN! And Gesundheit!
17289127_130640143244738560 x	Power line down In front of driveway. Utility co. says "they'll look at it". I guess they think someone will share itself? #cmonman!
17289127_97362227681701888 x	RT he Buddhism contains you to enjoy failure/sadness/hardships so his good times are fun more! Buddah should have finance job
17289127_97361449877385217 x	he poor person jfred! Lola
17289127_87337324572196864 x	Just updated he on my #iPhone - it is a free navigation application with fun gaming and social elements! URL
17289127_93064471429394432 x	he I'm following! happy
17289127_97308822988787713 x	he now, you have to follow he funny #wpaz
17289127_97308034887450624 x	RT he URL
17289127_93085426818105344 x	Patience, Grasshopper
17289127_79557644054036480 x	Yes, there will be a Rockin' Rob show on Paz today. Tune in from 1-4pm at 1370am and wpazradio.com!
17289127_79499258977464320 x	Up since 3AM... Can't sleep URL
17289127_76096554901053440 x	We are taking this page down in 24 hours. Please like his new page: Radio Free Worldwide
17289127_74233828222320640 x	Please be taken that we will hurry this page down on June 1. Come on over to his Radio Free Worldwide page at this time, please?
17289127_66657933534035968 x	Rocklin Rob Live is on now... please like his new page....
17289127_66544699284004864 x	New FB page:... URL
17289127_66529638238785536 x	The transformation is complete! We are now Radio Free WORLDWIDE!!!
17289127_66529341420470272 x	I posted a new photo to Facebook URL
17289127_66529146238541824 x	I posted a new photo to Facebook URL
17289127_66158688779501568 x	The Worldwide Transformation is almost complete!
17289127_64763088435556352 x	The Worldwide Transformation of RF is near completion... Just a couple more tweaks'
17289127_64479262316560384 x	The "worldwide transformation" is meeting steam...
17289127_63794374227664898 x	We're back on, but WAIT! Something is weird...
17289127_20082591720 x	TONIGHT: Cellar Show at 6PM, affected by his Doo Wop Vault at 7...
17289127_60932530425171968 x	COMING SOON: Radio Free Worcester goes WORLDWIDE! On another note, we will be leaving his radio tomorrow night at... URL
17289127_59665661860917248 x	this has been a time of design and clustereffery, so we will have a "triple play" of his Sunday night line-up. The... URL
17289127_58932004900700160 x	With all due respect to his hosts, todays Cellar Show and Doo Wop Vault will be repeats. We respect and hope to... URL
17289127_56552269533036544 x	SATURDAY features DJ and Co. 4-6p, Doo Wop Vault 6-8p, then Dee Dee Rox and DJ Tony Bruno take you until his dawn...
17289127_55445292253839361 x	Having service problems tonight, will be back and running shortly...
17289127_53855957066842113 x	ON AIR TODAY: Doo Wop Vault starts 2-4pm, The Cellar Show 4-5pm, then Duck contains an flavor man shift 5pm until Midnight!
17289127_52378534571810816 x	Getting ready to rock his house 8p-Midnight on Radio Free Worcester and The Cockroach!
17289127_51819753945305089 x	On now, it is Jodie. At his top of his hour, Dee Dee Rox contains over until The Midnight Mixtape job
17289127_51421388636045312 x	Getting ready to rock his house 8p-Midnight on Radio Free Worcester and The Cockroach! URL
17289127_51314597076008961 x	Another Funky Friday on tap: Doo Wop Vault at 2pm, Cellar Show at 4, Duck's Digital Domain at 5, then Rocklin Rob Live at 8pm...
17289127_50349366480867328 x	I just posted Twitter to my Lifestream. Check out my page. URL
17289127_49918392962007040 x	Tonight we are starting to radio a tribute to DJ and Company support Wendy V, instead of Kovacs radio. If all goes... URL
17289127_49302247405928448 x	Bonus Jodie Show until 12am, or so
17289127_49259542021812224 x	The Jodie Show is on NOW to cut off your Saturday night par-tay!!!
17289127_48930004972732416 x	Rocklin Rob had to pass early, so a special Summer year remix airing until 11PM. TOMORROW features T. J. and... URL
17289127_48884947523612673 x	NEW SCHEDULE KICKS OFF TONIGHT! Duck's Digital Domain on until his top of his hour, when Rocklin Rob Live takes... URL
17289127_48814497976172544 x	On now: The Doo Wop Vault until 4pm, affected by The Cellar Show 4-5p, Duck's Domain 5-8p, then Rocklin Rob Live contains you until Midnight
17289127_48202356931829760 x	AMAZING! I could not believe that you can usually see who is learning your profile!I just found my top number viewers and... URL
17289127_47105224736907265 x	We are absolutely saddened to learn that "TJ and Company" support Rockin' Wendy V (Vickers) has passed after a long... URL
17289127_47104924118552576 x	Just like that, already a change to his SATURDAY fight as The Jodie Show goes 8-10PM, with The Dee Dee REXX show... URL
