135336396_86629129528688640 x	I have his biggest taste smile on #Drogo #yum #GameOfThrones
135336396_86645296804806657 x	he Mine too! I want to be staying right between them and have their fiction babies! also I'm so angry he is dead unhappy he was a REAL MAN! Hahaha
135336396_86607342480797696 x	So nice! Mmmm fucking steaks? RT he Grilling appeal steaks and off to Tahoe in his morning. Summer time!
135336396_38250055349710848 x	Justin Bieber is asked about abortion.... WHAT THE FUCK does he know about abortion!!!??? Stop spent news segments with this shit!!
135336396_38338295712841728 x	he must have been his ultrasound when he saw his inappropriate body in her womb.
135336396_30698089887043585 x	I'm staying in his office! unhappy RT he Going to be  today...better get my summer gear out #leftcoastisthebestcoast.
135336396_30778150531104768 x	he no not sick.... maybe drunk in his head... but not sick! :D
135336396_948920779800576 x	he k nationality taste butter? Cuz that is all I have...
135336396_947874057687040 x	I'm going to make pancakes! Fuck yeah!
135336396_29637628852 x	Yes I would probably eat a person just for fun.. or maybe a unit RT he he I love all things ZOMBIE. Eating human flesh=fun!
135336396_29636163358 x	he surprise I LOVE his Walking Dead... That was an awesome order episode! So much Gore contains a smile on my body part :D
135336396_26018532101 x	Just got a genre for coming to Satan's location on Saturday! :D
135336396_26041000194 x	he he does now... he must feel drunk for already making a Versace clothes unhappy
