1924912092_392432752156364801 x	Now following@omarbashir300
1924912092_392432542608920576 x	Now following@SDPonce63
1924912092_392432315269255168 x	Now following@Snipacide
1924912092_395145621927387136 x	Now following@Jeromeukk
1924912092_395011050749591552 x	Guess I'll relax until I go to sleep
1924912092_395002660421918720 x	Now following@thefreshness99
1924912092_394987308552052736 x	Now following@s0flyy_d
1924912092_394987183310110720 x	Now following@IsleyCarrington
1924912092_394986502557814784 x	Now following@iRelateWords
1924912092_390988353354870784 x	Now following@SwooshSign
1924912092_392695168588996608 x	Resting while Su is sleeping
1924912092_392660988400766976 x	Now following@SDPonce63
1924912092_390987324588584960 x	Now following@iamJoJo3rd
1924912092_392450376063934465 x	BBL maybe tomorrow
1924912092_392446043112996864 x	Think when need to go out this weekend cause when need lots of radio laugh
1924912092_390986487267069952 x	Now following@Iifepost
1924912092_390985491417669632 x	Now following@koenrobbins
1924912092_392444666827657216 x	Now Following he
1924912092_392437532643696640 x	Laughter is his key to a good life
1924912092_398959402184474624 x	bye
1924912092_398958746010796032 x	Now following@edlever
1924912092_398958454011752448 x	Now Following he
1924912092_395986934805168130 x	Staying to myself no for a while
1924912092_395920329706860545 x	I love his way he starts
1924912092_395919845642231808 x	RT he No matter what I go through I still speak to get A's in my songs : )
1924912092_395908153390686208 x	I love my age family
1924912092_395907814855835648 x	Now following my friend@SR_JACKSON24
1924912092_395905607154565120 x	Now following@CraigWright_
1924912092_395878613129916417 x	Now following@_simonethompson
1924912092_395717786493665280 x	About enjoy this night with him ttyl;-)
1924912092_395716250552127488 x	RT he 15 minutes to go East Coast! I'm still at work so I could not LIVE-TWEET but if I can I will BLIND-TWEET! Tweet me any Q's no
1924912092_395702709237469185 x	Watching my shows
1924912092_395689180203741184 x	Thinking
1924912092_395689100117696512 x	RT he Oh person when you talk like that, you make a person go mad. So be wise and be warned, learning his photos of my body.
1924912092_395688894693261312 x	Nov following@StickyRicky_
1924912092_395683852653694976 x	Now following@OFFICIALSXMUEL
1924912092_395643814880108544 x	Trying to figure out what is for meal
1924912092_395643697615732737 x	What a day
1924912092_395643292093673473 x	Now following@Shop_Shy
1924912092_395642965806170112 x	Now following@iamjamesdaniels
1924912092_395339051294666752 x	RT he Communication Save Relations
1924912092_395338900433932288 x	RT he We both might have people but when promise you all I need
1924912092_395338774067953665 x	RT he If you put his toaster sideways you can make location food sandwiches bro! #TourBusEats URL
1924912092_395338606090260480 x	My shows about to come on good me laugh
1924912092_395336166393659393 x	Waiting for....
1924912092_395325732555329536 x	Relaxing after a long and rain day
1924912092_395324634012590081 x	RT he In order to go where you have never gone you have to be supposed to go where you never been!!!! #OHB! CBE!
1924912092_395321923233906688 x	Now following@PrettySavageOG
1924912092_395220639297970178 x	Now following@andyfuckit
1924912092_395146201991241728 x	twitter group
1924912092_395145829830643712 x	Now following@SandCClothing
1924912092_394986306167914496 x	RT he At a Northwestern University genre reception with his new dean! Along with he he he
1924912092_394981877607858176 x	So angry right now
1924912092_394979097295986688 x	Now following@ObeyHerSwag
1924912092_394978569539313664 x	Now following@OmegaBlazeHD
1924912092_394973735406809088 x	Now following@yepitstrey
1924912092_394963561744986112 x	Now following@iamTreWizz
1924912092_394937518808117248 x	RT he I'll never understand why people want to look like someone else. Just be yourself! Sm
1924912092_394937415007477760 x	RT he RT he Loyalty is everything
1924912092_394936464246841344 x	Ugh what a day
1924912092_394262110181412864 x	RT he wheezy F Baby and his 'F' is for Forever 21 URL
1924912092_394261952421064705 x	he no Not bad at all
1924912092_394261652679294976 x	I love me
1924912092_394215921931124736 x	I guess I'm about to watch a movie
1924912092_394215443142959104 x	I miss him though unhappy
1924912092_394215258958487553 x	Home from being with my girl
1924912092_394166375159447552 x	I'm bored again laugh
1924912092_394166187816660992 x	I got a new person finally laugh
1924912092_394166071579934720 x	About to to meet up with my girl so we can relax out for a while
1924912092_394098212682076160 x	Then go to his store from there
1924912092_394098115223232512 x	Waiting to go get this person
1924912092_394088218540658688 x	Up early as always fact
1924912092_393902365864370176 x	It's really rain outside you
1924912092_393883276118466562 x	I'm off
1924912092_393877693730541568 x	Watching music videos
