19393349_355653924872654848 x	Gemma Atkinson Goodness... URL
19393349_342979698260852737 x	EVERY time I go to his grocery store... URL
19393349_330398339294195713 x	I finally feel safe... URL
19393349_382691372160917504 x	Tila Tequila is trending. She must be dead.
19393349_395931544658796544 x	#ThongThursday Goodness... URL
19393349_395891278774153216 x	Who'd Ya Rather: Slutty Halloween Edition - Slutty Wonder Woman, Sexy Oreo, or Blue And Green Girl? URL
19393349_395626276561485824 x	Reason #1,999 why you follow me... URL
19393349_395640838463582208 x	#AfternoonDelight URL
19393349_395641080839811072 x	Who'd Ya Rather: #asswendnesday Edition - Left or Right? URL
19393349_395575927200960512 x	Kerry Washington is pregnant. Just when your personal is peaking you go and do a bad thing like classify your body... URL
19393349_395250405841436672 x	Your Daily Hot Girl Wearing a Slutty Halloween Costume.. #NaughtyNurse URL
19393349_395226537777037313 x	EA Sports And Tiger Woods Ending Relationship, Tiger said that his Perkins mammal be a playable character URL
19393349_395215038786445312 x	I should buy a boat... URL
19393349_395195041758449664 x	PROTECTED
19393349_395191205027258368 x	Did he get drunk and pass out letting people fight on her face?And what is with using up his body on Halloween? URL
