1947930674_394581112669745152 x	Ugh #Phillysports
1947930674_394095334927777793 x	RT he Christmas in his old town of Quebec, Canada URL
1947930674_393096188884312064 x	20 Great Documentaries To Watch on Netflix Instant (2012) >> blags >> List of his Day >> Paste URL he
1947930674_392372262667845632 x	RT he The Ohio State rock band's Michael Jackson tribute available a giant moonwalking MJ: URL
1947930674_392060216671756289 x	RT he PHOTO: Andy Reid gets some butt, BJ. URL
1947930674_391929729948741632 x	he no birds gear?
1947930674_391291700419002368 x	he he no URL
1947930674_391222123613913088 x	RT he Caller Tommy does an Eagles chant LIVE on his radio from a Cowboys store in Dallas location URL URL
1947930674_389237500419784704 x	It's a girl dance party! #SNL
1947930674_389023308060315648 x	RT he Two referees arrested on his road during sports game: URL
1947930674_388502774553792512 x	he you just could not go full romo!
1947930674_388502168443297793 x	Eli
1947930674_388138198108749824 x	he surprise
1947930674_388135236607180800 x	he hate his card
1947930674_387999866615758848 x	he #hanks
1947930674_387933716120891392 x	he URL
1947930674_387754440645939200 x	RT he Clearly The #NFL never should have hired Dr. Nick Riviera to be a concussion specialist. #Frontline
1947930674_399007646164189184 x	RT he It's strange how in England his passenger contains his item
1947930674_398842785887174656 x	RT he That is pure brilliance. RT he Seneca Wallace contains just like Uncle Rico from Napoleon Dynamite.
1947930674_397409230871097344 x	RT he John Clayton hangin' with Slayer is BY FAR his rank thing you will see all day (via he and URL he
1947930674_396816681911480320 x	RT he The Sixers season started like six days ago and they already have his best number of calls as his Eagles. #Sports
1947930674_396814658222706688 x	Wow! MCW! Kid is for real
