39079593_391722079886012417 x	Drake appeal for that shit. Lola
39079593_249352244535910400 x	I'm Having a Sleepover with Two BITCHES. LOL. They Bet Not Get Naked In my Bed tho. I is not About Dat LIFE.
39079593_222564693091418112 x	Listen, I'm not an alcoholic, alcoholics go to meetings. I'm a drunk, we go to party
39079593_220651297282600960 x	Just Made his siroc Punch...They do not even Dig It
39079593_220676245334134785 x	he Coconut&Peach and Regular Ciroc...Wit Orange Pineapple Juice and Apple Cranberry juice. Soo Good!!!!!!!
39079593_220680220838072320 x	he HAAAAAAAAAAA. But She know I'm all Real sister!!!!!!! no loom
39079593_211498634221596673 x	Both Kids Bout to Roll with my rank family Dad...C YA Fags...
39079593_211162311904337920 x	My family Happy as bad he is not have to go back to that Halfway house. She need to calm her Hype ass down for he be back up Muncy. MAO
39079593_206621879082041345 x	eceses TWEETY!!!!!!!! no He did That!!!! RT he URL
39079593_206622864529555456 x	he YESSSSS. Tot just told my family he need a Maibach tho...Hahaha. She see this he gone die!!!! no MAO
39079593_206624681783078912 x	he Yeah next year. Ima annoy my mom. That's wassup. He really look nice. Where his date. Lola
39079593_182661768076730369 x	weewaw Poor Kim....
39079593_182662814916292609 x	he Yessssss. and Hang It Up!!!! no mao
39079593_154012969972416512 x	They got Soraya Big Ass Right out of here I see...Somebody @ her and ask her wassup..She blocked Me so I can't. MAO
39079593_154023149841817601 x	he I learned her this picture of her when he was size and asked to to Explain his weight gain...lmao
