1693574359_394266846624374784 x	he I-O!
1693574359_394528860806860800 x	RT he NOAO Mark May screwed us!!!! laugh
1693574359_394279075243499521 x	Were it not for his suspension, Carlos Hyde would be in his Weisman conversation.
1693574359_396747522481602560 x	RT he This game is exactly why I do not give a damn for his WHOLE STATE OF MICHIGAN
1693574359_396595122454151168 x	Boiler Down! [toot-toot] Boiler Down! [toot-toot] #GoBucks #GameDay
1693574359_396349030642372608 x	RT he when want to be a nice person but everyone is so bad
1693574359_400048693572669440 x	RT he A child's view on his bad event of an nationality URL
1693574359_399963235186905089 x	I was so sad to see Richardo go. Who knew hokeypokey would be just as delightful? #GoBucks #BuckeyeNation #BuckeyesforHoke
1693574359_397689906199162880 x	RT he URL
1693574359_396784364215738368 x	URL
1693574359_394531259797737472 x	RT he Fwd:I am back
1693574359_394309638260146176 x	RT he 20-0 BITCHES!!! UPSET MY ASS!!! Told you you did not #wantnone!!!! #GoBucks no #LONGESTWINNINGSTREAKINTHENATION #proud
1693574359_394300351936864256 x	he you are one of my all-time favorite Buckeye quarterbacks
1693574359_394295880020287488 x	RT he Has anyone learned from Mark May?
1693574359_394291121372684289 x	he back at you O-H
1693574359_394280412052070401 x	RT he #RollHyde
1693574359_393880916495331328 x	he try taking a color waffle in to Waffle House and see what you get
1693574359_393756684713091072 x	RT he Scarlet Out #TheShoe URL Penn State >> URL #GoBucks URL
1693574359_393395391804108800 x	RT he The order number minutes in  life is waiting to press his   clothes on YouTube.
1693574359_388752676986441728 x	RT he Running away does not help you with your problems, if  fat. Then yeah, move
1693574359_387052335320809473 x	he yeah, but it starts at 3:30 AM
1693574359_386833940226392065 x	RT he Video: Carlos Hyde gets emotional following his game. Amazing stuff. URL
1693574359_386827260206284800 x	he I make anyone who calls in my band watch your work. You are incredible.
1693574359_386808676213727232 x	RT he Ohio State's win streak is at 18 because Ohio State had Carlos Hyde and Northwestern did not Saturday night
1693574359_386806670518534144 x	#CarlosHyde someone has etched a permanent spot in my Buckeye money book. Thanks for giving his gym. #BuckeyeNation #GoBucks
1693574359_386805158778134528 x	RT he Carlos Hyde is a item taken as a running back.
1693574359_386717900251611136 x	Northwestern: You may pass but you could not Hyde!!! #BuckeyeNation
1693574359_386485849090961408 x	O-H!!!
1693574359_386461654075965440 x	RT he "Unfollowers" called back words is "srewollofnu". Which sounds a lot like "Screw all of you" Coincidence? I think not.
1693574359_386461065472528385 x	Wake up!!! How can you sleep when #BuckeyeNation is on he
1693574359_386343108423610368 x	When Harry Met Sally Fields #AddAWordRuinAMovie
1693574359_385361202055901184 x	he I like it as long as my team is on a one-game win streak. #thisisnotfootball
1693574359_385356779984789504 x	RT he Still waiting for breakfast. She's too active telling her Facebook friends how much he loves me.
1693574359_385191411572027392 x	RT he WELCOME TO OCTOBER! We conquered Cal, now it is Northwestern's turn! Wear Scarlet EVERY GAME IS A HOME GAME! #GoBucks
1693574359_385186682292957184 x	RT he David Shaw, when jokingly told he is on USC's "short list" URL "It might be short, but it is one person too long."
1693574359_384988004197998593 x	he I should have seen more Fiber yesterday
1693574359_384809927996637184 x	he we all got your back! #BuckeyeNation
1693574359_384303652867158016 x	As much as I hate his Badgers, Chris Boland needs a shot at getting paid. #realdeal
1693574359_384312758080376832 x	he I concur! Gonna make his Big Ten stronger.
1693574359_384166421372338176 x	he I-O!!
1693574359_384164336304140288 x	Upset? Buckeyes? We're not upset. #GoBucks #BuckeyeNation
1693574359_384016575835410432 x	RT he Twitter is usually just you having a problem with myself hoping that someone else will join in.
1693574359_383912292850876416 x	I feel like a person on Christmas Eve! #GoBucks #BeatWisconsin he he
1693574359_383909767758233600 x	he I-O! #GoBucks
1693574359_383756351434153984 x	he #notsofastmyfriend 'Bama #GoBucks #CFBLIVE
1693574359_383722775577255936 x	RT he BREAKING BAD-GERS
1693574359_383629020094414849 x	he too late I already emotion at your bad ass there every day
1693574359_382288192734773249 x	RT he The informative thing about Wisconsin is their depth, because their cheerleaders and offencive lineman are
1693574359_382223068631801856 x	RT he Remember when we all died in year
