33237451_396297234188603392 x	#FF Inspired by these #gov #leaders he he he he he he he
33237451_396295643888877568 x	#FF Inspired by these #CustServ people he he he he he he he
33237451_396291332064686080 x	he intern Max Jones reveals 15 Learns and Serves in he #cxo #custserv he URL
33237451_396279049510998016 x	#CustServ Engagement Weekly Digest no is out! URL Stories URL he he
33237451_396007480372654080 x	RT he Support he National Spokeswoman and his BOSS he at this years heart move on 11/09/13 more...
33237451_395987828951097344 x	RT he Support he National Spokeswoman and his BOSS he at this years heart move on 11/09/13 more...
33237451_395490667570663424 x	RT he The Engagement Imperative - URL URL URL he
33237451_395329004288630784 x	RT he AHA Philly is now on  us and show your support for nationality #hearthealth. #pinterest - URL
33237451_395328882918035456 x	RT he design hours until his Heart Walk! It is not too late to start a team! Register today at URL 2013...
33237451_395266759399202816 x	TY! RT he he he Yeah! Nothing keeps he from getting to core of excellence in customer service! #cxo
33237451_395266612342697985 x	TY! RT he he Congratulations on his 'People on his Move' recognition - URL well done #cxo
33237451_395266431689842688 x	Congrats he Reading: Boosting Innovation by Rethinking Government Procurement he he he
33237451_395262097983934464 x	RT he Chief #CustServ Officer and his Director he updated on he "People on his Move"! URL #cxo
33237451_395261801278865408 x	RT he One basic from World Stroke Day chat : health manager is key. he he I know that you agree!
33237451_388059039742951424 x	TY! RT he he Congratulations!
33237451_395193465572581376 x	Great article! "@colinsataylor: Applying his Golden Rule to Customer Service URL #paperli #custserv #cxo
33237451_395192228940759041 x	RT he Winning with Customer Service: New #infographic by design from he URL #custserv
33237451_395180147168378880 x	RT he "Kidz Explain" his photos of a stoke! URL Get affected this World Stroke Day.
33237451_395015811494346753 x	number Ways Private Sector #CustServ Best practises are Paying Off for his Public Sector URL #cxo #gov
33237451_395012284361502721 x	Oct order is he World Stroke Day. no Know his stroke photos - download app. he he URL
33237451_394560831159275520 x	I found this very helpful - 20+ Tools to Create Your Own Infographics URL he URL #cxo hashtag
33237451_394297978581958656 x	Fun times he Alpha Psi Red Dress Heart Gala for he he fundraiser. #goredforwomen URL
33237451_394235196268371968 x	RT he Interview: no Use of Social Media in Government Contact Centers no Post presentation interview at his order Global
33237451_394231906403115008 x	So am I. no We should connect.  I am starting to share he  Francisco, Nov 18-21.
33237451_393952351117377536 x	Guess who I met? Fantastic celebrity make-up artist he he he he URL
33237451_393938189708447744 x	Friend, Follow, Like, Buy  How Social Media Impacts Shopping [INFOGRAPHIC] URL no URL he URL #cxo
33237451_393742330848894976 x	#CustServ Engagement Weekly Digest no is out! URL Stories URL he
33237451_393559927882407936 x	RT he The rank people use design to enrich relationships, never to share them.
33237451_393028819436974081 x	Change your attitude, change your life! #nowplaying URL
