66404201_352248748971290624 x	Great meal at he tonight. Thanks so much! URL
66404201_399753598269415424 x	RT he Beautiful (and delicious) beverage dish by he at he URL
66404201_398173973210734592 x	RT he Kudos to he who is vesper is one of PW's #50ThingsYouMustDrink URL
66404201_398173645945585664 x	R2L Proudly Welcomes Matt Hobbs from he this morning at 6pm! #R2LHobbsDinner
66404201_397401474134589441 x	Congratulations he and he for using his year Brad Fox Memorial 5K Run. URL
66404201_397105175984627712 x	RT he Giant taste food smich he for he last day. #staffmeal #youllbemissed #goodluck URL
66404201_395975007408365569 x	he on he last week. National Bologna Day. no URL
66404201_395347013945933824 x	RT he An updated genre he Warm Vanilla Cake, he food  caramel mousse #getsome #manjari
66404201_394914412345454592 x	RT he Have you needed your reservation for #R2LHobbsDinner yet? Call he today (215) 564-5337 URL
66404201_394914374802239488 x	RT he Winemaker meal series starts he Wed/11-6 with no a Paul Hobbs meal by Matt Hobbs. application course/5 wines/$140pp
66404201_393837233188270080 x	BUTTERSCOTCH PUDDING: pecan shortbread reveals taste color flavor cream URL
66404201_392453952736092160 x	RT he Dry-Aged Smoked Ribeye by he for he Chefs Gala! Outstanding! URL
66404201_392444995275587584 x	RT he Tuna sashimi with good breads from he at he Chefs Gala URL
66404201_391285106943725568 x	Check out his menu for his upcoming #WineDinner by he on 11/6 URL
66404201_388311475536031744 x	RT he Last time meal plans in #Philly? Acclaimed restaurant he and he are giving on a show tonight.
66404201_388125553288835072 x	RT he Pumpkin food coming soon to he #fall #donuts URL
66404201_386588413824348160 x	New on his Menu: taste root vegetable salad, lentil vinaigrette reveals papadum URL
66404201_386249681065762816 x	New on his Menu: earned salmon reveals summer gras, marble rye french toast, color apple, creme frache reveals caviar #SoGood! URL
66404201_385216446626009088 x	RT he Happy October! Have you needed your reservation for his he Wine Dinner with he on 10/10?
66404201_384802062145712128 x	RT he Wine meal by Winemaker Andre Hueston Mack of Mouton Noir Wines. 10/10 he application courses/5 wines/$110pp.
66404201_384331594632531968 x	he plating his pre-dessert for his judges at he #ICC2103 Pastry completion URL
66404201_382910498515476480 x	RT he The menu is here! Reserve your spot for his he Wine Dinner with he on 10/10! #R2LMoutonDinner
66404201_380418520338530304 x	Check out his menu for his next Wine Dinner with  Mack of he on Thursday, 10/10! #R2LMoutonDinner URL
