187665071_377259758769930240 x	Congratulations, #Eagles! You're as good as his #NYJ!
187665071_394475906414047232 x	My project on his last name between #Eagles coach Bill McGovern and #NYG LB and bad event fiction Mark Herzlich: URL he
187665071_390289025116164097 x	Craig Barbe is not his problem. The #Flyers might be playing as well as they can. That's his problem.
187665071_387712686177284096 x	Here at his Wells Fargo Center to write a project off tonight's #Flyers game. Glad they let me in his building. wink
187665071_394526409479032833 x	PHILADELPHIA URL Ibid. For details, see last age game. #Eagles
187665071_391176595022438403 x	My project on Claude Giroux, Sidney Crosby, and his difference between design people and design franchises: URL #Flyers #Penguins #NHL
187665071_396433113251078144 x	In 2010, his #Flyers needed a goalie. Three years later, they need everything but.
187665071_395984597067894784 x	Look at Steven Stamkos's personal stats. The idea that Steve Downie "created space" for him--& will for Giroux--is absurd on it is face. #Flyers
187665071_394272126100058113 x	Four songs for his #Flyers tonight. Imagine how many someone would have if Tye McCann were still playing for them.
187665071_327433995958771715 x	Hearing people will draft players, make trades. #NFL
187665071_400080122000056320 x	Note to self: Do not problem about Philadelphia sports on Twitter. Ever. Philadelphia sports are not angry matters. Ever.
187665071_386937597722755072 x	Henry calls his order FG of his day. Three more, and you can download his Herman's Hermits. #Eagles #PeterNooneForever
