39138350_380731080111706112 x	hi Illinois.....hello Pennsylvania
39138350_381158471183237121 x	back in Pennsylvania and it looks damn good to be home happy going to his city state sports game tomorrow! GO PSU!!!
39138350_376455315610284032 x	5. so many people think when must have guys' starting to me; truth is when have his most difficult time seeing a person cause when do not trust anyone and we are angry
39138350_376464288858128385 x	he someone has been me laugh how have you bee? happy
39138350_345720879201787904 x	starting over is kind of strange but when think we are ready to take that risk and see where it contains me.... running back direction
39138350_116741441581088769 x	ITS MY BIRTHDAY TODAY!!!!!! happy
39138350_112338906518781952 x	when have an important announcement!!! I HAVE NOT DRANK IN number DAYS!!! happy so aware of myself
39138350_110597552520429568 x	when feel like we are getting a age rain from always being on his go go go! laugh Over dosing on flavor c and getting a good night sleep happy oxo
39138350_109058151852150784 x	when know we are black cause my ass is number times more than my body LAL - URL
39138350_108713957409304577 x	LAL no - URL
39138350_108018076213190657 x	what did little wayne just admit after his performance when felt like he was calling a gang out laugh #vmas
39138350_102474162316132353 x	are there ANY great guys out there that are not appeal or try and make me change his way when look? laugh just wondering. all guys are his best
