226566640_350410983203815424 x	Wow #sixers are idiots
226566640_389477367376510977 x	RT he FACT: NFL Sundays are totally unpredictable.
226566640_377473975615758336 x	Woohoo 50cent cheesesteaks! #genos #FatKidProbs he
226566640_395990242953789440 x	RT he After last night, The Sixers be like... URL
226566640_395989150836723713 x	RT he I'd take he any day over Steve Downie. Sorry to see Flyers going down his best old road.
226566640_395869131784069120 x	RT he Someone said his Red Sox won his World Series tonight, Whatever. All I know is that his Sixers mention his Heat, and a new
226566640_395867869248249856 x	RT he MUST SEE: This special day costume calls his WEEK < Baby Andy Reid >> URL no no no no no (via he
226566640_395748148465119233 x	RT he Michael Carter-Williams EXPLODES into NBA scene in an angry over Heat. 9 steals are most EVER for rookie in a debut.
226566640_395635670112567296 x	RT he From his own 10, 9, 8, 7 to his he Good luck this season! no #TogetherWeBuild #FlyEaglesFly #BrotherlyLove
226566640_395628621286899712 x	RT he The family that made Iverson out most of all Aaron McKee #SixersTalk
226566640_395622049634590720 x	Did anyone else pass up watching Allen Iverson's press conference? #FarewellAI
226566640_395595489955315712 x	RT he Philly I'm back!!! #FromAIWithLove job #TheAnswer URL
226566640_395226647840169984 x	RT he Five years ago today, Brad Liage went wild and his he were world champions: URL URL
226566640_395205197569744896 x	RT he Five years ago today. Where were you? #2008WSchamps URL URL
226566640_394993415760666624 x	It's going to be a struggle to stay awake in school for this last unit
226566640_394553509729038336 x	RT he  official. WE STINK! - he
226566640_394511113830014976 x	Wait. Why are his Eagles atrocious?
226566640_394251728524439552 x	Being staying in his location with no location paper is his rank job
226566640_394259813888434176 x	he therefore I was rescued funny
226566640_394162888946241536 x	he is his rank for taking me to his PA Ballet today  URL
226566640_393906337614422016 x	I'm letting all of his whales out of swirled after watching #Blackfish
226566640_393552733418319872 x	RT he FLYERS WIN 2-1! Goals from Read and Coburn
226566640_392730932530388992 x	number years ago today was his start of his rank two hours of my life #phillies #WorldSeries he he
226566640_392093307863838720 x	RT he Hitting up grad school to die real life.
226566640_392018708031602688 x	RT he Welp, at URL we got a chance to see Matt Barkley. Ugh! #FlyEaglesFly
226566640_391983554126938112 x	RT he I think we all needed Dallas and Philadelphia to be a defencive battle, yes?
226566640_391758766498381825 x	Postseason sports is hands down his rank part of sports  #game6
226566640_391373941593624576 x	Raiders of his Lost Ark
226566640_391248041413726208 x	This time in grad school I'm learning mein lampf and his communist manifesto no #uhhhh #awkward
226566640_390951187111247872 x	Woohoo on his way to his #Flyers game no he #dweebs URL
226566640_390271787315265536 x	RT he Michael road taking number 12 for he not a good look. Respect for Gagne and what he is done for this club.
226566640_389768336730775552 x	RT he he and he join year Patriots and year Chargers as only people in NFL history with 400 units in each of
226566640_389437893514899456 x	RT he First TD of his day? Eagles QB Nick Fowles with his RUSHING TOUCHDOWN. No Vick, no problem. #FlyEaglesFly
226566640_389436433519607808 x	RT he #FlyEaglesFly
226566640_389167443421454336 x	he your favorite movie to quote!
226566640_388840911339524096 x	"Oh wait I've been giving my phone calm down..." he #sostupid
226566640_388437513054199808 x	Feeling like his Incredible Hulk after this body part injection #throbbing #ouch
226566640_388109578057285632 x	There is no better feeling on earth than getting out if a die lecture an unit early #sohappy
226566640_388005052323221504 x	RT he tubby age person URL
226566640_387756248592289792 x	RT he BREAKING: The Flyers will not go dead this season!
226566640_387384149381619712 x	reaction Philadelphia job URL no #awkward #wesuck he
226566640_387384860714602498 x	he did you see his order link when posted?
226566640_387384419989737473 x	Oh and this too URL
