91200910_397556332351324160 x	he clown.....
91200910_396062990799495168 x	Time to get high off my own supply! #leftovercandy!
91200910_394936162269556737 x	A friend just gave me with his plan of attack to email a project issue at work. My reply? "Word." #youcantaketheboyoutthehood....
91200910_391892830798761984 x	RT he  one thing to believe  blessed,  important. But when you say,   it contains on a whole new
91200910_391892716000661504 x	RT he All Talk Entertainment is out! URL
91200910_391003422247624704 x	boga Bear. We all knew a few.... #tbt
91200910_390661199073132544 x	Hard and True Life Lessons Learned no #145: NEVER kiss a person in her body and do his Pillsbury Doughboy laugh....
91200910_388414817754947587 x	he 'cause appeal fireman are people too.....
91200910_384789290745860096 x	Bright side? They could not call him d!ckhead.......http://t.co/GWNDr9p3kV
91200910_384125028461449216 x	RT he Remember his scene in Happy Gilmore when Shooter McGuffin is trying to hit like Happy? That's me trying to speak like
91200910_383976062180659200 x	Soundtrack to Saturday morning chores...... he URL
91200910_383338615063199744 x	Is it just me or were Tamar Braxton and Lord Valdemort separated at birth? #wtfisupwithherface
91200910_382324739039309824 x	RT he June on Facebook needs us to know that no her birthday is not in June but July! no Fuck you, June and please annoy your
91200910_381945783584821248 x	Why is it that I fear NOTHING....except leaving my house without my charger?
91200910_381739851684777984 x	RT he "terrorism is his philosophy of cowards"
91200910_381197866783748096 x	Falling for this album like a Sunday in September he wink
91200910_380804203360571392 x	Yo, I could not get with fiction technology, son. It's like taking my songs outside of my jeans. #feelingexposed no #icloud
91200910_379338888554491904 x	he If I happen to see demean Jackson in his location this week, I'm pretty sure I'm going to put boot to ass..... #dumbass
91200910_379330207351861248 x	My year Philadelphia Eagles are quite like a holiday date.....unpredictable, fun, looks good, and if I'm lucky I'll end his night satisfied.
91200910_379214373941948416 x	RT he On This Birmingham Sunday-50 Years To The Day Addie Mae Collins,Carole Robertson,Cynthia Wesley And Denise McNair Were
91200910_375355026249908224 x	URL
91200910_134504523984154624 x	Wide awake....ugh.
91200910_25038691466477568 x	Nothing like watching a late night snow fall.
91200910_10326194534 x	The more things change, his more they stay his same.....
91200910_5869938417 x	Not sure how I'm feeling about this Twitter thing.....feeling it out.
