385210650_354733318492782593 x	#SweetTea #MasonJar URL
385210650_400420277211103232 x	So excited for these college sports games #UKvsMichiganSt #DukevsKansas #Randle #Wiggins #Parker
385210650_400338440635842561 x	RT he It's 11/12/13. Happy Amen Corner Day! URL
385210650_400088494498152448 x	Nate Robinson is crazy in his new #UncleDrew
385210650_400051741871575040 x	#Sixers!
385210650_399694743128784896 x	RT he Matt Schaab take photos on how to use Dre on his goaline! #Stud
385210650_399554106375045120 x	RT he Leading his interested today will be my young person he #53Men no #TEAM #WinningSituation
385210650_399553956671942656 x	RT he Big game between his Packs ! #FlyEaglesFly
385210650_399553826321358848 x	RT he Michael Carter-Williams and Oscar Robertson are his only people in NBA history with 130+ points and 50+ units in order 7
385210650_398902441963302913 x	RT he Suppose Mariota's body part changed him some but come on, not in Manziel's location as rank college player or fiction prospect.
385210650_398901604742885377 x	RT he Marita between re Stanford: design TDs, no 234 units no Winston between re Miami: 1 TD, 329.5 units no Me between manager Alabama: number TDs,
385210650_398241137158520832 x	#Sixers
385210650_397548064866848768 x	James Starks tho....
385210650_397516061069045760 x	#Sixers
385210650_397061111008489472 x	#NFL
385210650_396840494644600832 x	RT he Great team win ! Philly people gave his energy big time tonight ! #SixersBasketball
385210650_396826850284302336 x	RT he Great way to rally back and get his win. Couldn't of did it without his rank people in his league.
385210650_396823327710670848 x	RT he Here's a list of 76ers who have had 60 points, 20 units and number steals three games into a season. Not just rookie year but
385210650_396819600014602240 x	he Just got done watching his Sixers fly to 3-0. Now watching his future franchise QB #JohnnyFootball #MoneyBadger
385210650_396815955793551360 x	Sixers baby!
385210650_396814093874921472 x	"MCW following Rose like bad credit" rank line of his night by Malik #Sixers
385210650_396655644331487233 x	RT he 730 direction game on #NBAtv between a very good letters town team. #SixersNation #Whop #LOE
385210650_396652069039652864 x	RT he Got some good rest. Back at it again tonight between Chicago let me get it. #GameDay URL
385210650_396447400543653888 x	RT he #Sixers order to 2-0 on his season with 109-102 win over he he calls with 29 PTS. #TogetherWeBuild
385210650_396412102531117056 x	#Sixers
385210650_395729293713887232 x	RT he Michael Carter-Williams EXPLODES into NBA scene in an angry over Heat. 9 steals are most EVER for rookie in a debut.
385210650_395729176051068928 x	RT he I just got done watching his person I think will be his Rookie of The Year, Michael Carter-Williams of his 76ers.
385210650_395729014444531712 x	RT he Have to say, his 76ers defeating his Heat ranks up there with Gilmore defeating me as one of his biggest makes in
385210650_395726859008491522 x	RT he MCW: Best debut in NBA history? 22 points, 12 assists, 9 steals, 7 rebounds, 1 turnover. Are you affected me?
385210650_395726770227650560 x	RT he Sixers!!! Look what happened to "the King" without D Wade!! Even if they classify every other game, this season is already a
385210650_395726563482009600 x	RT he LeBrun (without DWade) calls clutch gene in Miami, sucks up order q, makes Michael C-W taken Sixers to roar from
385210650_395722600867196928 x	MC and ET look like a deadly duo #Sixers
385210650_395719060778147840 x	RT he Give he his he record for most steals in a debut game! He has 8 to go along with 19 points, 9 assists, and application boards.
385210650_395692362124775424 x	#Sixers!!!
385210650_395619250192547840 x	RT he "When you think of Philadelphia sports you think of Allen Iverson URL and I fought for that." -Allen Iverson #SixersTalk
385210650_395615452703232000 x	RT he Allen Iverson currently reveals his holiday from basketball. #phillyfarewell on he and URL
385210650_395614257251094528 x	RT he 76ers manager Josh Harris says Wells Fargo Center is Iverson's house, "and he is always welcome here."
385210650_395613508890800128 x	RT he #SixersTalk here we go #theanswer URL
385210650_395345665632780289 x	RT he Wayne Gretzky is his only NHL player in history who is scored 200 or more points in 1 season. no He was able to do that
385210650_395335956943089665 x	Finally #NBA
385210650_394557829224620032 x	Draft refresh time in Philly!
385210650_394550554007199744 x	he best sandsy!
385210650_394483974896381952 x	RT he #FlyEaglesFly
385210650_394466205958160384 x	RT he #GameTime #BLEEDGREEN #LetsGO
385210650_393906038404960256 x	Watching #GoldRush with he
385210650_393711932685185025 x	RT he finally some good activity weather !
385210650_393527871580672000 x	RT he Mike Glennon looks quite familiar.... URL
385210650_393174108491751424 x	Wow this makes me miss sports sports in Philly
385210650_393156856769957888 x	Tony groten is his man #Sixers
385210650_392007011858386944 x	Wow Fowles sucks
385210650_391927322116648960 x	RT he Game day @ his Linc!! #Fly baby.
385210650_391297898417504256 x	RT he Gotta love calm hunting!! #whitetail
385210650_390995407134019584 x	#TNF #SEAvsAZ
385210650_389409633955487747 x	RT he Back at it game time!!!!!...... Damn his Philly Boys here !
385210650_388966209909444608 x	RT he Road trip with he  #BedfordBound
385210650_388460726446477312 x	#TNF
385210650_386977764240556032 x	RT he Great team win.... Go color go birds Go EAGLES !
385210650_386965073950154753 x	RT he One Secondary. Three interceptions. For his win. #FlyEaglesFly URL
385210650_386918992394600448 x	RT he I love sports in month because they all dressed with color songs and cleats! he happy #football #eagles
385210650_386884718203240448 x	A age #Sixers action before his #Eagles!
385210650_386260818293428224 x	he Told you you would like Oktoberfest
385210650_385545229300170752 x	Hockey season is always a good time of his year #Flyers
385210650_385192585352216576 x	#Dads
385210650_384446036896673792 x	Wow his D is horrific
385210650_384413194376458240 x	Let's go Birds #BleedGreen
385210650_384143375970357248 x	Why is his "popular on Facebook" category on Netflix populated with shows and movies an 8 year old would watch #TheMagicSchoolBus
385210650_383953428181164032 x	RT he About to have a blast on his tips with he , he and he
385210650_383906640657149952 x	Nothing like sleeping in on a Saturday.....
385210650_382656214972526592 x	#dads
385210650_382653662008709120 x	he we both know that Cameron is better than me. And what we really know is that you are better than both of us
385210650_382652939980263424 x	he I'm doing a fire sale of my team, I'll give you order refresh of who you want
385210650_382647940894162944 x	he he I could not this weekend but I'm good his following Saturday
385210650_382301645503471617 x	he he We need to get out ASAP, this time with more beverage funny
385210650_382301315462086657 x	#MNF #RunDMC
385210650_381535140151050240 x	Just shot a nice age 9 under with he he and he #FearsomeFoursome
385210650_380894266006179840 x	Just when I thought his D looked good, they could not get off his road when it works
385210650_380885802336944128 x	design nice contains put to a stop by a KC player being "hurt"
385210650_380877557627125760 x	he no worries Cand, he is back on his road #YouWorryTooMuch
385210650_380861611235614721 x	Can't win like this
385210650_380850170428399616 x	Let's go Eagles! #BleedGreen #BirdGang no #LetsGo
385210650_380795096465416192 x	RT he Game time !
385210650_380750981275066368 x	RT he Big game for them Eagles ! #FlyEaglesFly
385210650_380515879819415552 x	RT he Man we need this win..... Let's get it Philly. #BLEEDGREEN
385210650_379765542514884608 x	#MondayNightFootball is not his best without this man doing his thing before his game #OldHankCrankin no URL
385210650_379336683667607552 x	Wow why are you calling TOs.....
385210650_379330923990642688 x	RT he Watching sports with he is so stressful...#secretlyloveit #eagles #football
385210650_379325512638025728 x	We are getting absolutely torched on order down
385210650_379260984688672768 x	RT he Philly Y'ALL READY ....
385210650_379260438363799552 x	he he means start their personal as his eagles body part coach as 2-0, man some of these people have no matter Rob
385210650_379260105365401600 x	RT he First home game in about design hours! All I can do is thank God for this great opportunity! interested allday! #Eagles
385210650_378972216198967296 x	RT he manzil = Stud #JohnnyFootball
385210650_378919690464428032 x	Kentucky's uniforms are so drunk
385210650_378340500115582976 x	he Source says he review that Khalif Wyatt has congratulations to front with his Sixers. #SixersTalk he he
385210650_378332237110206464 x	These commentators are horrendous, do they know anything about football....
385210650_377750159985475584 x	RT he God Bless America #NeverForget
385210650_377614216922161152 x	Sons has only been on for a few minutes and I'm already Hooked again #SOA
385210650_377535978719936513 x	RT he Great Flow no #Eagles URL #keepfocus 1gm does not make a season but it is a damn good start
385210650_377254724267147264 x	Tom Jackson said on he that Alfred Morris would end his night as his living rusher in his he Leesen McCoy had other plans #EAGLES
385210650_377210154909192192 x	Most BS thing I've seen in a while
385210650_377202963972104193 x	RT he I could not wait until his he debut of Chip Kelly's offense. The project IS being televised. ARE YOU READY?
385210650_377199930328498177 x	#EAGLES #LetsGo #BleedGreen
385210650_376708857806217216 x	RT he Hurry up 1 o' clock! #NFL
385210650_376703771596046336 x	The order Sunday of his NFL season is his rank #LetsGo
385210650_376511227234881536 x	RT he Lets Go Mich!!
385210650_376495900035919872 x	#Michigan v #NotreDame #LetsGoWolverines
385210650_376038171077001216 x	he I win Peyton a fantasy Ship last year and how does he convince me? Dropping 55 on me for not drafting him again. Lets go he
385210650_375778149872975872 x	RT he That Birds project was sick! #FlyEaglesFly
385210650_375776429340106752 x	Is it sports season?! Somebody kiss me!
385210650_375438549447090176 x	RT he let me go
385210650_374704109456478208 x	James Winston is only 18 #Wow
385210650_371414450592825344 x	EAGLES!
385210650_368891711046819840 x	RT he In order of this beautiful Saturday night, me he and he will shotgun for every retweet giving you a
385210650_368154324431826944 x	#Eagles
385210650_366345334957424642 x	RT he Golf outing!!!  he URL
385210650_365998308008796160 x	RT he The clothes is to turn off his TV when his defence is on his field. Then sign it back on in application minutes to enjoy his offence
385210650_365981010388729858 x	RT he Iglesias's  he URL
385210650_365978984837677057 x	Eagles time! #Birds #BleedGreen
385210650_365884264534900737 x	RT he I could not remember ever being more excited for a preseason than I am right now... #Eagles
385210650_365444485963984896 x	RT he Happy PGA Championship Day everyone
385210650_365285531527028737 x	RT he My family he and I ! #Sixers URL
385210650_364047045490774016 x	he he remember when Shirley was running Molly and I gave it and Molly chased it and drug Shirley through his sand #Classic
385210650_364046487699062784 x	RT he I miss tossing his 'bee with he and he on a day like today #Beach #AllStars
385210650_363464693530099712 x	#GoldRush
385210650_363358115632525312 x	RT he When you leave work today *jog to car/slide during hood* *climb car*   *front-flip off car* look at
385210650_363114967341752320 x	RT he #Si URL
385210650_363109708343033856 x	Hey Jack!
385210650_360512248575311874 x	House road living #Vacation URL
385210650_359099608980402178 x	Now we eating with taste oil!
385210650_358983541603835904 x	Beautiful performance by #Phil #USA
385210650_358978350393470977 x	This is one of his best sports tournaments I've ever seen #BritishOpen
385210650_358970675740291072 x	RT he Phil Mickelson learned how to putt...... reaction oh.....
385210650_358967976990482433 x	he So this is why you could not golf...We're just going to Kimberton, pants are not a difference there either
385210650_358960279398645761 x	RT he Wow,  believe Tiger  go with his *putter throw* after that miss #TheOpen
385210650_358953613508759552 x	RT he Tiger Woods better find his "happy place".
385210650_358930923837857792 x	Final round of his #BritishOpen #SundayRed
385210650_358593806960459776 x	RT he Golf is his rank sport to watch...just a constant struggle between trying to watch and trying to go play. #decisions
385210650_358586728887898112 x	RT he British Open! #Pumped
385210650_358574159065911297 x	A long morning hanging with sports #BritishOpen
385210650_358184049375854593 x	Holy humidity
385210650_357821443532263425 x	It's that time of year #BritishOpen
385210650_357681221872414720 x	RT he #ESPYSBestTeam The National Basketball Referees Association for securing back to back titles for David Stern and his
385210650_357679337887105025 x	RT he The ESPS are airing on ESP now. Or as I like to call it, a way for ESP to find a reason to smile all over LeBrun
385210650_357186626155331584 x	I'm going to turn into a burrito with all his Chipotle I eat #SoGoodThough
385210650_356933428228268033 x	RT he Funny enough, ESP had LeBrun James screwed to win his #HRDerby tonight.
385210650_356802714044338176 x	RT he he Thanks bro! I'll be at KBP to watch The he win his pennant with you before you know it!
385210650_355918602672676866 x	Didn't think I'd write my Friday night in his ER, waiting for you he I know you got this #TooStrong!
385210650_355137813634756608 x	This is so drunk #Spidey #Hoops #Professor no URL
385210650_355131061736443905 x	You got a pass unit in your rig? #DuckDynasty
385210650_355109572542857216 x	When you see a fiction you see Bambi and I see antlers up on his wall When you see a location you think holiday and I see a largemouth up under that fly
385210650_355100277466083329 x	he blockers Friday night, I'm trying to eat that song you were talking about
385210650_355082315652800513 x	Somebody needs to figure out teleporting so I can fly to and from work #Traffic
385210650_355006244827832320 x	he as long as stats from his prison location answer funny
385210650_354994311227645953 x	RT he he are you going to keep his man that won you his Fantasy Championship last year? #Hernandez #TheeLeagueActivated
385210650_354775095090216961 x	You got a huge set on ya. Excuse me? Pipes, someone has got a great voice #AlwaysSunny
385210650_354717882166427648 x	he The King of Country coming up for #razzrecommended, could not wait to hear it!
385210650_354413754483634176 x	#Pokemon #NBA funny URL
385210650_354388726195032065 x	I'm going to become my own pose, it is called dying appeal man #DuckDynasty
385210650_354374823595614209 x	#Jeopardy
385210650_354362837478547456 x	he loving this song Razz
385210650_354050003435659264 x	Maybe I'll fly down there, I'll spear a tuna, I'll play him on board, and someone will have a feast #AlwaysSunny
385210650_354018414903304192 x	There's a storm brewin!
385210650_353973966924296195 x	he You killed it today man! So excited to see you during his size season in a real #Sixers jersey!
385210650_353964474312556545 x	Sundays are always so strange #LazySunday
385210650_353953325177253889 x	he Dom Bomb
385210650_353947901262696450 x	Revere!!! #Phillies
385210650_353871264403824641 x	MC is a turnover machine, surprise
385210650_353858932902604800 x	About to get his order look at MC #Sixers #NBATV
385210650_353851866909642752 x	You mean to annoy me you did not go to your family songs to open up your shows on Christmas #AlwaysSunny
385210650_353725018892537856 x	he Can a die hard Sixers fan get a RT from his rank voice in his NBA #GarbageIntoGold
385210650_353730883531980800 x	he Haha you are his man!
385210650_353730540047835137 x	RT he He's not available so I'll do it  he Can a die hard Sixers fan get a RT from his rank voice in his NBA
385210650_353619363225538562 x	Heading down #Phillies game #LetsGo
385210650_353607680079839234 x	RT he Heading down to The Bank with he
385210650_353365727908073473 x	he Hey you (blow into bottle)
385210650_353366644480942080 x	he I know man! It's a money and a kiss all at his best time, I'm almost as studly as you!
385210650_353366470186643456 x	RT he he is a stud
385210650_353329643371233280 x	I reaction it is not at URL 150 it is at URL 1000 units
385210650_353320628515909634 x	It's at URL 150 units in Bistro right now
385210650_353301062788202498 x	Hitting up Bistro on Bridge with his ladies
385210650_353282274554421248 x	Then I realized, he is not snarling, he is sneezing #MIB
385210650_353202555251200001 x	Chipotle for meal #SoGood
385210650_352955641893097473 x	Jealous of everyone who has off work tomorrow
385210650_352897300546334722 x	I love when my grandfathers start arguing and call each other old
385210650_352847784543662080 x	Who's having a party today?!
385210650_352782341678178305 x	Just affected #Pops #FarmersTan URL
385210650_352782170638667776 x	Prize of his day so far URL
385210650_352746391061282816 x	Out on his water doing some #fishing URL
385210650_352727217006063619 x	The early mammal gets his worm #happy4th
385210650_352575960954056705 x	Watching some #DuckDynasty
385210650_352562796015259649 x	Need to find me something to do tonight
385210650_352394494479572992 x	I always get to places way too early
385210650_352236311463215106 x	Sons of Anarchy!
385210650_352209716824387584 x	Unfortunately I had to just trim/shave my beard, it is strange how much color body I already have #LikeFatherLikeSon
385210650_352205950452645889 x	he he he What's his lesson on?!
385210650_352199723878334464 x	Left his location for a time and came back in to see Tyson running around on his location table #YoureTooBigForThat
385210650_352198165560176641 x	he Hahaha nothing like a project URL text, did he at URL attach an image of a clothes
385210650_352197863582867459 x	he A marketing service called Gen3 Marketing, it is over between Norristown and Blue Bell....no more turnpike for me!
385210650_352196231218470912 x	he Thanks! funny it is strange, order days always hanging with strange paper work anyway, probably trying to get it out of his way
385210650_352186097675145216 x	Start my order day on his new job tomorrow #Excited #Nervous
