332377929_369252999157145600 x	Feeling sad today..
332377929_369300075933364224 x	RT he Another Lonely Nite
332377929_396245092941725696 x	I could not find you for along time he he when love yall!!!
332377929_396243385302130688 x	he my person turned design time and time ago Myles PAIGE!!!
332377929_396241839311048704 x	My person turned design time design days ago malee paige!!! he URL
332377929_395394119079845888 x	Killing me slowly!!
332377929_395368863157993472 x	Im always his one!!
332377929_395347869441753088 x	Cheating was never cool and it still aint!!
332377929_395347226811445248 x	Always got me out here looking crazy!!!
332377929_394809637780066304 x	Im sad!!!!
332377929_394606095505063936 x	Don't even no it!!!!!
332377929_394564116452769793 x	He said he done fun he was done 7years ago!! he
332377929_394406815729197056 x	Dumb ass nigga!!! But it is cool we are done!!
332377929_394406467086065666 x	Im up cause my family drunk and we are call off about something else could not sleep
332377929_393363532626280448 x	Im so over it!!!!!
332377929_393201124058341376 x	I should have left along time ago he
332377929_393089805867053056 x	I HATE HIM!!!!!
332377929_392972222169886720 x	Can't stand this family fucker!!!
332377929_392634599387717632 x	Im just tired!!
332377929_392348033218011136 x	Some type of way!!!!
332377929_392341776763469824 x	SMH!!! AT DUMB AS Nogas BUT nigua I AINT WORRY ABOUT NOTHING!!!
332377929_392178833816031232 x	My girl is so f___ing bad but sometimes he will get it together! And we are hoping real soon before we are gone!
332377929_390196099442810880 x	Her 3!!! URL
332377929_390193785516609536 x	Birthday girl!!! URL
332377929_390193580490620928 x	SCREAMING HAPPY BIRTHDAY TO MY BABY SHE IS design TODAY!! URL
332377929_389938744499122176 x	Just like that!!! URL
332377929_389834743661215744 x	STUPID MOTHER FUCKER!!!
332377929_389608650060607488 x	He is so bad like I do not know him but bye on that note!!!!
332377929_388579937239986176 x	RT he Stop making time for people who is not making time for you.
332377929_388579758654910464 x	I hate this someone please annoy me what to do
332377929_388579412729688064 x	RT he Stop letting it stress you, just let it go.
332377929_388579331959980032 x	RT he My weakness is that I care too much.
332377929_320073232843681792 x	I want to upset somebody!! URL
332377929_388579230239715328 x	RT he If you got HOES  , fuck you need ME for ?  if you got ME  you need THEM for ?
332377929_385292296646033408 x	So tired of his problems and games!!!
332377929_384413790701625345 x	In his house on this sunday by myself once again he came and gone again when could not take this no longer but when be ok always is
332377929_379185146395885568 x	Up could not sleep..
332377929_376932067818606592 x	Moth people are funny!!!!!
