1686614648_381130657310990336 x	Date Night 101: no Always go to L'Oceano Ristorante. URL
1686614648_399266522872311808 x	he Do you have meal plans tonight? We would love to have you join us he tonight. Great night to visit Collingswood
1686614648_398878330264764416 x	Jerry M. was in last night and was nice enough to send us this quick message on his Facebook Page: no 'We were in... URL
1686614648_398585661495980033 x	Get a fly on your holiday shopping! Enter to win a $50  money card for someone on your list or...keep it... URL
1686614648_398550785555845120 x	he he he Come out of his rain, visit he and Chris Grass tonight he URL Thursday Night Fun Night!
1686614648_398281598598397952 x	Already thinking about his holidays? So are we! Join us for his awesome four-course Christmas Eve Dinner! no View... URL
1686614648_398189195581468672 x	I posted a new photo to Facebook URL
1686614648_398189103008972801 x	I posted a new photo to Facebook URL
1686614648_398188936969080832 x	I posted a new photo to Facebook URL
1686614648_398087380579926016 x	Looking for a great sunday meal deal? Join us for his four-course party menu for just $35! (Available every... URL
1686614648_397816129261166592 x	In order to private parties, corporate events, meal daily and interactive dinners we would like to help you... URL
1686614648_397809892628914176 x	Congratulations on your holiday holiday here at L'Oceano last night! May your giving together bring you more... URL
1686614648_396739271635501056 x	It's Saturday.. Take his night off and enjoy myself he
1686614648_396274193329041408 x	RT he he Congrats on opening up in SJ, thanks for his follow, look forward to living with you soon!
1686614648_395958143198711808 x	We are ready for his kiddies! URL
1686614648_395957330606440448 x	#Halloween is a great night to eat out. Reserve a door body part he and enjoy his service on he #Treat myself tonight!
1686614648_395921229263405056 x	Trick or Treat? no We hate Treat. no no TREAT myself to L'Oceano tonight! URL
1686614648_395888581753196544 x	Happy Halloween!
1686614648_395654205064904704 x	"What a nice, clean atmosphere for his town's only seafood restaurant. And his food is so speed presented... URL
1686614648_395640661095235584 x	"What a nice, clean atmosphere for his town's only seafood restaurant. no And his food is so speed presented... URL
1686614648_395614965450567680 x	It's his two time Anniversary. We want to hear from you! How are we doing? URL
1686614648_395275331554140160 x	he #35 party menu Sun-Fri four courses. Check it out. We would love to have you!
1686614648_395274612117753856 x	Let he eat for you tonight. Our Chef is getting ready for meal and it looks great! I wish twitter had a sound feature.
1686614648_394910950090108928 x	he Thank you for following he check out his site URL
1686614648_394858098378420224 x	Forget love. I'd rather fall in chocolate. no Happy National Chocolate Day! URL
1686614648_393796720217165824 x	Happy Friday! It's ok if you love National Food Day yesterday. We would love to have you for meal tonight. To... URL
1686614648_393753783035240448 x	RT he Yum! RT he he Have you wanted The Lamb Osseo Bucco yet? URL
1686614648_393739699732643840 x	he he he he no L'Oceano's Fish Sausage URL
1686614648_393738513310810112 x	he check out his menu we posted new homework URL
1686614648_393738510018293760 x	he Stop by he tonight, move on he and relax he #35 amount party menu URL
1686614648_393738479425044480 x	he he Have you seen he yet?
1686614648_393738477541818368 x	he join your favorite BYO for meal tonight #35 amount party menu
1686614648_393738473431379968 x	he refresh up your favorite unit of beverage and have meal he your favorite BYO #35dollar party menu URL
1686614648_393738435678437376 x	he Have you wanted The Lamb Osseo Bucco yet? URL
1686614648_393738399448043520 x	Check out he new look! URL
1686614648_390554635867406336 x	he Check out he in Instagram
1686614648_393738353059049472 x	he it is loceanoristorante
