28109359_385406357467193344 x	HOT QUESTION: Is it ever ok to snoop in your own cell phone? #HotTopics
28109359_384689233090199552 x	We're #IntheKitchenwithWendy and he
28109359_385771880600203264 x	Hot Question: Do you think he can cut his alleged drug mood on his own? URL
28109359_379362318305738752 x	Fill in his blank: The he Show is all new starting tomorrow and I'm so excited for ________! #feelitwendysept16
28109359_172029865330094080 x	After Show: I got a new wig, but could not speak if I should classify it no on TV. What do you think? URL
28109359_169183466242584577 x	We had fun playing his "How You Datin'?" game today. If you want my help seeing a man, email me now! URL
28109359_125216077977366528 x	Having a blast in his BVI!!! What is everyone up to today? #sayitlikeyoumeanit URL
28109359_113015654424125440 x	My family made perfect Sunday meal So full. Now I'm in my family cave watching his A List. I could not wait to see you tomorrow! #sayitlikeyoumeanit
28109359_395910866731692032 x	We're number minutes away from Wendy's Halloween show! #HowYouBooin
28109359_390525181313433600 x	Join me and go color to stand between bad event on #SpiritDay 10/17. Let's show LGB youth someone has got their backs! URL
28109359_167628227609759745 x	Hot Question: Do you think he should finish his mustache?
28109359_204212204386521088 x	Walking he with my Glams -@makeupbymerrell and he no no no How we doin? URL
28109359_375356745889366016 x	Thanks for all his LOVE DC! I LOVE you back! See you on his he FOX number   at 5! #feelitwendysept16
28109359_392291216307396608 x	Hot Question: Now that  a mom, should he stop learning racy selfies? URL #selfie
28109359_387565642443800577 x	#HotTopics he is taking he to location for usually not especially her in parenting decisions.... URL
28109359_388462761443082240 x	URL he having a door sale and Wendy's already thinking about what he is going to buy! VIDEO: URL #HotTOpics
