562883637_280764317006176256 x	RT he he Remember to send us your #twopics for Monday's show!
562883637_397944642005905408 x	Listening to this age Mental Poison. These guys are his rank genre project going. URL
562883637_397944048482533376 x	he just earned Blackman for his 10,000 time. Still hilarious!
562883637_397932481519026176 x	RT he he Perform for Def Jam Nov. 24 Secure a meeting @ Def Jam in NY Register Today 610-659-4485 URL
562883637_397932411180556288 x	This bad sucks.
562883637_394853256637448192 x	he is a wicked funny project from down under. Go check them out!
562883637_393207661782925313 x	Coolest MEME ever. URL
562883637_388509953671311360 x	Hahaha! URL
562883637_387250620400697344 x	he good to have you guys back. Whatever happened to Farfugnuten?
562883637_387076086569656320 x	he alright, this is some music I can clothes out to.
562883637_370579837431185408 x	RT he Hottest band in Philly...go!
562883637_370579823279632384 x	he he hands down.
562883637_368744366816231424 x	Crapsticks.
562883637_368058765696040960 x	RT he If you are called "class clown" in female college, does that just mean you are a really informative clown?
562883637_365949146953310208 x	Who you going to call? URL
562883637_365948781054816256 x	I shame his Jedi URL
562883637_360668778364809217 x	RT he Insomnia contains a bring of me tightly no sleep like a crackhead daily and nightly will I ever sleep? I do not know, turn off
562883637_359898705912012802 x	Why'd his food rock his road? ANSWER: AIDS
562883637_359209544250970112 x	Listen to his man, he seems serious. URL
562883637_356596818294996992 x	Gotta admit, kind of excited for tomorrow. Mental Poison turns 100, lol.
562883637_356596656893988865 x	RT he Who is this George Zimmerman and darvon Martin everyone is talking about?
562883637_354284555756253184 x	Where do babies come from? he #twopics
562883637_350381145235529731 x	RT he Paula Deen calls corporate sponsors, but shows book sales, cruises, and Glenn Beck URL
562883637_339041089157738496 x	he #twopics how did you assoils all meet and what is his story with this bad show?
562883637_331999357400399872 x	The only food I have left in his house are frozen peas. FML.
562883637_329015709613047808 x	he #twopics keep your inappropriate body part strong. Have you ever procured his service of a prostitute?
562883637_319308214225219585 x	RT he DO NOT point his rear end between an aircraft. he Steeeeeve, my mammal just earned a color pointer. no What shou job
562883637_319308164954730496 x	RT he Walt Disney gave his housekeeper Disney stock every year for his holidays. She died a multi-millionaire. >> URL job
562883637_319307982443773952 x	RT he You're My favorite Crayon In The Box
562883637_315583960312840193 x	RT he Follow he funny-ass genre out of Philly. Friend of his show.
562883637_312109648159326208 x	RT he Small inappropriate is not my only problem. I have a active eye too. no #thingsjenniferlawerancesaysontruthserum
562883637_309618622354030593 x	RT he Hipster is just a nifty way of saying metrosexual that loves summer hats.
562883637_309550258084519936 x	RT he he you have good taste...loser.
562883637_305806935029055489 x	RT he Tips on loving people: Don't.
562883637_305806649455697921 x	RT he I wish his term "A dime a dozen" used to prostitutes. no URL
562883637_301936547983405057 x	RT he I just do not give a fuck. I'm out of fucks.
562883637_301936500944277505 x	RT he Which came first, his food or his egg? Answer: Me, I came first. I die from early squirts. Admitting it is letters job
562883637_280765309009424385 x	he very angry in this tweet. Recycled crap joke.
562883637_280764848130904065 x	RT he Feeling so so sad for all interested in his Connecticut shooting. Deeply strange in so many ways. As a parent, almost reaction job
562883637_260173836782288898 x	RT he Get your #twopics in for Monday's new Mental Poison!
562883637_260173722705600512 x	RT he That awkward moment when you are giving ass at Mario Kart, then you realize someone has been watching his wrong screen
562883637_254119054019796992 x	I was taking Speedos before his were cool. #bananahammock
562883637_254118868971307009 x	RT he I have a strong urge to cut my own ass.
562883637_254118654805962753 x	RT he "She's so ugly, how does he have a boyfriend?"... Maybe he has an awesome personality and her family is not a trust job
562883637_252921210353098752 x	he #twopics Showering technique. I do not always finish my body for instance. I have a body part washing schedule.
562883637_250967165149249536 x	RT he Today's President: Thomas Jefferson, who had no idea how strange America and it is people would turn out URL
562883637_250940022180704256 x	RT he I'll kiss a inappropriate sandwich, I just do not give a damn.
562883637_250939140328275968 x	RT he [4:30 AM: I here a rustling sound outside my room door.] no Sweetheart, what in his world are you doing? no "I was... letters job
