35392708_2172967404 x	Tired. Getting ready for bed.
35392708_4306613824 x	I'm wondering if no news really is good news.
35392708_8462223760 x	Just got home from volunteering at family school. I'm exhausted!!!!
35392708_8139858527 x	Tired of being in limbo
35392708_4306619277 x	Getting ready to go to bed
35392708_398586876535521281 x	he I just earned your story. It was very moving. Thank you for sharing. God bless you and your family and congratulations.
35392708_387040832160673792 x	I no love he Theresa's premiere was great. Looks like an exciting season ahead. #LongIslandMedium
35392708_387034734477316096 x	he no I love watching Theresa in Philly! #LongIslandMedium
35392708_387029551928193024 x	Watching no he with my number year family and he said he needs a learning for his family so he can talk to Grandpop. #LongIslandMedium
35392708_387027495691620352 x	he no These readings tonight are so emotional #LongIslandMedium
35392708_387025691453034496 x	That poor family. I could not even remember his heartache. #LongIslandMedium
35392708_387023023800188930 x	he Theresa is a beautiful person outside and out. I watch her every time #LongIslandMedium
35392708_387022424069251072 x	he my heart goes out to Kim. I'm so sorry for your loss. I hope Theresa was able to bring you peace #LongIslandMedium
35392708_387020382571474946 x	Theresa is in my hometown Philly. Woohoo! #LongIslandMedium
35392708_387018152288067585 x	I would love to win a learning for my family who knows nothing about tweeting but loves Theresa #LongIslandMedium
35392708_387015298496204800 x	I wonder if Theresa ever had a learning and no one belong thru. I think that would happen to me #LongIslandMedium
35392708_387012790952554497 x	The readings Theresa does with children are so moving. They make me emotion #LongIslandMedium
35392708_387011278205513728 x	I'm super excited for his premiere. Theresa is a beautiful person and an inspiration #LongIslandMedium
35392708_387009156936241153 x	That's exactly why I did not want my family to go away for college. He would come home upset and emphasis like Victoria LAL #LongIslandMedium
35392708_387008134784352256 x	My family lost design family within design weeks. She is behind herself. I'm hoping Theresa could bring her peace #LongIslandMedium
35392708_387005336093093888 x	I think Theresa #LongIslandMedium is a beautiful person outside and out but if I had a learning no love ones would come through LAL
35392708_320542356648640512 x	I think it is awesome my new friend Jason took photos for me but my name is not Jen MAO
35392708_4116395883 x	I'm hoping he is still talking to "her". Don't know what to do anymore
35392708_3533173212 x	Getting ready for work. Wish I did not have to go.
35392708_2811734496 x	Enjoying my vacation. Had a active day.
35392708_2682140773 x	Going to bed and hoping for a better night sleep than I've been getting.
35392708_2607488112 x	Want to go to bed so bad! Really tired. Really long day.
35392708_2293989441 x	Getting ready to visit a college with my son.
35392708_2231330041 x	Summer computer sucks!
35392708_2222011118 x	what a beautiful rain day to wake up to.
35392708_1846401467 x	just waking up. Thinking about going back to bed, lol.
35392708_1828839662 x	just waking up from a nap.
35392708_1743953576 x	is tired and on her way to bed.
35392708_1625601034 x	is trying to get cool!
35392708_1623858743 x	just finished meal and is looking forward to his location of "Daisy of Love".
35392708_1618098998 x	Joining Twitter and looking for something to download me.
