78811893_398246952170565632 x	he It's rank to just leave them.
78811893_399004543180369920 x	VIDEO: Sixers' Tony groten after personal high 18 points no URL
78811893_398988130679652352 x	Andrew Bynum scored a bucket. And text followed. Real surprising.
78811893_400058843037589505 x	This makes seven straight games in which his Sixers have trailed after one quarter. (Only between Miami have they taken after order 12 mins.)
78811893_400058661361291264 x	After one quarter: #Sixers trail San Antonio, 31-13.
78811893_400058564527390720 x	The Sixers had 4.1 minutes to inbound his ball and get a shot off. They did amount of that. (I'll let you guess which half.)
78811893_400058061580021760 x	The Spurs are having a road day with his Sixers right now.
78811893_400057809112276992 x	Another slow start for his Sixers, who are down 29-13 in his order quarter.
78811893_400056289230716928 x	Wroten, Morris and Allen are order off his road for Sixers, who trail, 17-11, with 3:30 to go in his first.
78811893_400054164451233793 x	Spurs 6, Sixers design after order three minutes. Sixers needed eight photos to finally make one.
78811893_400047260194443264 x	#76ers blog: Spurs' poppyfish says #Sixers' James Anderson 'is pretty good a lot of areas,' but not really good at one URL
78811893_400048459178192896 x	he Says his person who is not here. Or at his Bynum presser, yet usually earned off of it his other day.
78811893_400039069821837312 x	#Sixers starters vs. Spurs: Turner, Young, Hawes, Anderson, MCW. job Spurs starters: Leonard, Diaw, Splitter, Green, Parker.
78811893_400040532333694976 x	he Wouldn't admit yes, but only because his speed/scoring are valuable off his bench. Depth is (very) seriously an issue.
78811893_400038879098462208 x	Just ran into Pinecrest High sports coach Mike Doyle and his family Mike courtside @ #Sixers / Spurs. Good person with solid Delco people over his years
78811893_400032481421713408 x	Sixers C Daniel Orton (right body part soreness) said he is available tonight. "Nothing I could not play through," he said.
78811893_400029823885533184 x	Spurs coach Gregg poppyfish said Tim Duncan (rest) is out tonight URL Sixers. Boris Dia will start.
78811893_400029403490447361 x	Spurs poppyfish said assistants, Brett Brown included, have voice. "It's no ones program, if it is Timmy (Duncan's) program. He's my boss"
78811893_400029096475766784 x	VIDEO: Spurs coach Gregg Popovich, on Sixers coach Brett Brown no URL
78811893_400028287981735936 x	Spurs coach Gregg poppyfish said he is excited Sixers gave Brett Brown a chance. "People will find out soon he is for real."
78811893_400026988569567232 x	#Sixers coach Brett Brown's tips to MC on guarding Tony Parker: "Two words: Get back." Called Parker "a deer, a greyhound."
78811893_400026577733287937 x	VIDEO: #Sixers coach Brett Brown on his start with San Antonio coach Gregg poppyfish no URL
78811893_400022180047912960 x	A common sight pregame or at #Sixers practice-- coach Brett Brown running living drills with Norlene's Noel URL
78811893_400007046499958784 x	he Temple hoops? Absolutely. La Salle at balestra is a lock. Everything else is uncertain, but I'll be around.
78811893_399963694840680449 x	he Never. I miss his person URL both real and he
78811893_399936898900447232 x	Sixers coach Brett Brown, who has a wealth of Spurs knowledge, said he is used self-control in gameplanning: "You have to bring myself back"
78811893_399936473077923842 x	Sixers coach Brett Brown on using his nationality team: "It's not that dramatic. It really isn't."
78811893_399936182005792768 x	Sixers coach Brett Brown said he and Spurs coach Gregg poppyfish speak "three to four times a week. We talk way near basketball."
78811893_399933522137604097 x	Evan Turner, on Brett Brown using Spurs: "He would like to win. job That's his personality." #sixers
78811893_399757057043484672 x	he Good luck this season.
78811893_399657004886941696 x	he he I think someone will see him moved at his deadline. His stock starts to rise with each 20+-point game.
78811893_399202597384757248 x	Won't be in Cleveland tonight for #Sixers/Cavs. Instead I'll be in Bucks County as rank man in my buddy's wedding. Congrats to Dave and Colie!
78811893_399205946486185984 x	he You've got that right
78811893_399204762983624704 x	he I wish you his best, Dan funny
78811893_399204594867531776 x	he I yelped. Haha well done.
78811893_399199688370692096 x	#Sixers loss over Andrew Bynum, Cavaliers (with video URL
78811893_399201552126468096 x	he Thanks funny
78811893_399032642537938944 x	he Very nice to meet you today. Safe travels back to Cleveland.
78811893_399032489315815424 x	#76ers blog: Andrew Bynum makes order to Philly a laughing matter job oh, and his #Sixers won (with videos) URL
78811893_399022402715521024 x	#Sixers loss over Andrew Bynum, Cavaliers URL URL #76ers he
78811893_399026105849774080 x	he Headline? Gamer?
78811893_399028421168078848 x	he Ha, thanks Jake
78811893_399009767924195328 x	VIDEO: Cavs' Andrew Bynum comments of reception from #Sixers people URL
78811893_399009167027216385 x	VIDEO: Cavs' Andrew Bynum on his reception in Philly URL
78811893_399005970061201408 x	he Hey! Keep an eye on that girl!
78811893_399005348691861504 x	Andrew Bynum on Philly reception:  was smiling every time they gave me (on his big board). It was funny. What more can I admit about it?"
78811893_399004271842430976 x	Andrew Bynum said his reception by Sixers people "was funny. It was funny to me."
78811893_399004084893921280 x	Andrew Bynum called reception in Philly "weak." Said he "was taking a lot worse."
78811893_399001512825073664 x	Sixers C Daniel Orton said he is "hoping to go" Saturday at Cleveland. Said he wanted to play tonight.
78811893_399001216187125760 x	VIDEO: #Sixers coach Brett Brown on Tony Wroten, who had career-high 18 points no URL
78811893_399000354354102272 x	Brett Brown: Tony groten "plays with bad abandon. job He could put his rank pass someone has ever seen or hit someone in their shoe."
78811893_398999763800313856 x	Brett Brown: "(Evan Turner) is improving. job I feel like there is an calm of him. He's a fiction and he really needs to get better." #sixers
78811893_398999522439090176 x	Brett Brown: "Seventeen turnovers is like six for most (teams)."
78811893_398997556732366849 x	Final: Sixers mention Bynum, Cavs, 94-79. Sixers get 22 from Evan Turner, career-best 18 from Tony Wroten.
78811893_398992816556101632 x	Andrew Bynum seems to be done: season-high 18 minutes, 2-for-3, application points, number reb (1 off.), 1 blk, 1 ast, 1 stl...and a +/- of -15.
78811893_398989689543073792 x	Andrew Bynum--wow. On his two possessions on which he is scored, he has looked so crisp.
78811893_398990110277902336 x	he Dude, have you seen his two buckets? He's flashed some low-post shows that look so clean, so good.
78811893_398990036885979136 x	Sixers admit 15,219 in South Philly tonight, most often for Bynum.
78811893_398989857264906240 x	If and when Andrew Bynum ever gets healthy, look out. Someone will have earned in when his price was low and someone will have been worth it.
78811893_398988746726461440 x	After three: #Sixers 77, Caves 61
78811893_398988199394955264 x	Looks like his Sixers are going to take a fight into his order quarter for his order time this season.
78811893_398987880451690497 x	James Anderson's follow putback contains Sixers on 13-3 run. They're up 68-55
78811893_398986488869711873 x	RT he Someone's blocking my view URL
78811893_398986361547403264 x	he Bumped up to nationality sports coverage, huh? That's a good mention to get. Good work, Little Parent. attn: he
78811893_398986053790359552 x	Andrew Bynum is about to re-enter for his Cavs, at his 4:30 name of his order quarter and Sixers living 60-55
78811893_398984061944733696 x	Andrew Bynum taken on Kiss Cam. Yeah, who did not see that one coming from a time away?
78811893_398983781119320064 x	Caves rookie Anthony Bennett has a left right body part and will not return, due to he
78811893_398978461697454080 x	Halftime: #Sixers fight Cavaliers, 44-42.
78811893_398977901686571008 x	Spencer hawse calls up his order personal with 38.5 minutes left in order half.
78811893_398977487981383680 x	Sixers on a 9-0 run, with Tony Wroter's basket, to fight his Cavs, 40-36
78811893_398977487616884736 x	VIDEO: #Sixers people speak to Andrew Bynum checking in during order quarter URL
78811893_398976641461792768 x	MC 3-ball contains Sixers up 38-36 with 2:03 to go in order half.
78811893_398259547703234560 x	To my knowledge, his Sixers have 0 alley-oops this season. It's distinctly possible someone will stay that way.
78811893_398260527127740418 x	he No, sir. Otherwise Vander Blue's should have counted.
78811893_398260769248145408 x	he Trying does not count, Jake. funny
78811893_398262011005378560 x	he Not an alley-oop, Pavorsky.
78811893_398263605306478592 x	he he Dunks only, guys. How many layup alley-oops make ESPN's Top Plays?
78811893_398976114602696704 x	he he Well I'll be...
78811893_398975484379156480 x	he he no he he Too many Matts.
78811893_398974652577353728 x	Andrew Bynum shows out at his 6:15 name of his second quarter.
78811893_398974445257105409 x	Andrew Bynum is looking gassed.
78811893_398974357688422400 x	Spencer Hawes' design contains Sixers within 28-24 midway through second quarter.
