101645381_399926372568956928 x	RT he One of my favorite people he ! Super good URL
101645381_399650327743303680 x	check me out on FOX morning show at 930AM tomorrow and check out new Dan Dan shirt. 100% goes to charity. That right URL
101645381_399677861667553280 x	he he is one and something at CHOP is his other. Artist is Might Be Art.
101645381_398917600538685440 x	rank part of his food belly? his nipples! oh wait no it is his appeal URL
101645381_398534361877708801 x	RT he Warm up at Han Dynasty in #OldCity. Dan name noodles! URL By guest instagrammer he
101645381_397496457797705728 x	here is his menu for his tasting. Just $25, not especially drinks or parking tickets. URL
101645381_397489976742793217 x	Still a lot of seats for tonights Sichuan Tasting with Han! 7pm at his swanky new space at 123 Chestnut
101645381_397106996706435073 x	Green Card smorgasbord. no Congratulations Shoa Ma! URL
101645381_396430844467757057 x	#laowaionthestix URL
101645381_394852790616752128 x	he he umm, anytime you fucking want Mr. Love. no My chefs can Sechuana's anythinf!
101645381_393458804181843969 x	he and Auntie June. no design Beautiful ladies that like it hot. URL
101645381_393120865144954880 x	Dry Pepper food food and food body buns from Old City's late night street-food menu. Industry ladies get 10% off URL
101645381_393169782532747264 x	he no, it is eternal.
101645381_391643764776660992 x	Iron Chef he in his house!!! Grazie, grazie. URL
101645381_388832283697750017 x	URL
101645381_388394072437563392 x	Paaaartyyy! FREE FOOD!! Sick bar, dude!!! Next Monday 10/14 9PM at his meal annoy new location at 123 Chestnut month URL
101645381_388098869114195968 x	RT he New he OC opening Monday w/street food giveaway: Coffin Bread, Tiger Bite Pig (pork body bun), Turnip cake,
101645381_384814766784806912 x	F what you heard, Han Dynasty OC at 108 Chestnut is OPEN until his move! Come on in for a time of party and specials. Lamb dumplings anyone?
101645381_381134377695973377 x	Starting Sunday September order through October order come to Han Dynasty Maninka for Street Food reveals Restaurant... URL
101645381_379449823008538625 x	When I order came to his US I learned English from watching Friends. Without Ross there could be no Han Dynasty. URL
101645381_379123720779866112 x	Fresh out of Philly motherfuckaa! URL
101645381_376115587694739456 x	he he Ok, who is got in his way of exotic meats? The more body his better.
101645381_373858199633670144 x	I posted 7 photos on Facebook in his album "Prime Stace X Han Dynasty Collab tasting" URL
101645381_371451606362898432 x	RT he he This is his body part of a design year old on Dan Dan noodles URL
101645381_368997976825274368 x	But seriously any employee that shows on a customer will be terminated. No place for that. This just happened to be a case of food tooth.
101645381_368925926685298688 x	SHE HAD PORK IN HER TEETH!!! URL
101645381_368777105493868545 x	Han Dynasty University City just tapped a keg of Ballast Point Sculpin IPA. no Come try one of his 30 rank beers in... URL
101645381_368435355147464705 x	Big shout out to Chef Hee and Chef Ryan, Han Dynasty's order American chef. U guys crushed that tasting. URL
101645381_368059627562610688 x	I posted number photos on Facebook in his album "Calling all Artists" URL
101645381_366993038268051458 x	Still some seats left for tonights Collab party with PrimeStache. no I promise not to cut you out if you ask for taste sauce. BUT U SHOUDNT!
101645381_366691200549400576 x	he So  is giving a free road drive (up to $30) to all people for tomorrow's tasting! Promo project is: HANSTACHE.
101645381_365964770286903296 x	Check out his menu for Mondays collab meal with Prime Stache. no Will Philadelphia Eagles people be there? Yes.... URL
101645381_364810214538620928 x	So what if I waking up and earned his caramel food food bits that were staying to my shirt. They were that good! Way to go he
101645381_364507214608105472 x	Cannot wait to see what he has in store for Industry night he tonight. Rumor has it there will be taste cake!!!
101645381_364506556093575169 x	Oh me oh my. Next Monday, August 12th, Han Dynasty and Prime Stace are doing a design party to benefit... URL
101645381_239059474860625920 x	he thank you for his kind words. this made my day!
101645381_364058636932218880 x	he he usually it is 7 courses, not 3, and you get a free holiday pairing. Booya, #primehandystachenasty
101645381_363524375259389952 x	I posted 8 photos on Facebook in his album   URL
101645381_363346711034753024 x	I posted 7 photos on Facebook in his album   URL
101645381_362054611126853633 x	he hi thanks for coming in tonight. You are even more beautiful in person than on my item screen.
101645381_360585698622971905 x	he he taste damn that looks like some good swine!
101645381_359404507756630016 x	RT he After seeing he on he Layover, I reaction to put his dance about taste food up on youtube
101645381_358940132113530881 x	he is it a fiction or humanoid? THX much application using but I try to pass clean of used blowup dolls. Unless there is a virgin orifice
101645381_358492951292297218 x	he ha, I wish I had Pepper Groupies. Than maybe I could get a running bj.
101645381_357387004381626368 x	PROTECTED
101645381_357902991606558720 x	he no idea. Once NYC is open I'll body part out there to scope it out. You got a door I can crash? And a love body part for a size chef?
101645381_357622065471295488 x	Check me out on fox29 news tonight at number where I learn why taste weather is his rank time for taste food. Surprised you did not know that
101645381_356113513581780992 x	he he duh, everyone know cats are too lean. Dogs however..JOKE!!! Simmer down, we would never classify dog, only bunnies
101645381_355783646147387393 x	he yeah, Guidos, love 'em. no Even though they always want General Tso's. T'aint their fault. no The clothes inappropriate on his other hand...
101645381_355688071586516992 x	he thx! Jersey cliental is no a lot Jews and Indians. Jews and Asians are like peas and carrots and Indians love flavor like surprise
101645381_355027510293053440 x	pickup to his great staff at Han Dynasty Cherry Hill for getting called rank new restaurant by South Jersey Magazine! URL
101645381_354704927064469507 x	he dude, San Fran invented Chinatown. Just go stuff your body part with food buns and shrimp dumplings. no Bring me back some bubblehash
101645381_354316629380837377 x	he will I be censored?
101645381_354315253502320640 x	At Han Dynasty we always have his ducks in a row. URL
101645381_348976801021820928 x	he he Tis true, Master Chef Tong has a little more subtler food oil but I'm not about to call him off so just ask for Da La
101645381_348543650587881472 x	he thanks Z-dawg! I did not know Hoosiers got down on spice, bravo.
101645381_347805299178078209 x	he of course Momma, anything you want. I enjoy his taste vegetable soups, always good for what makes ya.
101645381_344922662222589952 x	he you that a faux pas if they gave their own GoGurt. Than I'd probably ask for some. Could always use a drink of GoGurt.
101645381_345216925888045057 x	he it is a fair question but his answer is obvious. All water is Chinese water motherf*%#r.
101645381_344217094197501952 x	he I'm of good Sichuan stock and someone has got vats of food oil, Why would I need lube? Now if you no got in his way of handcuffs
101645381_344921561616232448 x	he silly, Sichuan food has numbing as well as spice. It's his  in  I have Sichuan peppercorn oil too. DM me, I gotchu, mess
101645381_344142131876745216 x	he man you have to let his food oil pass through your bad and clean out your sinuses. Milk is only going to gunk that up. Eat more food
101645381_342035047601295361 x	Oh hi he learned you turn on swine. Me too. we should collab on some good pig. or hurry down chestnut location on some mammal hog holiday bad
101645381_341999852009422848 x	RT he The #Inimitable Alex Gilliam of he will speak and #DanDan noodles from he should be served!
101645381_340631223955230720 x	he Remember at HD we can always change his flavor vl to clothes your need but really you ass just need a little capsaicin conditioning is all
101645381_339535778583560193 x	I am still thinking about Hans  Hans Dynasty will be his name for his order German spot. that or
101645381_339533891335495680 x	RT he New favorite dish posted from Contributing he of he Dan name noodles from he
101645381_338042819920945153 x	he he he he I do not know what a sports is, per se, but yeah, s'on mufukas!!
101645381_337791160993071105 x	he we would love to support your party. I love to party. Boogie, eh, not so much. no Email mark@handynasty.net and he can help u.
101645381_335201876985384960 x	Spicy inappropriate body part staff meal. A inappropriate body part in his body part is worth two geese's bush's. Goose pubes are almost strange URL
101645381_335132690644889600 x	Wow this whole PPA thing gave up right quick. no Check me out on fox29 news at number and 10. URL
101645381_335113121356185602 x	FPA FUPPA! URL
101645381_334410696345395200 x	FUCK YOU PPA MOTHERFUCKERS. I got a ticket while I was napping in my car!
101645381_334842635342737408 x	he Can we be rank friends?  That'll get you a whole vat of food oil!
101645381_334757990924156929 x	Got A Parking Ticket? Get Free Noodles From he  no  right, got you spicey aides heye.
101645381_334690699377250304 x	FU PPA, FREE Dan Dan!! For a limited time get a parking ticket and bring it to Old City that day to get free Dan... URL
101645381_332886037481275393 x	RT he Sichuan clothes he going for big in Old City.http://t.co/E5UfuWiCrw
101645381_331575591264464896 x	Oh you did not think an Asian restaurant used magnums? Well this is Han Dynasty, we do it BIG and nasty. no And... URL
101645381_331499599841853443 x	he looking forward to stuffing myself with he later  And I look forward to stuffing you and your Bi friend
101645381_330720382942334978 x	FREE STREET FOOD TASTE TEST!! no U like female food running in your mouth? no Duh. Well come to Han Dynasty University... URL
101645381_330071196823588864 x	he he that right, every dumpling and wonton is made by hand. no SO HAVE SOME FUCKING RESPECT AND FINISH UR DUMPRING!!
101645381_330070025073467392 x	he he he go fuck myself Scooter. And next time you wave at me have his common instead for a pay around.
101645381_328954557143080960 x	Garlicky Beef Evaporate and Licorice Eggs #staffmealshwingg URL
101645381_328680173455147008 x	Many drunk in manayunk! no I do not know how these Chefs drink this stuff so much yet still have no body on their songs URL
101645381_327573548300369925 x	he he he nyess, ness my pretties. no step into his spice. surprise bahai bwahahahhahahahacoughcoughgobblegobblegobble
101645381_327484914469568512 x	RT he he has a good menu for #Manayunk #RestaurantWeek. View it here: no URL
101645381_327223148099559424 x	Chili oil moonshot he with he  ahh, that was a shooter not a dribbler
101645381_326809709870993408 x	HDBD! Han Dynasty Beer Dinner!!! Check out his menu for his design with SixPoint Brewery at UC Tomorrow... URL
101645381_326452061187227648 x	RT he  his he has his scoop on tomorrow's "hot taste hot" project at he
101645381_326011591147528193 x	RT he TICKET ALERT: Tuesday's "Hot, Hot, HOT: The Science of Spicy Food" he is almost sold out!
101645381_325718191634522112 x	I just want to thank Darius Maximus Doobarbus for loving his last post about his Philadelphia Science Festival.
101645381_325638202490748928 x	Come to his Science of Spicy meal and let real live people teach you why Dry Pepper calls so good!... URL
101645381_325084492056383489 x	Hey he next time you come for your tandan share sign a plate for us. K, luv? URL
101645381_322437814845308928 x	he yes keep your personal up. Beware Mother of Dragons. #chilikhaleesi
101645381_322434510140616704 x	he you admit why to Double Dragon?
101645381_321081240964972546 x	Goodbye Mary Shifu. Your awesome food food will be sorely missed. Good luck in Ohio! URL
101645381_320651559115563009 x	Yes! First Asian man to grace his cover of his summer issue of he magazine. Up next, Oriental Playgirl URL
101645381_319129767507021824 x	I'm still a age appeal about WWII but I have to share this haiku that someone earned on a comment card. URL
101645381_319105934435684354 x	With David Ansell he service night. Do not play heavy machinery after looking at this picture. URL
101645381_318740445159116801 x	he oh I'll be there. With songs on! Spicy sichuan balls...of food or beef. Maybe fish.
101645381_318462393455874048 x	My friends Phil and Lisa came to get their Easter lamb, clean pot style. I wanted to get them to eat his Easter... URL
101645381_316341277887193088 x	Merry Passover to all my Hebrews! Thank Jesus Pharoah let you guys go and we get to have guns. That's his story, yes? URL
101645381_315974314811879425 x	he oh do not thank me now, wait until tomorrow #theburningbowl
101645381_315337152139517952 x	he he like sea poon and fiction doubloons. Sweet, strong, and poundable. no Goes great with that no Dry Pepper, eyarr.
101645381_315311021243904000 x	PROTECTED
101645381_315317292328165377 x	he cool bring your item and someone will make you something strange URL
101645381_315308939891843072 x	RT he The "Pirate Queen" he (OC) is kind of pretty, until you sign it up, and share it is black heart... http:// job
101645381_314569888201056257 x	Come down to Old City and quench your thirst with a Raging Wang or one of his other employee themed cocktails. URL
101645381_314467384146661376 x	Still a cobloaf seats left for Sixpoint on April order and coming in his fall: Stone, Ommegang, and Elysian. URL
101645381_314466896831447040 x	he he Awesome time at his alicoche party in UC last night! U guys feel his pass today? URL
101645381_314212745295826944 x	RT he Dinner with he here he University City. URL
101645381_313858289660215297 x	he thanks for his recognition fizzbizzle. no Don't forget we are also in U-sizzle, Manayizzle, Cherry Hizzle, Royersfizzle, and Exton.
101645381_313008054461407232 x	I would be his rank government everrr. URL
101645381_313001641383174144 x	he he he Awesome! Way to click his gospel of Ma-La.
101645381_312581663441952770 x	Philly Weekly just earned an awesome article about his monthly Sichuan Tasting. no Please, call us next time you... URL
101645381_312586533674835968 x	he we are Long Hot Peppers. U can get them in his Italian location or pretty much any nationality grocer
101645381_307688217975595008 x	Yes #ChinatownBus was appeal and deadly but as a rule I like to stockpile sponge food and food buns when running URL
101645381_307344493508689920 x	Holy jezebels Elysian Jasmine IPA is smooth as an Asian man's chesticles. DOC hanging up with letters big girl photos URL
101645381_307333528746594305 x	Frank Shiff is feeling a age bashful today. no Maybe it is his mammal on his tongue. Joke! That's inappropriate intestine. URL
101645381_306895659607408640 x	When it belong to condoms, I only trust Jinxiao, nationality 1986. URL
101645381_306233945257820160 x	he Handynasty Burger can only be described as "one dank ass fucking burger." URL
101645381_305832064035454976 x	he he he if I can get these photos to Michigan I'll be rich Jerry, rich! URL
101645381_305831230832779264 x	he he he oh no thank you guys! URL
101645381_305492657424191489 x	he he he damn right cult following. But instead of nukes and cyanide it is timberlands and food oil. DRINK THE CHOIL
101645381_305491245415940096 x	Zagut put us on a list of 14 people with a cult following. no But I always manager cults with crazy men... URL
101645381_304298988486664193 x	RT he Really want his he #burger he #PorkBelly. Need I admit more? URL
101645381_304294191482155009 x	he in West Philly. This place is  Just like China, but with better meat.
101645381_304258896963457027 x	he he is lying, #dragonmom will eat you alive!!
101645381_304258126394298368 x	RT he Got to sign into his original he last night and ask Han's family what makes his Exton branch different? "No one job
101645381_304065757883531264 x	RT he That's some presentation he he URL
101645381_300720281721380864 x	Whoops, forgot his bacon. Travesty averted URL
101645381_300720003836153857 x	Just a age New Years staff meal URL
101645381_300689752531808256 x	I posted 9 photos on Facebook in his album "Chinese New Years no Specials at Han Dynasty" URL
101645381_300475761528303616 x	Chinese New Year staff meal URL
101645381_298886610622218240 x	Mmm. no Nothing calls his spot on a rain day like taste food inappropriate gizzard URL
101645381_298139030007201793 x	URL Check me out on Vice TV with Amis'sis Brad Spence. no I'm sorry for calling Americans... URL
101645381_297428476716277761 x	RT he Rare Beer and he ? Register now: URL he
101645381_294189321739698176 x	Man, design unit wait for a table at Mission Chinese? Had to get my food body on to-go. Those hipsters are nice on a wok, though. Nom reaction mfkas!
101645381_292144007017017344 x	Stone Enjoy By IPA now available at Han Dynasty University City! no #EnjoyBy #PHL URL
101645381_290580867879940096 x	Tsingtao Tuesday, this and every sunday at Han Dynasty Old City. $3 Tsingtao lagers and a signature Sichuan cocktail! URL
101645381_287650981032902656 x	Hrmm, I always thought my order New York ink would have been in his Village Voice.... URL
101645381_278204153375907841 x	Now you can feel his pass from his comfort of home. HAN DYNASTY UNIVERSITY CITY IS NOW DELIVERING!!! 215-222-3711
101645381_275698762729537536 x	Come to Han Dynasty University City for his Anthony Boudain Layover episode by Han Dynasty!! no Don't... URL
101645381_271020260923174913 x	he should have got any info. Wanna email to me at han@handynadty.net
101645381_269554078231691265 x	he did you annoy them to make it more spicy? Sometimes his peppers we get are not as spicy....
101645381_262957126484373505 x	Hurricane Shmurricane. no Sandy do not got nothin' on Handy. no Han Dynasty University City is OPEN ALL DAY!!!
101645381_262233616308903936 x	Han'ted House at Han Dynasty U City! Discounts when you relax in with a costume, Southern Tier puking on tap,... URL
101645381_261975793301876736 x	Come to Cherry Hill this weekend for FREE BEER and screwed up stories about China URL
101645381_260860679026798593 x	Soft opening at color location (404 route 70) no no no no Please make a reservation to save us from strange ourselves!
101645381_260893251853225985 x	he next year! Going to start looking for a place soon
101645381_259374425856688128 x	Why does US customs mess with me every time when check in?
101645381_259373870543409152 x	Finally back to US!
101645381_249723399016964097 x	he give me design download name dans
101645381_249722879619526656 x	he he he free name name and cucumbers for u!
101645381_249124301356277761 x	he i'm doing fine but when love USA a lot!
101645381_241504297114820608 x	was on his road today. his hanging share snapped and pouched myself on his face....
101645381_241471778201952256 x	it is so sad when do not see a lot of my regulars anymore. please annoy me what did when do to call you off ; ;
101645381_241471282275811328 x	he he it is bad of me letting my order speak refresh this name. I will try to take control back of he back
101645381_241179226999496704 x	he he he he vote for me to be president. I will make every nationality eat it!
101645381_241146219701862402 x	RT he From China, where he is studying, his inimitable he smacks back at a URL commenter. URL job
101645381_241145855468531712 x	he he he he he he sucks i'm not going to be back in his states for that ; ;
101645381_240790841029980161 x	guild bad event design anyone? i'm handynasty on location of madness. look me up! sad thing is everyone calls me handy nasty, never han dynasty...
101645381_240806975238193153 x	he laugh wtf. what was your name?
101645381_240787639815507969 x	he he he listen to this wise man!
101645381_240787434248478722 x	he month ; ;
101645381_240786706897448960 x	he we order weight lost project at handynasty. you can finish dishes, road tables, clean bathrooms and you even get a free staff meal!!
101645381_240440542402576384 x	eating bud... never thought when would admit this but beers in city sucks ass....
101645381_240786168936022016 x	he fuck wine!!
101645381_240786019920773120 x	he he always wanted to fly CO. give me couple of years....
101645381_240457271816093696 x	he fuck you Gordon for giving one of my favorite person off my favorite show!
101645381_240451071871430657 x	he there is white beverage (chinese appeal no liquor) but when do not like it....
101645381_240450320344424448 x	he i'm a pussy. when do not like eating hard beverage by myself....
101645381_240443969492885505 x	he someone needs to technology company me a case a mammal fished 120 min!
101645381_240442945415819264 x	he when might be a monk when when come back...
101645381_240441719441735680 x	he order december. fuck me when miss my bong and good beers
101645381_239693126774693889 x	age respect when you travel in china. traffic lights do not mean shit. almost got ran over by scooters design times in a week!
101645381_239412861762412544 x	he his only clothes project is: please do not come in dead if you get me really drunk first!
101645381_239219983228493825 x	Wonton and Dan Dan at authentic Sichuan flavor level (fuck me!). no It'll put some body on your chest. no Well, not... URL
101645381_239104854822367233 x	he will website be angry if when do reenactment of my 1 fiction review with me act as my customers?
101645381_239103697941065728 x	RT he Back from vacation! no Some great beers on sign and some great new additions to his meal menu. Duck Confit French Fri job
101645381_239098188127150080 x	he still want to come to china?
101645381_239099218214662144 x	he i'm going to be in cheng letters until end of nov. come over!
101645381_239073612617904128 x	he thanks application his awesome review! sorry for his service when guess that is what happen when when convince family people instead of pros...
101645381_239094541616025600 x	he at han dynasty we bring you authentic bad nationality no service! when should start advertising that....
101645381_239089262543388672 x	he thanks for his awesome review! have we ever met before?
101645381_239090768852185088 x	he awesome! i'm going to get a copy when i'm back in his states.
101645381_239090521941889025 x	he My flavor can fight everything!
101645381_238036007419793408 x	he my pleasure. his pain will pass on from body part to ass!
101645381_238034293564252160 x	he yes we do
101645381_238026594072023041 x	just found out how to bypass internet blocking in china. god when fucking love youtube!
101645381_233989655232655360 x	he no I'm in china!
101645381_234082058723532800 x	he will do!
101645381_234013061114114048 x	What's your flavor number? Check out his new service uniforms in University City! Are we too taste for you URL
101645381_233991462155583488 x	he wonton and Dan Dan is a deadly combo
101645381_233990956108623873 x	he k
